Page,Edits,Editors,Views
"Ruth Bader Ginsburg",629,212,7607606
"Amy Coney Barrett",839,217,5929361
"Tenet (film)",484,125,3869089
"Shooting of Breonna Taylor",0,0,3850403
"Dennis Nilsen",188,80,3564890
"Deaths in 2020",2105,216,3315976
"Mulan (2020 film)",344,110,3240048
"The Boys (2019 TV series)",0,0,3185953
"Bible",9,7,3182728
"Joe Biden",47,27,2759708
"Ratched (TV series)",234,105,2630904
"Cobra Kai",106,77,2451836
"S. P. Balasubrahmanyam",340,129,2388323
"Chadwick Boseman",310,108,2376715
"Microsoft Office",5,3,2137633
"XXXX",0,0,2056928
"September 11 attacks",63,40,2028762
"Enola Holmes (film)",396,170,1983313
"The Devil All the Time (film)",327,164,1887705
"Proud Boys",157,58,1853553
"Donald Trump",272,65,1836366
"Raised by Wolves (American TV series)",228,67,1770296
"Cuties",522,146,1767875
"QAnon",106,46,1633773
"Naomi Osaka",235,113,1532249
"Among Us",577,158,1503866
"Schitt's Creek",99,60,1495501
"F5 Networks",0,0,1487843
"Millie Bobby Brown",16,13,1482732
"Lovecraft Country (TV series)",154,59,1420087
"Diana Rigg",312,160,1401762
"Periodic table",20,8,1376613
"COVID-19 pandemic",253,87,1375977
"I'm Thinking of Ending Things (film)",0,0,1374864
"William Zabka",19,15,1342181
"YouTube",34,24,1289529
"Supreme Court of the United States",71,52,1279678
"Dune (2020 film)",0,0,1278615
"Nurse Ratched",39,30,1268569
"Ralph Macchio",35,28,1256970
"Sarah Paulson",40,26,1253998
"Beau Biden",40,29,1235298
"LeBron James",61,22,1211758
"COVID-19 pandemic by country and territory",49,24,1207573
"Elon Musk",307,31,1204971
"Dan Levy (Canadian actor)",58,30,1192856
"Dune (novel)",30,25,1166548
"Tyler Herro",99,63,1158001
"2020 United States presidential election",349,86,1152670
"2020 United States presidential debates",379,125,1145544
"Kamala Harris",67,36,1141248
"Clash of Champions (2020)",517,96,1116628
"Robert F. Kennedy Jr",0,0,1108101
"Antifa (United States)",201,31,1107903
"United States",220,61,1103038
"Hunter Biden",44,28,1086302
"Elizabeth II",26,16,1064570
"2016 United States presidential election",30,15,1053823
"Wikipedia",40,27,995415
"Rhea Chakraborty",34,16,994627
"Zendaya",74,26,972854
"Antebellum (film)",144,63,954286
"Sandra Day O'Connor",40,29,936407
"Kangana Ranaut",20,16,933899
"Cristiano Ronaldo",105,30,931601
"Candace Owens",66,33,931205
"Martin D. Ginsburg",33,30,927994
"Lucifer (TV series)",36,23,923859
"PlayerUnknown's Battlegrounds",0,0,904738
"Keanu Reeves",18,9,904043
"Cleopatra",24,18,901354
"Sex",17,6,894584
"Away (TV series)",163,53,891881
"XXX",0,0,872783
"2020 Atlantic hurricane season",2945,398,871790
"Paris Hilton",36,18,869872
"The Umbrella Academy (TV series)",83,29,867539
"UFC 253",177,53,865128
"Pat Morita",14,12,860734
"List of Marvel Cinematic Universe films",31,11,851967
"Cardi B",43,22,844209
"Gareth Bale",58,28,844200
"Big Brother 22 (American season)",575,210,832852
"India",29,17,831857
"Robert Pattinson",68,20,830761
"Thiago Alcântara",143,70,829962
"Michael Jordan",15,10,829067
"The 1619 Project",86,56,828274
"Chris Wallace",117,64,824315
"Coca-Cola",0,0,807384
"Dwayne Johnson",70,30,806597
"One Flew Over the Cuckoo's Nest (film)",37,18,805246
"The Karate Kid",27,23,802177
"Patrick Mahomes",121,32,799217
"Israel Adesanya",165,72,798145
"Jeff Bezos",13,13,795045
"Liu Yifei",79,46,794329
"Google Classroom",10,5,790266
"Barack Obama",37,27,784601
"People of Praise",222,78,773987
"Jane C. Ginsburg",?,?,773969
"The Babysitter: Killer Queen",?,?,767605
"The Boys (comics)",?,?,762556
"List of presidents of the United States",?,?,757824
"Lionel Messi",?,?,755430
"Henry Cavill",?,?,754385
"Antonin Scalia",?,?,752280
"Bob Woodward",?,?,750676
"Avengers (2020 video game)",?,?,744412
"Luis Suárez",?,?,743556
"United States Electoral College",?,?,742387
"Jimmy Butler",?,?,740296
"Google",?,?,738780
"Elisabeth Shue",?,?,736534
"Black Lives Matter",?,?,734310
"Alexander Hamilton",?,?,731437
"BTS",?,?,728441
"Roe v. Wade",?,?,722728
"Sushant Singh Rajput",?,?,716729
"Judy Garland",?,?,716213
"Ken Miles",?,?,715275
"Joaquin Phoenix",?,?,713926
"Holland Taylor",?,?,710142
"BBC World Service",?,?,707214
"Stephen Hawking",?,?,706206
"Space Shuttle Challenger disaster",?,?,701805
"Critical race theory",?,?,692799
"Victoria Azarenka",?,?,687144
"Eugene Levy",?,?,685533
"Nancy Pelosi",?,?,684552
"Christopher Nolan",?,?,679158
"I'm Thinking of Ending Things",?,?,675051
"Helen Reddy",?,?,674291
"Indian Premier League",?,?,669366
"James Steven Ginsburg",?,?,666638
"George Soros",?,?,666261
"The New Mutants (film)",?,?,665860
"HTTP cookie",?,?,665179
"Shooting of Jacob Blake",?,?,665120
"Gigi Hadid",?,?,664953
"Zayn Malik",?,?,663907
"Zodiac Killer",?,?,657932
"Watts family murders",?,?,656659
"2020 Formula One World Championship",?,?,655725
"James Rodríguez",?,?,654645
"Terry Bradshaw",?,?,654224
"Coronavirus disease 2019",?,?,652468
"List of James Bond films",?,?,649964
"Tom Hardy",?,?,648606
"United Kingdom",?,?,646807
"Kobe Bryant",?,?,644042
"Terry Fox",?,?,642134
"Lobotomy",?,?,640180
"Black Panther (film)",?,?,639756
"Jamal Murray",?,?,638791
"John David Washington",?,?,636584
"Jennifer Aniston",?,?,634103
"The Social Dilemma",?,?,631244
"Mahatma Gandhi",?,?,631161
"Robert F. Kennedy Jr.",?,?,628991
"Robin Williams",?,?,628328
"Chrishell Stause",?,?,624701
"Cam Newton",?,?,624400
"List of justices of the Supreme Court of the United States",?,?,624057
"Freddie Mercury",?,?,623436
"Alive (2020 film)",?,?,623115
"Hua Mulan",?,?,622417
"Pornhub",?,?,621596
"Serena Williams",?,?,616873
"Diogo Jota",?,?,616588
"The Mandalorian",?,?,615366
"River Phoenix",?,?,615273
"Drew Barrymore",?,?,614864
"Adolf Hitler",?,?,613316
"Chelsea F.C.",?,?,608172
"Dominic Thiem",?,?,606121
"Delonte West",?,?,605235
"Timothée Chalamet",?,?,601388
"Sarah Levy",?,?,600242
"Miley Cyrus",?,?,599957
"NXIVM",?,?,594991
"World War II",?,?,593882
"Michael Jackson",?,?,593832
"Erin Moriarty (actress)",?,?,593472
"American Horror Story",?,?,592654
