Page,Edits,Editors,Views
"Alexander Hamilton",97,48,9005615
"Naya Rivera",900,254,8125683
"Hamilton (musical)",88,62,5528116
"Bible",6,5,5094934
"Kelly Preston",277,151,4030321
"Deaths in 2020",2587,227,3696874
"Ghislaine Maxwell",214,84,3507033
"Jeffrey Epstein",87,49,3268967
"John Lewis (civil rights leader)",0,0,3057650
"Aaron Burr",57,48,3008450
"COVID-19 pandemic",391,132,2962330
"The Old Guard (2020 film)",250,117,2854391
"Lin-Manuel Miranda",192,111,2787844
"QAnon",114,55,2704497
"Pizzagate conspiracy theory",31,11,2587450
"Regis Philbin",341,146,2495643
"Dark (TV series)",255,136,2414180
"Sushant Singh Rajput",173,56,2342916
"Tasuku Honjo",16,10,2231459
"Elizabeth Schuyler Hamilton",71,18,2202028
"Grant Imahara",268,147,2141023
"Dil Bechara",151,55,2112603
"Elon Musk",132,63,1839056
"Donald Trump",290,62,1815688
"Olivia de Havilland",250,96,1764585
"Nick Cordero",292,164,1737650
"Jonathan Groff",31,23,1729416
"John Travolta",75,54,1679683
"Amber Heard",17,13,1635666
"XXXX",0,0,1593205
"Kanye West",163,77,1577493
"Hamilton (2020 film)",233,85,1541186
"Jada Pinkett Smith",114,69,1533780
"F5 Networks",0,0,1532885
"Mark Salling",52,35,1506565
"Hagia Sophia",640,196,1464559
"Herman Cain",293,120,1446602
"Ghost of Tsushima",177,99,1419918
"Phillipa Soo",23,19,1406966
"George Washington",11,8,1381342
"Daveed Diggs",33,28,1375508
"Charlize Theron",36,30,1358232
"Thomas Jefferson",39,19,1353042
"Mount Rushmore",130,80,1341877
"Michael Jordan",26,10,1325036
"Johnny Depp",9,7,1318307
"Will Smith",33,15,1316212
"United States",68,36,1305397
"Greyhound (film)",211,97,1287714
"365 Days (2020 film)",84,53,1272256
"Pop Smoke",114,37,1271436
"Zac Efron",2,2,1267431
"Eurovision Song Contest: The Story of Fire Saga",167,73,1250849
"COVID-19 pandemic by country and territory",49,20,1239532
"Cory Monteith",38,31,1238210
"August Alsina",34,14,1234855
"Black Lives Matter",315,95,1234789
"C/2020 F3 (NEOWISE)",0,0,1228686
"UFC 251",311,74,1222280
"COVID-19 pandemic in the United States",428,91,1222247
"Shakuntala Devi",114,77,1218421
"Kayleigh McEnany",72,42,1218162
"Haruma Miura",572,74,1207265
"Jeff Bezos",14,10,1206216
"Alexandria Ocasio-Cortez",77,37,1203897
"Mary Kay Letourneau",165,74,1196598
"It's Okay to Not Be Okay",121,55,1192680
"Warrior Nun (TV series)",104,53,1192442
"Cursed (2020 TV series)",182,71,1182831
"List of presidents of the United States",3,2,1180476
"YouTube",15,15,1179718
"Cristiano Ronaldo",74,36,1169358
"Vikas Dubey",282,116,1162976
"Robert Maxwell",61,45,1162293
"Rhea Chakraborty",81,35,1155989
"Elizabeth II",24,15,1151413
"Shooting of Breonna Taylor",0,0,1149200
"Saroj Khan",230,133,1144150
"Folklore (Taylor Swift album)",779,194,1097833
"Philip Hamilton",35,27,1097831
"Leslie Odom Jr.",19,16,1094738
"TikTok",81,43,1089996
"2020 United States presidential election",280,93,1071648
"Bubonic plague",5,5,1066719
"123Movies",2,2,1049446
"Tammy Duckworth",99,54,1044160
"Sex",1,1,1036434
"Reckful",276,130,1035310
"Joe Biden",109,54,1032493
"Charlie Daniels",117,69,1025098
"Cleopatra",32,15,1022773
"Wikipedia",30,27,1011459
"Juice Wrld",61,27,995768
"Outlook.com",7,6,988145
"Microsoft Office",22,4,979251
"Anthony Fauci",90,43,978566
"Lisa Marie Presley",68,51,976816
"Ken Miles",7,6,970249
"Lake Piru",149,64,968178
"List of mobile phone brands by country",3,2,965870
"Founding Fathers of the United States",?,?,960740
"The Horror Show at Extreme Rules",?,?,948353
"Jacob Elordi",?,?,947719
"The Kissing Booth 2",?,?,945278
"List of Marvel Cinematic Universe films",?,?,920301
"Spanish flu",?,?,918687
"Kim Kardashian",?,?,907672
"Jorge Masvidal",?,?,907234
"Adrenochrome",?,?,905371
"Mary L. Trump",?,?,903433
"Barack Obama",?,?,899248
"India",?,?,898743
"Angelica Schuyler Church",?,?,894600
"Coronavirus disease 2019",?,?,885777
"Premier League",?,?,876924
"Walter Mercado",?,?,868114
"Anthony Ramos (actor)",?,?,866898
"Christopher Jackson (actor)",?,?,864387
"Sachin Pilot",?,?,862666
"Joey King",?,?,860633
"Jack Charlton",?,?,857919
"Nicola Peltz",?,?,852828
"Michelle McNamara",?,?,849448
"Taylor Swift",?,?,834810
"Golden State Killer",?,?,831547
"John Adams",?,?,826068
"Britney Spears",?,?,824656
"Rachel McAdams",?,?,823608
"The Last of Us Part II",?,?,821394
"Prince Andrew, Duke of York",?,?,820724
"Ennio Morricone",?,?,820371
"Blue Whale Challenge",?,?,819237
"Google",?,?,802195
"The World's Billionaires",?,?,798997
"Susan Rice",?,?,798277
"Mychal Rivera",?,?,797622
"BBC World Service",?,?,791666
"Mike Tyson",?,?,786629
"Burr–Hamilton duel",?,?,782815
"John Laurens",?,?,778490
"Independence Day (United States)",?,?,776739
"COVID-19 pandemic in India",?,?,769342
"2020 Formula One World Championship",?,?,763882
"Diriliş: Ertuğrul",?,?,763786
"Gilbert du Motier, Marquis de Lafayette",?,?,757452
"The Umbrella Academy (TV series)",?,?,755004
"2019–20 Premier League",?,?,740588
"Elvis Presley",?,?,735377
"Renée Elise Goldsberry",?,?,733551
"Megan Thee Stallion",?,?,733344
"Tom Cruise",?,?,733318
"Amitabh Bachchan",?,?,731014
"Kamala Harris",?,?,729657
"Tom Hanks",?,?,723823
"Kamaru Usman",?,?,722562
"2016 United States presidential election",?,?,722499
"Dwayne Johnson",?,?,720346
"Roger Stone",?,?,714736
"Bill de Blasio",?,?,713515
"Marie Curie",?,?,712161
"Snowpiercer (TV series)",?,?,710863
"Alba Baptista",?,?,709995
"Harriet Tubman",?,?,704925
"USS Bonhomme Richard (LHD-6)",?,?,704251
"Palm Springs (2020 film)",?,?,702914
"Mia Khalifa",?,?,701583
"Charli D'Amelio",?,?,700265
"Ted Yoho",?,?,699255
"PlayerUnknown's Battlegrounds",?,?,697372
"Abraham Lincoln",?,?,691449
"Bruce Lee",?,?,689232
"Lionel Messi",?,?,686544
"Roy Jones Jr.",?,?,681004
"Riley Keough",?,?,677380
"Tucker Carlson",?,?,675165
"Carl Reiner",?,?,675068
"Keanu Reeves",?,?,674160
"Glee (TV series)",?,?,673200
"RuPaul's Drag Race All Stars (season 5)",?,?,671028
"Michael Jackson",?,?,667924
"Antifa (United States)",?,?,661470
"Eid al-Adha",?,?,661281
"SNG",?,?,660007
"List of most-viewed YouTube videos",?,?,655399
"George Soros",?,?,653867
"United Kingdom",?,?,650467
"Pirates of the Caribbean (film series)",?,?,649869
"Boston Marathon bombing",?,?,649795
"Fred Trump",?,?,649025
"Scarlett Johansson",?,?,647438
"Kimberly Guilfoyle",?,?,644103
"Freddie Mercury",?,?,639368
"Tom Selleck",?,?,636918
"Murders of Channon Christian and Christopher Newsom",?,?,632259
"Jasmine Cephas Jones",?,?,632003
"Jennifer Aniston",?,?,631862
"World War I",?,?,631855
"Adolf Hitler",?,?,630966
"Ruth Bader Ginsburg",?,?,630838
"Coronavirus",?,?,630348
"MasterChef Australia (series 12)",?,?,629317
"Robin Williams",?,?,628242
"Dassault Rafale",?,?,627958
"Lewis Hamilton",?,?,626933
"List of United States cities by population",?,?,625263
"Pornhub",?,?,620216
"World War II",?,?,612189
"Dua Lipa",?,?,611626
"Clint Eastwood",?,?,611502
"Muhammad Ali",?,?,610488
"Family of Donald Trump",?,?,608828
"Hercules Mulligan",?,?,607145
"American Civil War",?,?,607002
"Michele Morrone",?,?,602908
"Money Heist",?,?,602090
"China",?,?,600959
"Nicki Minaj",?,?,599708
"Patrick Mahomes",?,?,599011
"Prince Philip, Duke of Edinburgh",?,?,597542
"Marilyn Monroe",?,?,595082
"Candy Ken",?,?,594283
"Billie Eilish",?,?,592920
"Theodore Roosevelt",?,?,591997
"Leeds United F.C.",?,?,591066
"Leonardo DiCaprio",?,?,590226
"David Foster",?,?,590019
"Vladimir Putin",?,?,589611
"Jim Crow laws",?,?,589494
"UFC on ESPN: Whittaker vs. Till",?,?,588274
"Black Death",?,?,586235
"Adebayo Akinfenwa",?,?,584437
"Zodiac Killer",?,?,583222
"Christopher Columbus",?,?,582585
"The Kissing Booth",?,?,581662
"WhatsApp",?,?,581493
"Franklin D. Roosevelt",?,?,581403
"Priscilla Presley",?,?,580958
"Manchester United F.C.",?,?,577819
"Ku Klux Klan",?,?,577038
"G-Eazy",?,?,576204
"Dzhokhar Tsarnaev",?,?,574248
"Harry Potter (film series)",?,?,573524
"Zlatan Ibrahimović",?,?,572005
"Avatar: The Last Airbender",?,?,570658
"George III of the United Kingdom",?,?,567409
"Tenet (film)",?,?,567170
"Ozark (TV series)",?,?,566361
"Catherine the Great",?,?,564111
"John F. Kennedy",?,?,562245
"Periodic table",?,?,562176
"Nick Cannon",?,?,562045
"Dennis Rodman",?,?,560946
"2020 Singaporean general election",?,?,560704
"Ben Shapiro",?,?,559691
"Cameron Boyce",?,?,557031
"XXXTentacion",?,?,556666
"List of states and territories of the United States",?,?,551712
"Ronald Reagan",?,?,551691
"Alone (TV series)",?,?,551156
"George Floyd",?,?,550659
"Arnold Schwarzenegger",?,?,550471
"Goya Foods",?,?,548998
"Canada",?,?,548920
"Seo Ye-ji",?,?,548067
"Hong Kong",?,?,547811
"Knives Out",?,?,547448
"Joan Fontaine",?,?,547300
"Lea Michele",?,?,545419
"Tupac Shakur",?,?,544963
"Jaden Smith",?,?,543464
"Queen Victoria",?,?,543219
"Peter Green (musician)",?,?,542324
"Betty Broderick",?,?,541358
"Liverpool F.C.",?,?,539737
"Melania Trump",?,?,538781
"Betsy DeVos",?,?,535234
"Priyanka Chopra",?,?,535076
"Fascism",?,?,533319
"James Madison",?,?,533053
"Ariana Grande",?,?,530455
"Meg Johnson (poet)",?,?,530055
"Chevie Kehoe",?,?,529755
"Pablo Escobar",?,?,529222
"Elton John",?,?,528395
"Jagdeep",?,?,528252
"The Boys (2019 TV series)",?,?,527792
