Page,Edits,Editors,Views
"Thor: Love and Thunder",773,221,5836961
"Cleopatra",1,1,5065566
"Shinzo Abe",1486,361,4742151
"Deaths in 2022",0,0,3931960
"Stranger Things",133,56,3816482
"YouTube",26,17,3807694
"Rishi Sunak",362,118,3291462
"Stranger Things (season 4)",214,69,3267674
"Georgia Guidestones",452,181,3196292
"Ivana Trump",309,125,2949394
"Skathi (moon)",0,0,2792955
"ABP News",4,4,2724411
"James Caan",399,131,2570336
"The Gray Man (2022 film)",143,61,2471732
"Elvis Presley",38,27,2440296
"Nick Kyrgios",342,165,2418179
"2022 Russian invasion of Ukraine",0,0,2399915
"The Boys (TV series)",156,80,2398757
"Nope (film)",433,84,2301161
"Andrew Tate",209,90,2298561
"Penny Mordaunt",490,164,2240285
"Microsoft Office",4,3,2158009
"Millie Bobby Brown",47,21,2128668
"Top Gun: Maverick",456,158,2116267
"Boris Johnson",423,150,2001013
"Liz Truss",417,149,1933725
"Elon Musk",313,67,1928020
"Wikipedia",30,24,1777462
"Nambi Narayanan",196,106,1746346
"2022 monkeypox outbreak",0,0,1692169
"SummerSlam (2022)",238,47,1622731
"Vikram (2022 film)",59,25,1618708
"List of Marvel Cinematic Universe films",120,35,1564527
"Donald Trump",155,42,1524832
"Rocketry: The Nambi Effect",504,233,1511399
"Ansel Adams",11,6,1505060
"Novak Djokovic",95,40,1461204
"Droupadi Murmu",785,265,1458083
"Better Call Saul (season 6)",384,129,1455815
"Minions: The Rise of Gru",427,138,1454794
"Jennifer Lopez",88,35,1453166
"Joseph Quinn (actor)",218,117,1429642
"Draupadi Murmu",2,2,1419415
"Google",21,12,1413874
"Ms. Marvel (TV series)",0,0,1397604
"Hunter Moore",98,46,1392467
"Doctor Strange in the Multiverse of Madness",104,32,1387595
"Bible",111,13,1385943
"XXXX (beer)",7,7,1385874
"United States",490,60,1368776
"XXX (film series)",2,2,1340323
"Tom Cruise",33,21,1331093
"Marvel Cinematic Universe: Phase Four",198,51,1314990
"Elliot Page",32,23,1305531
"James Webb Space Telescope",397,176,1296871
"Maya Hawke",113,40,1295638
"Cameron Norrie",129,96,1289622
"Lalit Modi",71,43,1286355
"Assassination of Shinzo Abe",2345,548,1286308
"Brittney Griner",116,76,1278757
"Jurassic World Dominion",307,100,1277041
"Instagram",25,15,1275232
"The Umbrella Academy (TV series)",147,63,1271436
"The Terminal List (TV series)",3,1,1257345
"Internet",8,8,1251352
"Winona Ryder",17,15,1251044
"Jamie Campbell Bower",198,120,1244372
"India",25,12,1232279
"Sandeep Unnikrishnan",76,41,1230074
"2022 Commonwealth Games",299,107,1216643
"CEO",0,0,1188425
"Black Panther: Wakanda Forever",228,108,1187061
"Ben Affleck",61,20,1185334
"YouTube Music",5,4,1181802
"The Black Phone",159,60,1179269
"XXX (2002 film)",0,0,1166267
"2022 World Athletics Championships",422,126,1164911
"Better Call Saul",168,45,1155312
"Susan Wojcicki",28,6,1147420
"YouTube Premium",1,1,1141560
"2022 in film",303,50,1129659
"Austin Butler",71,49,1123283
"Where the Crawdads Sing",43,23,1115403
"Technoblade",916,242,1110281
"Facebook",9,8,1107600
"Maryland",48,21,1103471
"Gmail",0,0,1095253
"Ana de Armas",37,18,1088342
"Priscilla Presley",30,17,1087510
"Lisa Marie Presley",6,5,1084443
"Shamshera",228,57,1080334
"Rafael Nadal",47,18,1078324
"Maurizio Gucci",4,3,1076617
"Elvis (2022 film)",330,109,1072057
"Ponniyin Selvan: I",217,91,1061537
"Sri Lanka",68,46,1050846
"XNXX",13,11,1041168
"Stray (video game)",158,76,1039887
"Gaten Matarazzo",50,35,1020385
"Taika Waititi",50,40,1017466
"Tony Dow",?,?,1004238
"Charlie Heaton",?,?,1003191
"Joe Biden",?,?,998201
"Marvel Cinematic Universe",?,?,986681
"Franklin Delano Floyd",?,?,986480
"Video hosting service",?,?,983005
"Cristiano Ronaldo",?,?,979809
"Natalia Dyer",?,?,979401
"Kate Bush",?,?,967883
"Ryan Gosling",?,?,966369
"Only Murders in the Building",?,?,965397
"2022 Conservative Party leadership election (UK)",?,?,960605
"The Boys (season 3)",?,?,958796
"UEFA Women's Euro 2022",?,?,955783
"Extraordinary Attorney Woo",?,?,951779
"Joe Keery",?,?,947569
"Kemi Badenoch",?,?,944027
"Ivanka Trump",?,?,943192
"Elena Rybakina",?,?,938166
"Elizabeth II",?,?,935483
"Sadie Sink",?,?,925503
"David Harbour",?,?,919141
"2022 Formula One World Championship",?,?,911811
"2022 Indian presidential election",?,?,909352
"Monkeypox",?,?,886468
"Chris Hemsworth",?,?,885098
"Patrizia Reggiani",?,?,877783
"United Kingdom",?,?,877356
"Noah Schnapp",?,?,874999
"Ethan Hawke",?,?,870438
"List of highest-grossing films",?,?,865038
"Microsoft Windows",?,?,862381
"Null",?,?,859263
"Paul Sorvino",?,?,852922
"Tony Sirico",?,?,852148
"Resident Evil (TV series)",?,?,845873
"2022 Wimbledon Championships – Men's singles",?,?,844495
"Colonel Tom Parker",?,?,841966
"Roe v. Wade",?,?,840699
"Netflix",?,?,839483
"F5 Networks",?,?,839154
"Chris Pratt",?,?,835818
"WhatsApp",?,?,834208
"XXXTentacion",?,?,833361
"D. B. Cooper",?,?,828860
"Armie Hammer",?,?,828513
"Marilyn Monroe",?,?,822641
"Money in the Bank (2022)",?,?,815763
