Page,Edits,Editors,Views
"Joe Biden",657,216,7415448
"Donald Trump",1055,274,7056263
"Kamala Harris",297,131,6041021
"Bridgerton",250,129,5621614
"Richard Ramirez",59,30,5338188
"QAnon",255,112,4676752
"WandaVision",725,133,4518791
"Elon Musk",271,47,4509321
"Bible",7,7,4266765
"Deaths in 2021",3024,292,3651831
"Cleopatra",14,10,3090340
"Larry King",469,201,3037666
"Regé-Jean Page",114,56,2972419
"2021 storming of the United States Capitol",0,0,2733437
"Amanda Gorman",374,166,2726879
"XXXX",0,0,2682341
"Cobra Kai",216,54,2467585
"Elizabeth II",27,22,2467113
"Cicely Tyson",212,102,2420304
"Nancy Pelosi",93,58,2369120
"Tom Brady",193,57,2313634
"Beau Biden",98,65,2284357
"Microsoft Office",2,2,2251124
"Jon Ossoff",415,186,2214631
"Tanya Roberts",515,184,2179034
"Jill Biden",112,57,2127407
"Twenty-fifth Amendment to the United States Constitution",417,132,2119991
"MF Doom",481,82,2053029
"The Queen's Gambit (miniseries)",87,44,2009804
"Phil Spector",525,187,1953099
"Antifa (United States)",72,25,1936074
"Jen Psaki",134,76,1924925
"List of presidents of the United States",111,51,1875713
"Charles Sobhraj",83,42,1871761
"Fran Lebowitz",75,45,1847440
"Parler",444,117,1842936
"Martin Luther King Jr.",34,25,1832063
"2020 United States presidential election",396,137,1773979
"Doug Emhoff",109,55,1770143
"Princess Margaret, Countess of Snowdon",23,16,1741360
"Phoebe Dynevor",54,34,1732915
"Conor McGregor",86,37,1725177
"Mitch McConnell",139,75,1722612
"Royal Rumble (2021)",729,196,1706680
"Master (2021 film)",498,101,1667419
"Ashley Biden",51,40,1652239
"Lupin (TV series)",0,0,1638951
"Wonder Woman 1984",435,165,1629987
"President of the United States",92,52,1619631
"United States",194,80,1612593
"Armie Hammer",129,63,1610560
"Kelly Loeffler",237,111,1603659
"UFC 257",285,94,1596763
"YouTube",24,14,1588974
"Barack Obama",75,38,1558961
"Wikipedia",60,41,1553532
"Josh Hawley",414,102,1496990
"Marjorie Taylor Greene",487,108,1462861
"Patrick Mahomes",73,36,1454784
"Bernie Sanders",36,26,1453660
"Hunter Biden",44,22,1443741
"Mike Pence",201,95,1442462
"Anya Taylor-Joy",46,26,1433130
"Soul (2020 film)",153,54,1431289
"Fate: The Winx Saga",94,27,1398805
"Olivia Wilde",40,26,1398095
"Prince Philip, Duke of Edinburgh",5,4,1382381
"Dustin Poirier",133,77,1378613
"Signal (software)",160,65,1376247
"F5 Networks",0,0,1346693
"Elizabeth Olsen",60,34,1321122
"Tenet (film)",72,40,1310756
"Jimmy Carter",32,24,1298225
"Melania Trump",90,46,1288461
"Hank Aaron",294,164,1282037
"Insurrection Act of 1807",41,32,1279442
"Charles, Prince of Wales",0,0,1264136
"United States Capitol",248,139,1251456
"True Beauty (South Korean TV series)",243,79,1249819
"Aaron Rodgers",76,31,1247759
"Tasuku Honjo",0,0,1241927
"Cloris Leachman",262,142,1231073
"Sophie (musician)",260,103,1228653
"BF",10,9,1222712
"Murder of Bobbie Jo Stinnett",245,116,1222286
"Proud Boys",137,59,1221276
"Ralph Macchio",15,7,1218794
"COVID-19 pandemic",138,76,1216139
"Olivia Rodrigo",224,61,1204238
"Lauren Boebert",282,95,1192264
"The Mandalorian",112,54,1188063
"Keystone Pipeline",157,66,1179737
"Betty White",11,10,1175805
"Margaret Thatcher",89,26,1172457
"Godzilla vs. Kong",366,87,1172203
"United States Senate",175,64,1168412
"Impeachment in the United States",178,100,1160071
"Diana, Princess of Wales",6,6,1157358
"Drew Brees",144,88,1129461
"Ted Cruz",241,71,1125507
"The Serpent (TV series)",?,?,1118306
"The Weeknd",?,?,1086724
"William Zabka",?,?,1083724
"Kobe Bryant",?,?,1074025
"Attack on Titan (season 4)",?,?,1070466
"The Little Things (2021 film)",?,?,1043034
"Raphael Warnock",?,?,1042851
"Tiger Woods",?,?,1042775
"Liz Cheney",?,?,1038003
"Enrique Tarrio",?,?,1033746
"Elaine Chao",?,?,1032379
"Promising Young Woman",?,?,1013684
"Arnold Schwarzenegger",?,?,1011118
"List of Super Bowl champions",?,?,1006877
"Ronald Reagan",?,?,1003808
"George VI",?,?,996263
"Attack on Titan",?,?,993262
"Lady Gaga",?,?,990716
"Cristiano Ronaldo",?,?,989377
"Bill Clinton",?,?,988014
"George W. Bush",?,?,986318
"Pieces of a Woman",?,?,982793
"Jenni Rivera",?,?,979142
"COVID-19 pandemic by country and territory",?,?,978011
"Lana Clarkson",?,?,974948
"Inauguration of Joe Biden",?,?,973968
"Alexandria Ocasio-Cortez",?,?,958622
"Sam Cooke",?,?,953365
"John F. Kennedy",?,?,950445
"BBC World Service",?,?,950332
"Winston Churchill",?,?,945118
"Queen Victoria",?,?,943542
"XXX",?,?,941540
"JoJo Siwa",?,?,935853
"John Cooper (serial killer)",?,?,932730
"K.G.F: Chapter 2",?,?,931604
"Republican Party (United States)",?,?,927107
"Malcolm X",?,?,921177
"Family of Joe Biden",?,?,920175
"The Pirate Bay",?,?,918271
"G-Eazy",?,?,914194
"Google",?,?,908558
"Gal Gadot",?,?,908529
"United States presidential line of succession",?,?,906667
"Edward VIII",?,?,905060
"List of people granted executive clemency by Donald Trump",?,?,904492
"Madison Cawthorn",?,?,904460
"United Kingdom",?,?,901041
"George H. W. Bush",?,?,894749
"Mary, Queen of Scots",?,?,893389
"Richard Nixon",?,?,881484
"Grimes (musician)",?,?,878804
"Pedro Pascal",?,?,877553
"David Bowie",?,?,877164
"Abraham Lincoln",?,?,876817
"Arsène Lupin",?,?,875794
"Impeachment",?,?,873730
"Melvin Capital",?,?,872303
"Impeachment of Donald Trump",?,?,870052
"United States presidential inauguration",?,?,863714
"The White Tiger (film)",?,?,863062
"Sutton Hoo",?,?,863051
"List of Marvel Cinematic Universe films",?,?,853757
"Bigg Boss (Tamil season 4)",?,?,853153
"Schitt's Creek",?,?,851985
"Dan Levy (Canadian actor)",?,?,844343
"Taylor Heinicke",?,?,843823
"Elisabeth Shue",?,?,843709
"India",?,?,843706
"Cabinet of Joe Biden",?,?,839944
"Jeff Bezos",?,?,839727
"Google Classroom",?,?,836136
"Neilia Hunter Biden",?,?,833622
"Donald J. Harris",?,?,833541
"United States House of Representatives",?,?,830950
"The Dig (2021 film)",?,?,828414
"Super Bowl LV",?,?,826085
"Elliot Page",?,?,825608
"Second impeachment of Donald Trump",?,?,818220
"Bitcoin",?,?,815863
"Anne, Princess Royal",?,?,815286
"Franklin D. Roosevelt",?,?,813948
"Lilith",?,?,811713
"Mr. Queen",?,?,810924
"Dogecoin",?,?,804491
"Josh Allen (quarterback)",?,?,802662
"Jake Angeli",?,?,801784
"Thomas Tuchel",?,?,799415
"Family of Kamala Harris",?,?,797746
"Peaky Blinders (TV series)",?,?,797436
"Leonardo DiCaprio",?,?,794684
"Jennifer Lopez",?,?,789390
"Chuck Schumer",?,?,789359
"Omar Sy",?,?,787592
"Alexei Navalny",?,?,786862
"Chilling Adventures of Sabrina (TV series)",?,?,785358
"Tulsi Gabbard",?,?,782871
"Catherine the Great",?,?,781297
"Republic Day (India)",?,?,779232
"Kim Kardashian",?,?,778991
"Jonathan Bailey (actor)",?,?,778827
"Charlotte of Mecklenburg-Strelitz",?,?,778180
"Democratic Party (United States)",?,?,774548
"Adolf Hitler",?,?,774282
"Maya Harris",?,?,767337
"World War II",?,?,762007
"Dua Lipa",?,?,761459
"Periodic table",?,?,758559
"Executive Order 13959",?,?,757466
"Khabib Nurmagomedov",?,?,755309
"WhatsApp",?,?,753962
"Number One Observatory Circle",?,?,752791
"Dick Cheney",?,?,752500
"Muhammad Ali",?,?,752341
"U.S. state",?,?,749215
"2021 World Men's Handball Championship",?,?,747808
"Ariana Grande",?,?,746051
"Shyamala Gopalan",?,?,743752
"Luke Evans",?,?,739983
"Keanu Reeves",?,?,739729
"Frank Abagnale",?,?,739193
"Stacey Abrams",?,?,738693
"Marvel Cinematic Universe: Phase Four",?,?,738097
"Jack Ma",?,?,737699
"Harshad Mehta",?,?,736594
"Kerstin Emhoff",?,?,731711
"Carey Mulligan",?,?,730559
"Harry Styles",?,?,729797
"Ted Kaczynski",?,?,729283
"Meena Harris",?,?,723303
"The World's Billionaires",?,?,722124
"2016 United States presidential election",?,?,719071
"The Expanse (TV series)",?,?,716833
"Vikings (season 6)",?,?,716805
"Mar-a-Lago",?,?,716226
"Michael Chandler",?,?,715922
"RuPaul's Drag Race (season 13)",?,?,713180
"Nick Saban",?,?,710321
"Sex",?,?,709769
"Telegram (software)",?,?,708176
"Dwayne Johnson",?,?,706658
"COVID-19 vaccine",?,?,702703
"XXXTentacion",?,?,700001
"Fascism",?,?,698265
"Pat Morita",?,?,697628
"Jason Sudeikis",?,?,696531
"The Karate Kid",?,?,694113
"Michael Jackson",?,?,692714
"Vikings (2013 TV series)",?,?,691678
"L. Lin Wood",?,?,690052
"The Crown (TV series)",?,?,688887
"Ryan García",?,?,688245
"Jeffree Star",?,?,687715
"Ivanka Trump",?,?,687175
"Jenna Coleman",?,?,686962
"One Night in Miami (film)",?,?,686346
"Priyanka Chopra",?,?,685260
"George Washington",?,?,685071
"Paul Bettany",?,?,683316
"Pablo Escobar",?,?,680253
"Elvis Presley",?,?,679232
"117th United States Congress",?,?,676818
"List of states and territories of the United States",?,?,676811
"Chamath Palihapitiya",?,?,674554
"Julia Quinn",?,?,673529
"GameStop",?,?,670939
"Claudia Jessie",?,?,668819
"LeBron James",?,?,667508
"It's a Sin (TV series)",?,?,667415
"Facebook",?,?,666061
"Peter Sutcliffe",?,?,663840
"Netflix",?,?,663586
"List of footballers with 500 or more goals",?,?,662118
"Julian Assange",?,?,658693
"Gadsden flag",?,?,656311
"Washington, D.C.",?,?,655078
"Merrick Garland",?,?,653613
"Tesla, Inc.",?,?,652888
"The Midnight Sky",?,?,650374
"Louis Mountbatten, 1st Earl Mountbatten of Burma",?,?,648551
"Ted Bundy",?,?,648098
"Kayleigh McEnany",?,?,646752
"Steve Jobs",?,?,645591
"Spanish flu",?,?,644157
"Sweet Home (TV series)",?,?,641876
"I Am Legend (film)",?,?,641109
"Death of JonBenét Ramsey",?,?,639514
"List of James Bond films",?,?,639493
"Alice in Borderland (TV series)",?,?,639026
"GameStop short squeeze",?,?,637788
"Michael Jordan",?,?,637697
"Lil Wayne",?,?,637282
"Donald Trump Jr.",?,?,637007
"Tom Cruise",?,?,636134
"A Discovery of Witches (TV series)",?,?,635611
"Rob Garrison",?,?,635280
"The Pembrokeshire Murders",?,?,635232
"Billie Eilish",?,?,632141
"Denzel Washington",?,?,630865
"Susan Rosenberg",?,?,629749
"XXX: Return of Xander Cage",?,?,628646
"Dolly Parton",?,?,627780
"Gab (social network)",?,?,624272
"Coronavirus disease 2019",?,?,623705
"Johnny Depp",?,?,623079
"Boris Johnson",?,?,622748
"Rachel Levine",?,?,620688
"David Perdue",?,?,618838
"Harry Potter (film series)",?,?,617330
"Zendaya",?,?,617049
"Nicola Coughlan",?,?,615599
"Vladimir Putin",?,?,615413
"Bigg Boss (Hindi season 14)",?,?,615288
"Gerald Ford",?,?,614057
"Jim Brown",?,?,612382
"Mahatma Gandhi",?,?,611971
"Edward Snowden",?,?,611811
"Clint Eastwood",?,?,610822
"Winx Club",?,?,608903
"Your Honor (miniseries)",?,?,608896
"Tom Hanks",?,?,608010
"Stephen Hawking",?,?,607550
"Jennifer Aniston",?,?,606124
"Mitt Romney",?,?,605958
"Martial law",?,?,605454
"Dr. Dre",?,?,603795
"Subhas Chandra Bose",?,?,603663
"Edith Pretty",?,?,602287
"Alexander Hamilton",?,?,600991
"Alexi Laiho",?,?,600211
"Microdata (HTML)",?,?,598459
"JSON-LD",?,?,597837
"Machine Gun Kelly (musician)",?,?,597305
"Ivar the Boneless",?,?,596448
"American Civil War",?,?,596151
"Stephen Curry",?,?,596105
"Ivana Trump",?,?,595699
"Bruce Lee",?,?,595343
"RDFa",?,?,595260
"Murder of Lana Clarkson",?,?,594507
"Historical rankings of presidents of the United States",?,?,593051
"Pirates of the Caribbean (film series)",?,?,592356
"Richard Jewell",?,?,591456
"New York City",?,?,590998
"Watergate scandal",?,?,590807
"Andrew Johnson",?,?,590769
"Outlander (TV series)",?,?,590608
"John David Washington",?,?,589503
"Scarlett Johansson",?,?,589474
"Jordan Belfort",?,?,587828
"Scarlet Witch",?,?,587335
"Shonda Rhimes",?,?,586927
"Google Translate",?,?,583900
"Kanye West",?,?,583840
"Theodore Roosevelt",?,?,583081
"Super Bowl",?,?,582978
"Heath Ledger",?,?,582573
"Amazon (company)",?,?,580127
"World War I",?,?,578451
"Lyndon B. Johnson",?,?,578267
"John Krasinski",?,?,578024
"Vanessa Kirby",?,?,575278
"Urban Meyer",?,?,575233
"Instagram",?,?,574166
"Siegfried & Roy",?,?,573815
"Vice President of the United States",?,?,573265
"The Penthouse: War in Life",?,?,572267
"Avengers: Endgame",?,?,570525
"George V",?,?,568929
"Mayim Bialik",?,?,568834
"Canada",?,?,568028
"Lionel Messi",?,?,567841
"Talulah Riley",?,?,566389
"Nineteen Eighty-Four",?,?,564711
"Australia",?,?,564318
".bf",?,?,563645
"Shia LaBeouf",?,?,561563
"Mike Lindell",?,?,561269
"List of The Karate Kid characters",?,?,560795
"Joe Exotic",?,?,559417
"Lily James",?,?,559246
"Jujutsu Kaisen",?,?,558934
"Andrew Jackson",?,?,558582
"China",?,?,557982
"Chadwick Boseman",?,?,557707
"Max Holloway",?,?,557081
"Marvel Cinematic Universe",?,?,553967
"Prince Andrew, Duke of York",?,?,553941
"Martin Kove",?,?,552794
"Basil Brown",?,?,552588
"Ragnar Lodbrok",?,?,552334
"Antony Armstrong-Jones, 1st Earl of Snowdon",?,?,551256
"Godzilla: King of the Monsters (2019 film)",?,?,550293
"Robinhood (company)",?,?,549617
"Jennifer Connelly",?,?,547637
"JavaScript",?,?,545614
"Death of Elisa Lam",?,?,544713
"James Naismith",?,?,543827
"Freddie Mercury",?,?,543684
"Grey's Anatomy",?,?,542550
"Mesut Özil",?,?,541295
"Martin Luther King Jr. Day",?,?,540836
"Zooey Deschanel",?,?,539492
"Taylor Swift",?,?,538091
"Superstore (TV series)",?,?,537226
"Halsey (singer)",?,?,536972
"BTS",?,?,536861
"Cesar Chavez",?,?,535208
"The Office (American TV series)",?,?,534856
"The Stand (2020 miniseries)",?,?,534311
"Steve Sarkisian",?,?,533855
"Microsoft Windows",?,?,532777
"Eminem",?,?,532064
"Pete Davidson",?,?,531353
"Camilla, Duchess of Cornwall",?,?,531010
"Gina Carano",?,?,530657
"Bobby Fischer",?,?,530504
"Coca-Cola",?,?,530104
"Adjoa Andoh",?,?,528803
"Seven deadly sins",?,?,526912
"List of Winx Club characters",?,?,526721
"Tiffany Trump",?,?,525279
"United States Congress",?,?,524281
"Outside the Wire",?,?,523326
"Snowpiercer (TV series)",?,?,522770
"Liam Neeson",?,?,520571
"Angelina Jolie",?,?,519145
"Robin Williams",?,?,518310
"Anne Hathaway",?,?,517996
"Android (operating system)",?,?,517251
"Matthew McConaughey",?,?,517083
"Selena Gomez",?,?,517037
"Charles Manson",?,?,516779
"Robert Saleh",?,?,515641
"Pornhub",?,?,515282
"123Movies",?,?,515249
"Emily Blunt",?,?,515249
"Robert F. Kennedy Jr",?,?,514880
"O. J. Simpson",?,?,513138
"Snoop Dogg",?,?,512120
"James Harden",?,?,511903
"Pizzagate conspiracy theory",?,?,511863
"Prince Edward, Earl of Wessex",?,?,511333
"Manchester United F.C.",?,?,511093
"Nicole Kidman",?,?,509761
"Judy Garland",?,?,508984
"Twitter",?,?,508833
"MacOS",?,?,508595
"List of Attack on Titan episodes",?,?,507911
"Katie Price",?,?,506871
"Lloyd Austin",?,?,506724
"Jared Leto",?,?,504864
"Brad Pitt",?,?,504682
"2021 United States Capitol protests",?,?,503967
"Marilyn Monroe",?,?,503655
"Ryan Reynolds",?,?,503582
"Mary-Kate Olsen",?,?,503304
"Bill Gates",?,?,502940
"2022 United States Senate elections",?,?,501820
"Pop Smoke",?,?,501697
"Ten Commandments",?,?,500966
"Null",?,?,500841
"Justin Bieber",?,?,500648
"TikTok",?,?,500198
"Mia Khalifa",?,?,498687
"2020 United States Senate elections",?,?,498674
"Sheldon Adelson",?,?,497968
"Elizabeth I",?,?,496389
"Rami Malek",?,?,496328
"HTTP cookie",?,?,494678
"Albert Einstein",?,?,494546
"Janet Yellen",?,?,493007
"Demon Slayer: Kimetsu no Yaiba",?,?,492781
"Elin Nordegren",?,?,492154
"Michael Sheen",?,?,491914
"Nicolas Cage",?,?,491645
"Garth Brooks",?,?,489961
"Emma Watson",?,?,489504
"Microsoft Teams",?,?,489297
"Zayn Malik",?,?,489082
"Russia",?,?,488674
"Redo of Healer",?,?,488316
"Will Smith",?,?,486343
"Yellowstone (American TV series)",?,?,486299
"Robert Downey Jr.",?,?,485338
"Tommy Lasorda",?,?,484617
"Anne-Marie",?,?,484421
"Chernobyl disaster",?,?,483980
"Star Wars",?,?,483866
"Japan",?,?,483079
"Antony Blinken",?,?,483001
"Philip Rivers",?,?,482906
"CEO",?,?,482848
"Miley Cyrus",?,?,482566
"Baker Mayfield",?,?,481426
"Ben Roethlisberger",?,?,481274
"Charli D'Amelio",?,?,480994
