Page,Edits,Editors,Views
"Indian Premier League",222,69,20824192
"2023 Indian Premier League",585,64,12968266
"Tina Turner",573,219,7363657
"ChatGPT",162,60,7126714
"Cleopatra",16,9,6184081
"YouTube",30,20,5908321
"Guardians of the Galaxy Vol. 3",1346,531,5659124
"The Kerala Story",405,80,5071991
"Facebook",12,11,4580900
"Charlotte of Mecklenburg-Strelitz",95,46,4385813
"Deaths in 2023",1839,163,4078678
"George III",29,15,4068827
"Fast X",882,340,4043170
"Instagram",3,3,3890117
"Microsoft Windows",11,7,3701726
"Eurovision Song Contest 2023",919,185,3057676
"Charles III",355,92,3042684
"The Little Mermaid (2023 film)",468,110,2756142
"XNXX",2,2,2652607
"Sex",1,1,2615876
"Premier League",95,45,2568659
"Succession (TV series)",212,73,2464240
"Elizabeth II",19,10,2396240
"Queen Victoria",16,12,2247162
"XXX (film series)",0,0,2185792
"Hannah Waddingham",42,32,2180100
"The Super Mario Bros. Movie",364,118,2064138
"XXXTentacion",25,11,1946548
"Queen Charlotte: A Bridgerton Story",156,66,1940985
"Michael Jordan",21,15,1935051
"Mother's Day",10,10,1929486
"Omegle",17,5,1860970
"LeBron James",53,35,1783605
"Nikola Jokić",137,37,1774056
"Night of Champions (2023)",693,191,1720735
"Ted Lasso",167,90,1717277
"Robert De Niro",30,18,1709435
"Taylor Swift",194,59,1694992
"Anna Nicole Smith",60,37,1693499
"Ray Stevenson",246,137,1688051
"Ike Turner",78,55,1663737
"2023 Karnataka Legislative Assembly election",650,83,1649244
"XXXX (beer)",6,6,1648924
"Evil Dead Rise",196,60,1644386
"United States",170,52,1582177
"2023 Turkish presidential election",744,140,1554928
"2023 Southeast Asian Games",2,2,1549667
"Jimmy Butler",57,25,1527869
"Fast & Furious",239,104,1506722
"Loreen (singer)",6,1,1472696
"Matty Healy",956,43,1466141
"Google",23,16,1459620
"Manchester City F.C.",106,33,1418065
"Gordon Lightfoot",252,120,1407537
"Priyanka Chopra",27,15,1387814
"The Pope's Exorcist",51,21,1371398
"George IV",13,12,1370866
"John Wick: Chapter 4",147,69,1361755
"Air (2023 film)",117,44,1336610
"Cristiano Ronaldo",35,13,1335951
"William, Prince of Wales",55,21,1325592
"Candy Montgomery",16,15,1325013
"George VI",31,18,1324110
"Elon Musk",80,27,1321626
"Ansel Adams",4,4,1311820
"Ron DeSantis",445,78,1301649
"India",73,31,1281989
"Shubman Gill",93,46,1281181
"William IV",20,12,1273122
"2023 Cricket World Cup",65,25,1245630
"Google Translate",1,1,1240874
"Twitter",57,39,1237094
"Lionel Messi",99,25,1218241
"The Mother (2023 film)",141,60,1189725
"George V",9,6,1176934
"Silo (TV series)",119,45,1174492
"List of NBA champions",36,23,1170837
"Ponniyin Selvan: II",230,104,1160696
"Erling Haaland",99,36,1159976
"Gmail",0,0,1159172
"Karl Lagerfeld",55,43,1156483
"Wikipedia",49,24,1142251
"Adah Sharma",99,40,1138492
"UEFA Champions League",24,13,1133750
"The Legend of Zelda: Tears of the Kingdom",265,81,1119775
"J. Robert Oppenheimer",25,12,1116835
"Raghav Chadha",72,48,1107026
"Jock Zonfrillo",174,81,1100416
"Cinco de Mayo",70,46,1086134
"Virat Kohli",44,21,1079149
"Dungeons & Dragons: Honor Among Thieves",159,59,1072324
