Page,Edits,Editors,Views
"Kamala Harris",867,246,15399796
"Chadwick Boseman",699,284,12742815
"Bible",8,5,5114139
"QAnon",161,65,4125721
"The Umbrella Academy (TV series)",259,135,4078543
"Joe Biden",133,76,3606810
"Deaths in 2020",2420,213,3599708
"Tenet (film)",602,130,2820507
"Donald Trump",237,66,2626963
"Shakuntala Devi",188,99,2596146
"Shyamala Gopalan",256,116,2413188
"Maya Harris",48,36,2145066
"Elon Musk",102,37,2140290
"Douglas Emhoff",0,0,2130923
"Lebanon",49,31,2069561
"Rhea Chakraborty",73,28,2036938
"Jill Biden",76,48,1733243
"Microsoft Office",2,1,1672836
"Donald J. Harris",214,103,1670397
"XXXX",0,0,1666411
"2020 Beirut explosions",1,1,1665935
"Sushant Singh Rajput",116,30,1641854
"COVID-19 pandemic",194,87,1611220
"Gunjan Saxena",163,72,1596337
"Pizzagate conspiracy theory",16,11,1592955
"F5 Networks",0,0,1540163
"Lovecraft Country (TV series)",190,69,1527156
"Black Panther (film)",51,35,1523890
"Kimberly Guilfoyle",103,67,1517247
"Betty Broderick",36,30,1503783
"COVID-19 pandemic by country and territory",57,28,1486789
"SummerSlam (2020)",564,124,1435059
"Alexander Hamilton",16,14,1429722
"Shooting of Jacob Blake",677,163,1428091
"Beau Biden",27,22,1378992
"Lionel Messi",117,46,1368295
"The Umbrella Academy",43,33,1363465
"UEFA Champions League",203,114,1307948
"Belarus",102,39,1306901
"Jeffrey Epstein",15,10,1297675
"Melania Trump",28,13,1293110
"Ammonium nitrate",129,75,1263967
"Lucifer (TV series)",60,41,1255375
"The Batman (film)",168,41,1242879
"United States",143,43,1235777
"2020 United States presidential election",409,124,1231932
"2020 World Snooker Championship",1249,148,1231459
"Aidan Gallagher",7,4,1230941
"YouTube",24,16,1205411
"List of most-disliked YouTube videos",242,42,1168741
"Susan Rice",133,60,1143876
"Meena Harris",27,19,1142366
"Beirut",78,61,1142233
"Barack Obama",50,40,1128069
"Elizabeth II",12,7,1120896
"Michael Jordan",15,9,1111878
"Jews",26,8,1106524
"Joseph James DeAngelo",135,66,1092923
"Family of Donald Trump",78,26,1088090
"2020–21 UEFA Champions League",285,83,1086445
"Wikipedia",33,20,1084296
"WAP (song)",626,223,1074551
"Chrishell Stause",15,10,1067997
"Atomic bombings of Hiroshima and Nagasaki",71,38,1049254
"Alexandria Ocasio-Cortez",73,30,1046105
"Cristiano Ronaldo",22,11,1043578
"Jeff Bezos",20,19,1020266
"Justin Hartley",15,7,1011355
"List of European Cup and UEFA Champions League finals",96,52,1007592
"TikTok",244,85,1004013
"Index of Greenland-related articles",0,0,1002458
"The New Mutants (film)",377,145,1001881
"Sex",7,5,1001621
"2016 United States presidential election",32,20,999704
"It's Okay to Not Be Okay",241,62,994075
"Pranab Mukherjee",297,123,991616
"Shooting of Breonna Taylor",0,0,988871
"Ronnie O'Sullivan",225,112,979592
"Wilford Brimley",233,130,972524
"2019–20 UEFA Champions League",203,73,964133
"List of Marvel Cinematic Universe films",14,9,957816
"FC Bayern Munich",209,131,952489
"Nikki Haley",105,51,949191
"Project Power",163,88,948173
"Robert Sheehan",24,22,945347
"India",22,13,939646
"Ronald Koeman",228,127,931249
"Ellen Page",0,0,921088
"Megan Thee Stallion",56,25,908581
"Dwayne Johnson",30,21,893501
"Cleopatra",17,12,890898
"Keanu Reeves",20,15,887191
"Cobra Kai",58,42,880817
"UFC 252",232,88,879590
"Kobe Bryant",8,8,875876
"Cardi B",66,20,872517
"Dark (TV series)",122,48,871867
"Hamilton (musical)",108,66,864568
"BBC World Service",16,6,862872
"Bella Thorne",32,19,851010
"Alphonso Davies",?,?,848742
"Billie Eilish",?,?,847919
"Payback (2020)",?,?,847274
"Luka Dončić",?,?,842838
"List of presidents of the United States",?,?,836594
"Marie Curie",?,?,825746
"2020 Stanley Cup playoffs",?,?,823057
"MS Dhoni",?,?,812289
"Ivanka Trump",?,?,807985
"Milana Vayntrub",?,?,807718
"Donald Trump Jr.",?,?,796126
"Robert Pattinson",?,?,792818
"2020–21 UEFA Europa League",?,?,788598
"FC Barcelona",?,?,764497
"Nancy Pelosi",?,?,756959
"Sadak 2",?,?,755239
"Kellyanne Conway",?,?,740732
"Black Lives Matter",?,?,734741
"Big Brother 22 (American season)",?,?,731181
"Neilia Hunter",?,?,729594
"Periodic table",?,?,728809
"Charli D'Amelio",?,?,728423
"Antifa (United States)",?,?,728350
"Tiffany Trump",?,?,726865
"Katy Perry",?,?,718907
"Spanish flu",?,?,718316
"Ben Shapiro",?,?,716711
"LeBron James",?,?,716557
"The Old Guard (2020 film)",?,?,715460
"Alexander Lukashenko",?,?,711517
"Alexandre Dumas",?,?,704631
"Mike Tyson",?,?,704107
"Lewis Hamilton",?,?,702922
"Ellen DeGeneres",?,?,699186
"Elvis Presley",?,?,696142
"Louis DeJoy",?,?,695880
"The Boys (2019 TV series)",?,?,695717
"Juice Wrld",?,?,690195
"Cuties",?,?,686552
"Ronald Reagan",?,?,685650
"Gillian Anderson",?,?,682552
"Nationwide opinion polling for the 2020 United States presidential election",?,?,681654
"Stipe Miocic",?,?,681202
"Annabelle (doll)",?,?,680058
"UEFA Europa League",?,?,679905
"2020 Formula One World Championship",?,?,679529
"S. P. Balasubrahmanyam",?,?,679313
"List of The Umbrella Academy characters",?,?,678836
"Hunter Biden",?,?,677675
"Khuda Haafiz",?,?,677350
"Coronavirus disease 2019",?,?,676743
"John F. Kennedy",?,?,673007
"Mike Pence",?,?,671592
"Independence Day (India)",?,?,671132
"Michael Jackson",?,?,670757
"List of most-viewed online videos in the first 24 hours",?,?,670137
"Vladimir Putin",?,?,669423
"2020 Atlantic hurricane season",?,?,668854
"COVID-19 pandemic in the United States",?,?,668628
"Paris Saint-Germain F.C.",?,?,665484
"Serge Gnabry",?,?,664848
"Ghislaine Maxwell",?,?,663778
"Tom Cruise",?,?,663591
"Richard Jewell",?,?,661182
"Shia LaBeouf",?,?,660545
"Robert Lewandowski",?,?,653554
"Orlando Bloom",?,?,650292
"Mia Khalifa",?,?,646898
"World War II",?,?,641664
"Robin Williams",?,?,641057
"Robert Trump",?,?,640423
"The World's Billionaires",?,?,636307
"Emmy Raver-Lampman",?,?,635668
"Taylor Swift",?,?,635125
"Bill & Ted Face the Music",?,?,633541
"Jason Momoa",?,?,630351
"List of most-viewed YouTube videos",?,?,627710
"2020 NBA playoffs",?,?,627480
"United Kingdom",?,?,627217
"Tony West (attorney)",?,?,627006
"Gavin Newsom",?,?,625418
"Mulan (2020 film)",?,?,621911
"Donald Harris (professor)",?,?,621327
"Unhinged (2020 film)",?,?,620890
"Shakuntala Devi (film)",?,?,620356
"Clint Eastwood",?,?,619029
"Collin Morikawa",?,?,618452
"The Suicide Squad (film)",?,?,617732
"Arnold Schwarzenegger",?,?,616286
"Mahesh Bhatt",?,?,615169
"Selling Sunset",?,?,615026
"HTTP cookie",?,?,614853
"Christopher Nolan",?,?,613225
"List of Lucifer episodes",?,?,613084
"Joey King",?,?,612562
"Frank Sinatra",?,?,610705
"Yellowstone (American TV series)",?,?,608949
"Seven deadly sins",?,?,607282
"Leonardo DiCaprio",?,?,606497
"Machine Gun Kelly (musician)",?,?,605416
"Jacob Elordi",?,?,601050
"Diriliş: Ertuğrul",?,?,600700
"Adolf Hitler",?,?,599586
"Pirates of the Caribbean (film series)",?,?,594910
"BTS",?,?,594125
"Johnny Depp",?,?,594042
"Jennifer Aniston",?,?,590169
"Bruce Lee",?,?,589873
"Texas City disaster",?,?,589007
"Zac Efron",?,?,588798
"Marilyn Monroe",?,?,588149
"John David Washington",?,?,587955
"Neymar",?,?,586986
"Tom Selleck",?,?,586456
"Prince Philip, Duke of Edinburgh",?,?,585724
"Sean Connery",?,?,580347
"Dua Lipa",?,?,576248
"Macaulay Culkin",?,?,572858
"Tom Ellis (actor)",?,?,572319
"Franklin D. Roosevelt",?,?,570709
"Pornhub",?,?,569878
"Scarlett Johansson",?,?,568577
"Thiago Silva",?,?,564923
"Ken Miles",?,?,563482
"365 Days (2020 film)",?,?,563248
"Canada's Drag Race",?,?,563025
"Mahatma Gandhi",?,?,560628
"Arsenal F.C.",?,?,560308
"The Legend of Korra",?,?,558794
"Pablo Escobar",?,?,558504
"Steve Jobs",?,?,557781
"Kingsley Coman",?,?,557711
"H. P. Lovecraft",?,?,557285
"George VI",?,?,556706
"Freddie Mercury",?,?,556006
"Knives Out",?,?,555818
"World War I",?,?,555028
"Bill Gates",?,?,554961
"XXXTentacion",?,?,554769
"Charlize Theron",?,?,554425
"OnlyFans",?,?,554347
"Schitt's Creek",?,?,552428
"Miley Cyrus",?,?,551998
"Chelsea F.C.",?,?,551342
"Lisa Bonet",?,?,551179
"Cameron Diaz",?,?,550893
"Hans-Dieter Flick",?,?,550032
"Princess Margaret, Countess of Snowdon",?,?,550004
"Lin-Manuel Miranda",?,?,549284
"Britney Spears",?,?,548125
"Ariana Grande",?,?,547836
"Bill Clinton",?,?,545215
"RB Leipzig",?,?,544500
"Kayleigh McEnany",?,?,543410
"United Arab Emirates",?,?,542878
"Megan Fox",?,?,541971
"Dirty John (TV series)",?,?,541536
"Chi Chi DeVayne",?,?,540801
"The Pirate Bay",?,?,540632
"Facebook",?,?,540596
"Political positions of Kamala Harris",?,?,538854
"List of states and territories of the United States",?,?,535761
"George Soros",?,?,534526
"Tom Hanks",?,?,534169
"Chernobyl disaster",?,?,533894
"Joker (2019 film)",?,?,533271
"Google",?,?,533176
"The Fall (TV series)",?,?,532604
"Daniel Cormier",?,?,531200
"Thiago Alcântara",?,?,528843
"Microsoft Flight Simulator (2020 video game)",?,?,524765
"Kenosha, Wisconsin",?,?,523079
"Jordan Fisher",?,?,522757
"Zoë Kravitz",?,?,522646
"Adrenochrome",?,?,522290
"Sanjay Dutt",?,?,522234
"Tasuku Honjo",?,?,521128
"Aaron Burr",?,?,520683
"Vietnam War",?,?,520263
"Derecho",?,?,519674
