Page,Edits,Editors,Views
"Donald Trump",522,144,28053758
"Joe Biden",535,216,16278499
"Kamala Harris",292,133,16118913
"2020 United States presidential election",1818,435,12451251
"2016 United States presidential election",48,32,11372871
"United States Electoral College",314,103,9120844
"The Queen's Gambit (miniseries)",377,149,6953166
"Diego Maradona",606,292,6168360
"Elizabeth II",39,26,5475358
"Bible",9,7,5327823
"Diana, Princess of Wales",82,27,5249054
"Margaret Thatcher",83,23,5172050
"Princess Margaret, Countess of Snowdon",193,32,4972001
"Beau Biden",50,35,4520588
"Jill Biden",156,58,4495601
"2012 United States presidential election",52,36,4382051
"Anya Taylor-Joy",80,48,4269826
"2008 United States presidential election",33,26,4232342
"Charles, Prince of Wales",0,0,3777790
"Barack Obama",72,48,3601489
"Deaths in 2020",2509,245,3511116
"2000 United States presidential election",47,35,3372178
"List of presidents of the United States",42,22,3340398
"Louis Mountbatten, 1st Earl Mountbatten of Burma",86,51,3224370
"Sean Connery",404,116,3070395
"Prince Philip, Duke of Edinburgh",14,11,3062485
"Megan Is Missing",27,13,3049939
"Alex Trebek",424,202,3000968
"Douglas Emhoff",0,0,2893514
"Hunter Biden",30,17,2785981
"Shyamala Gopalan",88,57,2707024
"The Mandalorian",143,72,2680836
"Anne, Princess Royal",67,24,2668716
"The Undoing (miniseries)",0,0,2651777
"Donald J. Harris",52,40,2594178
"The Crown (TV series)",293,84,2570299
"Ashley Biden",61,37,2486622
"2004 United States presidential election",31,26,2428042
"Harshad Mehta",158,104,2273144
"Camilla, Duchess of Cornwall",0,0,2257175
"George VI",42,31,2238267
"Maya Harris",23,19,2198603
"Melania Trump",58,36,2137944
"Neilia Hunter",1,1,2127464
"King Von",291,130,2032798
"Microsoft Office",2,2,2028231
"Prince Edward, Earl of Wessex",0,0,2008054
"XXXX",0,0,1929279
"1992 United States presidential election",55,41,1891312
"G. R. Gopinath",125,74,1869400
"The Crown (season 4)",394,84,1864758
"Michael Fagan (intruder)",45,37,1847765
"Republican Party (United States)",62,34,1821215
"Democratic Party (United States)",81,47,1802165
"Parler",251,72,1780274
"1996 United States presidential election",30,17,1769582
"Prince Andrew, Duke of York",34,14,1759392
"Edward VIII",18,13,1741707
"Ronald Reagan",24,17,1734214
"1984 United States presidential election",35,26,1728446
"Cleopatra",14,7,1721625
"George W. Bush",31,23,1681001
"Alexandria Ocasio-Cortez",48,32,1672525
"Winston Churchill",28,15,1667710
"United States presidential election",46,36,1655254
"Meena Harris",37,26,1644351
"United States",206,70,1636881
