Page,Edits,Editors,Views
"Kenosha unrest shooting",1043,209,5773240
"Eternals (film)",765,140,4814442
"Cleopatra",5,4,4595782
"Bible",8,8,4282986
"Deaths in 2021",2173,208,3431182
"Adele",55,37,3018080
"Dune (2021 film)",335,109,2531922
"Shang-Chi and the Legend of the Ten Rings",233,93,2474566
"No Time to Die",401,162,2407993
"Ralf Rangnick",275,129,2392322
"YouTube",28,20,2281482
"Elon Musk",124,50,2111936
"Jai Bhim (film)",457,165,2099751
"Squid Game",216,63,2033385
"Patrizia Reggiani",70,48,2007125
"Spider-Man: No Way Home",576,130,1916477
"Red Notice (film)",310,173,1908463
"2022 FIFA World Cup qualification",263,45,1830569
"Pete Davidson",85,65,1818920
"Arcane (TV series)",273,130,1801875
"Travis Scott",143,66,1793638
"ICC Men's T20 World Cup",159,70,1771680
"House of Gucci",340,134,1741148
"Maurizio Gucci",17,13,1695708
"Jonathan Larson",17,17,1690205
"2022 FIFA World Cup qualification (UEFA)",175,73,1637269
"Sooryavanshi",524,140,1613847
"XXXX",0,0,1560908
"Taylor Swift",212,41,1550235
"Virgil Abloh",338,171,1548694
"Amado Carrillo Fuentes",16,16,1523453
"The Wheel of Time (TV series)",181,72,1512415
"Stephen Sondheim",327,121,1466640
"Ghostbusters: Afterlife",711,164,1453609
"The Wheel of Time",21,15,1433776
"Young Dolph",316,171,1430551
"Succession (TV series)",124,36,1407466
"Ansel Adams",7,7,1398830
"Microsoft Office",5,5,1360205
"The Harder They Fall (2021 film)",141,67,1353576
"United States",232,48,1325951
"Richard Williams (tennis coach)",22,21,1315580
"List of James Bond films",69,40,1313707
"Hawkeye (2021 TV series)",0,0,1284902
"Diwali",43,22,1251344
"Google",22,14,1250268
"Cristiano Ronaldo",43,14,1243577
"Killing of Ahmaud Arbery",3,2,1231022
"Venom: Let There Be Carnage",95,24,1222598
"Ryan Reynolds",30,17,1217808
"Meta Platforms",85,43,1212696
"Venus Williams",21,17,1198102
"Elizabeth II",94,40,1177417
"Serena Williams",12,11,1175184
"Colin Kaepernick",12,10,1172797
"Jake Gyllenhaal",19,14,1159965
"Timothée Chalamet",36,20,1159252
"Dune (novel)",80,41,1152875
"Critical race theory",648,58,1145791
"Thanksgiving",84,15,1145664
"Canelo Álvarez",70,20,1144936
"Dwayne Johnson",32,22,1136673
"Puneeth Rajkumar",103,51,1133184
"Yellowstone (American TV series)",88,44,1120037
"Gmail",2,1,1098042
"UFC 268",127,52,1096786
"Google Translate",6,4,1091557
"Annaatthe",498,176,1085957
"Turpin case",78,44,1077337
"List of Marvel Cinematic Universe films",57,15,1049770
"2022 ICC Men's T20 World Cup",146,55,1048171
"XXX (film series)",23,19,1044188
"India",14,8,1040472
"Dexter: New Blood",136,56,1032213
"Catherine the Great",39,20,1021929
"Omicron",58,39,1021370
"Henry Ruggs",261,135,1011308
"Gal Gadot",46,22,998675
"Facebook",40,25,991427
"Ballon d'Or",60,23,973628
"Greek alphabet",11,6,973600
"2022 FIFA World Cup",79,37,973355
"Wikipedia",28,14,971167
"Skathi (moon)",0,0,965804
"F5 Networks",1,1,953520
"Lady Gaga",37,17,952028
"Gucci",7,6,950068
"Simu Liu",37,28,940642
"Hellbound (TV series)",99,36,932217
"Survivor Series (2021)",546,118,931577
"2021 ICC Men's T20 World Cup",403,85,921921
"Sex",1,1,921177
"CEO",0,0,917765
"Army of Thieves",94,39,914730
"Narcos: Mexico",102,35,907832
"Google Classroom",1,1,903047
"Zendaya",48,21,894002
"Internet",5,5,892377
"Freddie Mercury",14,11,888352
"Cowboy Bebop",23,17,884658
"Amazon (company)",?,?,877716
"Benjamín Arellano Félix",?,?,876840
"Black Friday (shopping)",?,?,868178
"Glenn Youngkin",?,?,866996
"Lionel Messi",?,?,864923
"Hailee Steinfeld",?,?,858005
"YouTube Music",?,?,856544
"Susan Wojcicki",?,?,856523
"Love Hard (film)",?,?,851063
"Cowboy Bebop (2021 TV series)",?,?,848554
"Andrew Garfield",?,?,841912
"Last Night in Soho",?,?,839660
"You (TV series)",?,?,834566
"Non-fungible token",?,?,830195
"Red (Taylor's Version)",?,?,829994
"Awkwafina",?,?,828115
"Sukumara Kurup",?,?,823295
"Android (operating system)",?,?,819277
"2021 Formula One World Championship",?,?,817384
"Daniel Craig",?,?,811588
"Mark Zuckerberg",?,?,811158
"YouTube Premium",?,?,808854
"Kurup (film)",?,?,807627
"Angelina Jolie",?,?,803940
"Instagram",?,?,800379
"Gemma Chan",?,?,799627
"Macaulay Culkin",?,?,797238
"United Kingdom",?,?,795290
"30 (Adele album)",?,?,795113
"Let's Go Brandon",?,?,794429
"Miguel Ángel Félix Gallardo",?,?,792213
"Joaquín ""El Chapo"" Guzmán",?,?,791939
"Tick, Tick... Boom! (film)",?,?,785106
"Kim Kardashian",?,?,784856
"XXX: Return of Xander Cage",?,?,782053
"The Beatles",?,?,773233
"Netflix",?,?,772074
"Microsoft Windows",?,?,771241
"Kieran Culkin",?,?,768256
"Black Mafia Family",?,?,767225
"Joe Biden",?,?,765133
"Kylie Jenner",?,?,764710
"Dancing with the Stars (American season 30)",?,?,761642
"Manchester United F.C.",?,?,760130
"Nina Dobrev",?,?,759923
"Harry Styles",?,?,758255
"Finch (film)",?,?,751931
"List of Tor onion services",?,?,750333
"Paul Rudd",?,?,743060
"Black Knight (Dane Whitman)",?,?,738333
"Encanto (film)",?,?,737102
"WhatsApp",?,?,735187
"Paul McCartney",?,?,732761
"Enedina Arellano Félix",?,?,731883
"Shooting of Jacob Blake",?,?,727290
"Kal Penn",?,?,725835
"Tick, Tick... Boom!",?,?,720388
"Eternals (comics)",?,?,719248
"IOS",?,?,716936
"2021 Virginia gubernatorial election",?,?,716924
"Paola Franchi",?,?,715348
"Kristen Stewart",?,?,711736
"Army of the Dead",?,?,708952
"Ted Lasso",?,?,706129
"Ariana Grande",?,?,704354
"Leonardo DiCaprio",?,?,701356
"Keanu Reeves",?,?,696565
"King Richard (film)",?,?,693990
"Bigg Boss (Hindi season 15)",?,?,693912
"XXXTentacion",?,?,692289
"Null",?,?,690456
"Kanye West",?,?,682431
"Parag Agrawal",?,?,681780
"Vicky Kaushal",?,?,681385
"Antonio Conte",?,?,680491
"Paris Hilton",?,?,675496
"Day of the Dead",?,?,675268
"Zac Stacy",?,?,675249
"George Harrison",?,?,674826
"Metaverse",?,?,674010
"Antim: The Final Truth",?,?,673585
"Marvel Cinematic Universe: Phase Four",?,?,672856
"World War II",?,?,671346
"JavaScript",?,?,670406
"Microsoft Teams",?,?,668319
"Sustainable energy",?,?,659055
"BTS",?,?,658230
"Diana, Princess of Wales",?,?,654303
"Aaron Rodgers",?,?,653512
"Salma Hayek",?,?,653050
"Foundation (TV series)",?,?,652846
"Ramón Arellano Félix",?,?,650276
"2022 FIFA World Cup qualification – UEFA Second Round",?,?,647797
"Michael Jackson",?,?,643315
"Adam Driver",?,?,639830
"Ed Sheeran",?,?,638385
"New York City",?,?,637062
"Adolf Hitler",?,?,636440
"Donald Trump",?,?,635720
"David Ginola",?,?,633731
"Marvel Cinematic Universe",?,?,633017
"Scarlett Johansson",?,?,627410
"COVID-19 pandemic",?,?,627319
"Will Smith",?,?,624885
"Jeff Bezos",?,?,624370
"2021 in film",?,?,623799
"Ritu Arya",?,?,617896
"Doctor (2021 film)",?,?,616502
"Starfox (comics)",?,?,616211
"John Lennon",?,?,615866
"2021 New Jersey gubernatorial election",?,?,615018
"Rich Paul",?,?,613862
"Ole Gunnar Solskjær",?,?,613629
"ABBA",?,?,613523
"Katrina Kaif",?,?,613413
"Dopesick (miniseries)",?,?,610253
"Jonathan Majors",?,?,608524
"Tom Holland",?,?,608517
"MacOS",?,?,601560
"No Nut November",?,?,600590
"Margaret Qualley",?,?,595514
"XXXX (album)",?,?,593079
"Lewis Hamilton",?,?,592079
"World War I",?,?,590770
"Kamaru Usman",?,?,589304
"China",?,?,587391
"Naughty Boy",?,?,586320
"Let It Be (Beatles album)",?,?,584450
"Kobe Bryant sexual assault case",?,?,582663
"Japan",?,?,581961
