Page,Edits,Editors,Views
"United States Senate",8,3,132741408
"2019–20 coronavirus pandemic",0,0,21390289
"Coronavirus",251,128,11076861
"2019–20 coronavirus outbreak",2,2,8241399
"Spanish flu",290,130,8235621
"Coronavirus disease 2019",0,0,7776289
"2020 coronavirus pandemic in India",0,0,6630222
"2020 coronavirus pandemic in Italy",0,0,5441530
"2020 coronavirus pandemic in the United States",0,0,5306226
"2019–20 coronavirus pandemic by country and territory",0,0,4977855
"Laptop",34,22,4595168
"2009 flu pandemic",1,1,4106267
"2020 Democratic Party presidential primaries",981,235,4012840
"Deaths in 2020",2541,281,3870838
"Pandemic",345,192,3323437
"Madam C. J. Walker",131,85,3223217
"Black Death",100,56,3137390
"Andrew Cuomo",34,22,3056707
"Contagion (2011 film)",218,92,3041503
"The Invisible Man (2020 film)",247,136,3020893
"Tiger King: Murder, Mayhem and Madness",0,0,3020111
"Joseph Maldonado-Passage",1,1,2733719
"Kenny Rogers",295,125,2616152
"2019–20 coronavirus outbreak by country and territory",1,1,2570016
"Zhong Nanshan",69,44,2428381
"The Eyes of Darkness",181,103,2415644
"Severe acute respiratory syndrome coronavirus 2",3,3,2370964
"Bible",2,2,2316415
"List of epidemics",0,0,2127988
"2020 coronavirus pandemic in Spain",0,0,2066834
"Joe Biden",276,81,2023868
"Tom Hanks",101,70,2009716
"2020 coronavirus pandemic in Germany",0,0,1930021
"2020 coronavirus pandemic in Turkey",0,0,1896775
"WrestleMania 36",871,104,1877506
"Orthohantavirus",103,71,1865986
"2020 coronavirus pandemic in the United Kingdom",0,0,1852257
"Carole Baskin",133,53,1832056
"2019–20 Wuhan coronavirus outbreak",1,1,1786503
"Kepler's Supernova",1,1,1767989
"2020 coronavirus outbreak in Italy",1,1,1749706
"Donald Trump",232,56,1744669
"Severe acute respiratory syndrome",0,0,1740877
"Martial law",86,70,1716750
"Bernie Sanders",78,41,1706674
"Parasite (2019 film)",219,113,1685241
"Chris Cuomo",24,15,1638143
"2020 coronavirus pandemic in Canada",0,0,1570820
"Donald trump",0,0,1535580
"BBC World Service",8,4,1526436
"Ken Miles",23,17,1526044
"Elizabeth II",27,17,1513494
"United States",148,47,1506603
"2020 coronavirus pandemic in Australia",0,0,1480764
"Italy",61,24,1471184
"A'Lelia Walker",31,23,1454905
"Super Tuesday",62,34,1435103
"Onward (film)",235,90,1414323
"Anthony Fauci",205,100,1401616
"Virus",79,36,1399413
"F5 Networks",0,0,1366158
"Park Chanyeol",1,1,1356887
"2009 flu pandemic in the United States",0,0,1354190
"Sex",1,1,1335040
"Influenza A virus subtype H1N1",51,31,1331046
"2012 Delhi gang rape",0,0,1316818
"2020 coronavirus outbreak in the United States",1,1,1313940
"Harvey Weinstein",76,44,1291117
"2020 coronavirus pandemic in Pakistan",0,0,1278433
"Crash Landing on You",153,43,1256745
"Boris Johnson",74,47,1241906
"2020 coronavirus pandemic in the Philippines",0,0,1240563
"Wuhan",118,73,1233638
"The Platform (film)",70,48,1230921
"Chloroquine",312,134,1218434
"Periodic table",87,9,1202786
"Favipiravir",103,64,1194011
"Miguel Ángel Félix Gallardo",26,20,1191847
"2020 coronavirus pandemic in Europe",0,0,1187685
"XXXX",0,0,1178962
"Spenser Confidential",90,46,1176797
"Apple Network Server",0,0,1160147
"Ozark (TV series)",132,43,1147608
"List of Bollywood films of 2020",0,0,1144927
"Mario Cuomo",32,25,1143418
