Page,Edits,Editors,Views
"Indian Premier League",215,43,8512012
"ChatGPT",112,59,8009498
"2023 Indian Premier League",935,142,5772880
"Cleopatra",49,15,5417103
"The Super Mario Bros. Movie",1488,319,4279988
"Deaths in 2023",1830,180,3922728
"YouTube",16,12,3520449
"XXX: Return of Xander Cage",0,0,3086064
"WrestleMania 39",475,75,2889962
"Jerry Springer",322,137,2845204
"Beef (TV series)",210,114,2645245
"List of American films of 2023",327,69,2639405
"John Wick: Chapter 4",364,153,2256720
"Evil Dead Rise",240,69,2216008
"Kisi Ka Bhai Kisi Ki Jaan",366,59,2131556
"Alan Rickman",35,25,1987437
"Instagram",7,7,1955529
"Premier League",77,51,1927949
"Succession (TV series)",239,69,1925872
"XXX (film series)",1,1,1907780
"XXXX (beer)",25,22,1793639
"Facebook",22,10,1705129
"2023 NFL Draft",727,131,1692559
"Jon Rahm",144,82,1687533
"Boston Marathon bombing",68,53,1625314
"Keanu Reeves",33,13,1608220
"Robert F. Kennedy Jr.",175,75,1607707
"Ali Wong",69,39,1562362
"Atique Ahmed",2,2,1518839
"Elon Musk",23,16,1505483
"Harry Belafonte",346,136,1476975
"Dzhokhar Tsarnaev",139,37,1476102
"Gervonta Davis",144,82,1450259
"United States",481,64,1443195
"Sex",8,3,1435660
"Kim Mulkey",36,28,1434326
"Wrexham A.F.C.",169,102,1382104
"Tucker Carlson",164,79,1379340
"Ana de Armas",44,31,1378678
"Taylor Swift",151,59,1377542
"Donald Trump",161,67,1368756
"Ryan Garcia",46,36,1358008
"Moon Bin",1,1,1347846
"Ansel Adams",14,11,1346034
"The Night Agent",106,50,1331829
"Brooke Shields",37,18,1330402
"Andrew Tate",36,23,1328164
"Whitney Houston",59,17,1307850
"Cristiano Ronaldo",26,14,1299964
"Keri Russell",24,15,1291285
"Dungeons & Dragons: Honor Among Thieves",372,135,1280021
"Maryland",10,10,1270521
"Dasara (film)",137,41,1245516
"The Mandalorian",73,41,1242596
"World Chess Championship 2023",923,173,1236920
"Dylan Mulvaney",126,40,1177596
"Ted Lasso",159,63,1164208
"India",69,32,1156550
"The Mandalorian (season 3)",233,84,1134412
"Joe Biden",44,29,1126850
"Ryan Reynolds",18,15,1113552
"Sudan",146,91,1109558
"2010 Northumbria Police manhunt",47,28,1107676
"XXXTentacion",7,5,1098399
"Pedro Pascal",12,10,1094841
"Erling Haaland",81,34,1087561
"Omegle",2,2,1062594
"Millie Bobby Brown",35,24,1061358
"Caitlin Clark",103,45,1050483
"Avatar: The Way of Water",86,18,1039055
"Google",3,3,1032260
"2023 World Snooker Championship",1446,134,1018989
"Lionel Messi",56,26,997659
"Sofia Richie",32,19,992648
"Yellowjackets (TV series)",119,43,992463
"Wikipedia",35,18,991599
"Shazam! Fury of the Gods",137,56,978846
"Barry Humphries",346,116,978300
"Jeremy Renner",9,8,956212
"Air (2023 film)",260,89,952820
"Eid al-Fitr",32,20,947047
"Oshi no Ko",126,50,940109
"Suits index",0,0,938436
"Anya Taylor-Joy",29,14,937639
"Israel Adesanya",66,26,937585
"The Last of Us (TV series)",36,15,934322
"Steven Yeun",41,28,933877
"Bholaa",267,73,930594
"Internet",10,9,930460
"The Pope's Exorcist",254,78,930282
"Ghosted (2023 film)",112,57,911807
"Michael Jordan",27,13,910455
"Beau Is Afraid",238,107,902003
"B. R. Ambedkar",25,12,887877
"Guardians of the Galaxy Vol. 3",209,97,883724
"Brooks Koepka",31,23,879832
"Elizabeth II",25,12,865518
