Page,Edits,Editors,Views
"Bob Saget",351,159,6807825
"Betty White",696,172,5900462
"Bible",297,20,4488269
"Spider-Man: No Way Home",589,121,4396131
"Cleopatra",3,3,4131379
"Meat Loaf",547,220,3956170
"Deaths in 2022",0,0,3926077
"Eternals (film)",198,76,3552382
"Pushpa: The Rise",408,74,3482817
"Euphoria (American TV series)",348,156,3276084
"Encanto (film)",0,0,3225313
"YouTube",32,19,2896359
"Sidney Poitier",765,292,2801290
"Royal Rumble (2022)",1126,195,2730523
"Zendaya",40,24,2223034
"Tom Brady",183,71,2000272
"Rafael Nadal",127,55,1931502
"Julia Fox (actress)",0,0,1926917
"XXXX",0,0,1920815
"Scream (2022 film)",651,197,1899467
"Microsoft Office",7,5,1894973
"Don't Look Up (2021 film)",2,1,1892582
"Joe Burrow",110,42,1814787
"The Book of Boba Fett",573,158,1742464
"The Witcher (TV series)",100,59,1711981
"Novak Djokovic",338,107,1706682
"Andrew Garfield",44,26,1706337
"List of highest-grossing films",150,16,1690061
"List of Marvel Cinematic Universe films",35,14,1671765
"XXX (film series)",1,1,1667039
"2021 Africa Cup of Nations",457,146,1659757
"Ozark (TV series)",156,52,1636459
"Peacemaker (TV series)",355,142,1628665
"Hunter Schafer",122,72,1627882
"Tom Holland",41,17,1603616
"The Matrix Resurrections",310,103,1533407
"United States",198,51,1515788
"Igor and Grichka Bogdanoff",146,83,1499702
"Elon Musk",128,50,1491802
"Elizabeth II",54,15,1479152
"Moon Knight",115,75,1465502
"Skathi (moon)",0,0,1448029
"Ben Roethlisberger",98,43,1441876
"The Lost Daughter (film)",92,38,1440760
"Stay Close",66,44,1409906
"Ashleigh Barty",241,118,1348095
"Yellowstone (American TV series)",74,39,1339627
"Antonio Brown",174,68,1335466
"Emma Watson",29,18,1329415
"Patrick Mahomes",121,27,1300738
"Cristiano Ronaldo",18,12,1300660
"Cobra Kai",133,62,1295192
"Google",26,16,1294905
"Ukraine",64,23,1291882
"Elizabeth Holmes",178,46,1288185
"List of Super Bowl champions",14,6,1280959
"Yellowjackets (TV series)",213,40,1263371
"Black Knight (Dane Whitman)",26,15,1251113
"Archive 81",163,56,1243851
"Jonathan Larson",21,16,1230122
"Google Translate",10,5,1227222
"Non-fungible token",117,39,1221190
"Alexa Demie",9,5,1217836
"Allu Arjun",43,12,1213184
"India",45,21,1205796
"Tonga",102,72,1205295
"Harry Potter (film series)",5,4,1198145
"Joe Rogan",57,35,1197154
"CEO",0,0,1188762
"Jimmy Garoppolo",145,80,1182246
"Martin Luther King Jr.",96,32,1179747
"Bigg Boss (Hindi season 15)",301,19,1162046
"Prince Andrew, Duke of York",336,66,1144409
"Daniil Medvedev",202,97,1141846
"Meta Platforms",11,9,1135481
"YouTube Music",5,4,1133270
"Manifest (TV series)",14,11,1133169
"The Power of the Dog (film)",105,56,1124805
"Tasuku Honjo",20,14,1115888
"Susan Wojcicki",4,4,1108326
"Instagram",7,7,1107933
"Succession (TV series)",72,38,1107625
"Louie Anderson",190,97,1105536
"Lucille Ball",26,22,1099491
"YouTube Premium",14,12,1098858
"Sinéad O'Connor",42,25,1093132
"Wikipedia",35,27,1088369
"Kazakhstan",97,46,1083299
"Android (operating system)",4,4,1081998
"Facebook",13,12,1074844
"Africa Cup of Nations",52,35,1068843
"Pete Davidson",55,38,1065898
"Snowdrop (South Korean TV series)",323,85,1063750
"XXXX (album)",16,15,1058772
"Gmail",2,2,1057843
"Keanu Reeves",15,14,1040263
"Ansel Adams",8,6,1032743
"Leonardo DiCaprio",221,17,1031696
"Dexter: New Blood",102,50,1025766
"RRR (film)",0,0,1019048
"Aaron Rodgers",?,?,1006304
"Tobey Maguire",?,?,1006033
"Microsoft Windows",?,?,1006027
"Bea Arthur",?,?,1003427
"Republic Day (India)",?,?,1001233
"Helen McCrory",?,?,999326
"Matthew Stafford",?,?,998196
"The Golden Girls",?,?,997016
"IOS",?,?,991815
"Ronnie Spector",?,?,990736
"Emmett Till",?,?,985558
"F5 Networks",?,?,982603
"Gaspard Ulliel",?,?,975910
"UFC 270",?,?,973584
"Allen Ludden",?,?,965962
"Shyam Singha Roy",?,?,964535
"Jason Momoa",?,?,954055
"No Time to Die",?,?,952775
"Netflix",?,?,952710
"Marvel Cinematic Universe: Phase Four",?,?,949388
"Marvel Cinematic Universe",?,?,938536
"Moon Knight (TV series)",?,?,936434
"Sex",?,?,934491
"Amazon (company)",?,?,930683
"Flag of India",?,?,929514
"Justin Trudeau",?,?,924965
"2022 Australian Open – Men's Singles",?,?,921766
"Daniel Radcliffe",?,?,912629
"Roger Federer",?,?,910996
"2022 Australian Open",?,?,910310
"Josh Allen (quarterback)",?,?,899857
"Lily Collins",?,?,890929
"All of Us Are Dead",?,?,889996
"Rue McClanahan",?,?,888069
"XXXTentacion",?,?,882704
"Anne Frank",?,?,879934
"Super Bowl LVI",?,?,875340
"Spider-Man (2002 film)",?,?,874528
"Ghostbusters: Afterlife",?,?,874049
"List of James Bond films",?,?,869885
"United Kingdom",?,?,864197
"Timothée Chalamet",?,?,860928
"Sing 2",?,?,854595
"Jeffrey Epstein",?,?,841487
"Gemma Chan",?,?,837023
"The King's Man",?,?,836575
"Kanye West",?,?,825840
"Null",?,?,822892
"Estelle Getty",?,?,818318
"Robert W. Malone",?,?,816467
"The Matrix",?,?,813483
"Adolf Hitler",?,?,812906
"WhatsApp",?,?,811915
"The Last Duel (2021 film)",?,?,810890
"2022 Uttar Pradesh Legislative Assembly election",?,?,807657
"Jennifer Lawrence",?,?,800375
"NATO",?,?,796412
"JavaScript",?,?,796090
"World War II",?,?,789216
"Attack on Titan (season 4)",?,?,788367
"Rashmika Mandanna",?,?,785875
"Dwayne Johnson",?,?,783162
"Licorice Pizza",?,?,781810
"Boris Johnson",?,?,780691
"Cincinnati Bengals",?,?,777266
"Lisa Bonet",?,?,773796
"Henry Cavill",?,?,771874
"Sydney Sweeney",?,?,771337
"David Bowie",?,?,766478
"XXX: Return of Xander Cage",?,?,762077
"Dhanush",?,?,761058
"Sean Payton",?,?,758239
"New York City",?,?,757495
"COVID-19",?,?,757123
"Michael Jackson",?,?,757084
"Russia",?,?,755890
"COVID-19 pandemic",?,?,754852
"2022 Hunga Tonga eruption and tsunami",?,?,749513
"Atrangi Re",?,?,742840
"Emma Stone",?,?,737584
"Internet",?,?,733550
"Dune (2021 film)",?,?,731303
"Donald Trump",?,?,730319
"Brownie (folklore)",?,?,727944
"Tick, Tick... Boom! (film)",?,?,724928
"Megan Fox",?,?,719549
"Jeff Bezos",?,?,718855
"Willem Dafoe",?,?,717497
"C++",?,?,716346
"The Woman in the House Across the Street from the Girl in the Window",?,?,716004
"Station Eleven (miniseries)",?,?,713810
"After Life (TV series)",?,?,712458
"The Pirate Bay",?,?,712163
"Angelina Jolie",?,?,711812
"The Weeknd",?,?,710225
"Ram Charan",?,?,708223
"Don't Look Up",?,?,708136
"Priyanka Chopra",?,?,706657
"83 (film)",?,?,706455
"Rupert Grint",?,?,705632
"John Madden",?,?,705323
"Vladimir Putin",?,?,703759
"Marilyn Monroe",?,?,699411
"Joe Biden",?,?,697773
"Emily in Paris",?,?,696110
"Alan Rickman",?,?,695507
"Kim Kardashian",?,?,692173
"Australian Open",?,?,690198
"Stephen Hawking",?,?,689695
"And Just Like That...",?,?,689390
"Scream (franchise)",?,?,684691
"Machine Gun Kelly (musician)",?,?,682128
"Catherine the Great",?,?,677850
"Danielle Collins",?,?,677793
"WWE Day 1",?,?,676826
"Pamela Anderson",?,?,675363
"Japan",?,?,675145
"MacOS",?,?,671220
"Janet Jackson",?,?,670818
"Lin-Manuel Miranda",?,?,668900
"Kirsten Dunst",?,?,668077
"Los Angeles Rams",?,?,667404
"Stephen Port",?,?,666814
"Super Bowl",?,?,666051
"2022 Winter Olympics",?,?,664127
"BTS",?,?,662688
"Stephen Breyer",?,?,661883
"Hotel Transylvania: Transformania",?,?,661021
"Spider-Man: Homecoming",?,?,657982
"Tammy Faye Messner",?,?,657355
"Australia",?,?,654142
"Metaverse",?,?,652195
"Clint Eastwood",?,?,651880
"Scarlett Johansson",?,?,647244
"The Batman (film)",?,?,645995
"Mahatma Gandhi",?,?,645910
"Margaret Campbell, Duchess of Argyll",?,?,645634
"China",?,?,644288
"Harry Potter",?,?,642122
"Ghislaine Maxwell",?,?,639195
"Peaky Blinders (TV series)",?,?,636561
"BBC World Service",?,?,632116
"Ryan Reynolds",?,?,629569
"List of Tor onion services",?,?,627823
"Dawn FM",?,?,627769
"Samantha Ruth Prabhu",?,?,626633
"Pornhub",?,?,626562
"Aileen Wuornos",?,?,626221
"Stephanie Beatriz",?,?,626112
"Robert Durst",?,?,625174
"N. T. Rama Rao Jr.",?,?,624634
"Bigg Boss (Tamil season 5)",?,?,623016
"Cooper Kupp",?,?,622850
"Neil Young",?,?,621636
"Julia Garner",?,?,619751
"Ralph Macchio",?,?,618719
"Helena Bonham Carter",?,?,618697
"Jamie Dornan",?,?,618443
"Ricky Gervais",?,?,617469
"Francis Ngannou",?,?,617357
"Muhammad Ali",?,?,616596
"Hailee Steinfeld",?,?,616111
"Dakota Johnson",?,?,614199
"2022 FIFA World Cup",?,?,614130
"Tom Felton",?,?,614051
"Sean McVay",?,?,613347
"Ariana Grande",?,?,612343
"The Expanse (TV series)",?,?,611443
"Hawkeye (2021 TV series)",?,?,610939
"The Tourist (TV series)",?,?,609580
"James Webb Space Telescope",?,?,608670
"Regina King",?,?,607665
"Mason Greenwood",?,?,606715
"Shang-Chi and the Legend of the Ten Rings",?,?,606620
"Subhas Chandra Bose",?,?,606547
"The Wheel of Time",?,?,600480
"Canada",?,?,599469
"Rihanna",?,?,599146
"Shark Tank India",?,?,595705
"Kenneth Branagh",?,?,595510
"Desi Arnaz",?,?,594843
"Amy Schneider",?,?,594594
"Cheslie Kryst",?,?,594495
"World War I",?,?,594061
"Heath Ledger",?,?,594003
"2022 Australian Open – Women's Singles",?,?,592341
