Page,Edits,Editors,Views
"2023 Cricket World Cup",532,64,14148770
"Cricket World Cup",199,54,13917748
"YouTube",29,23,6468789
"1234",3,3,4676115
"Cleopatra",4,4,4672320
"Tiger 3",546,99,4525333
"Pornhub",13,4,4192495
"Deaths in 2023",2188,189,3870414
"XNXX",33,22,3837659
"2024 ICC Men's T20 World Cup",447,164,3749162
"The Marvels",547,196,3682021
"Leo (2023 Indian film)",426,114,3342352
"XXXX (beer)",3,2,3341466
"XXX: Return of Xander Cage",0,0,3332215
"Matthew Perry",331,165,3210975
"2023 Israel–Hamas war",2369,327,2977838
"Henry Kissinger",363,154,2916957
"XXX (film series)",1,1,2792361
"Virat Kohli",115,58,2788399
"Napoleon",117,47,2678836
"Jimmy Carter",50,33,2427436
"India national cricket team",222,102,2356126
"Napoleon (2023 film)",475,192,2300362
"Taylor Swift",143,35,2259120
"The Hunger Games: The Ballad of Songbirds & Snakes",539,204,2255437
"ChatGPT",64,35,2247191
"XVideos",3,2,2244907
"Killers of the Flower Moon (film)",308,113,2195987
"Outlook.com",14,11,2142079
"The Killer (2023 film)",212,102,2022616
"David Beckham",23,12,1981638
"Jawan (film)",63,21,1916733
"Five Nights at Freddy's (film)",416,97,1904869
"Sex",40,7,1846486
"Dodi Fayed",57,23,1800852
"XXX (2002 film)",18,11,1780342
"Oppenheimer (film)",90,38,1758575
"Dolly Parton",49,39,1736738
"Bhopal disaster",20,15,1724486
"UEFA Euro 2024 qualifying",195,61,1721378
"Sam Altman",199,97,1720727
"Saltburn (film)",183,91,1708748
"All the Light We Cannot See",30,21,1702742
"Joshua Dobbs",255,123,1680484
"Suella Braverman",196,65,1663458
"Facebook",6,5,1638642
"Victor Chang",128,94,1635069
"J. Robert Oppenheimer",17,14,1613659
"Survivor Series: WarGames (2023)",441,116,1606475
"Miss Universe 2023",509,76,1603146
"Elon Musk",139,64,1593085
"Israel",140,44,1588434
"Australia national cricket team",54,21,1566885
"Diana Nyad",45,25,1543043
"Travis Kelce",130,73,1542385
"Diwali",38,22,1531660
