Page,Edits,Editors,Views
"Parasite (2019 film)",964,455,8298313
"2019–20 Wuhan coronavirus outbreak",2,2,5737494
"Coronavirus",220,82,5432891
"Shakira",83,53,4133550
"Michael Bloomberg",571,114,4089497
"Pete Buttigieg",195,95,3602201
"Kobe Bryant",213,89,3598598
"Tyson Fury",195,46,3561118
"Patrick Mahomes",141,54,3321097
"Kirk Douglas",328,166,3183483
"Caroline Flack",600,177,3100257
"Media",3,3,3058611
"2019–20 coronavirus outbreak",0,0,3050009
"Deaths in 2020",1922,188,3039302
"2020 Democratic Party presidential primaries",494,141,3011827
"92nd Academy Awards",638,241,2899202
"Birds of Prey (2020 film)",597,208,2812121
"Jennifer Lopez",23,16,2724901
"XFL (2020)",108,47,2684295
"Bernie Sanders",364,74,2616357
"Billie Eilish",77,41,2550031
"Joaquin Phoenix",80,43,2402552
"Miguel Ángel Félix Gallardo",40,26,2385211
"Ken Miles",28,24,2336863
"Donald Trump",263,66,2240121
"Sonic the Hedgehog (film)",1069,298,1942727
"1917 (2019 film)",292,118,1761670
"Locke & Key (TV series)",208,70,1707603
"Deontay Wilder",46,27,1677742
"Jojo Rabbit",176,93,1671744
"Renée Zellweger",135,72,1596764
"Andy Reid",67,29,1567881
"Donald trump",0,0,1564726
"Joker (2019 film)",98,44,1559814
"Kepler's Supernova",1,1,1537023
"Super ShowDown (2020)",937,312,1531680
"BBC World Service",2,2,1527987
"Once Upon a Time in Hollywood",59,41,1525653
"Crash Landing on You",215,58,1496915
"Bigg Boss (Hindi season 13)",516,128,1496631
"Don't repeat yourself",0,0,1486878
"Judy Garland",35,26,1484833
"Ninety-ninety rule",0,0,1473915
"The Invisible Man (2020 film)",288,135,1471403
"Bong Joon-ho",303,162,1448913
"River Phoenix",5,5,1444994
"Pop Smoke",233,101,1441556
"Iowa caucuses",183,113,1433168
"Valentine's Day",49,23,1425910
"2020 Iowa Democratic caucuses",0,0,1422803
"Amy Klobuchar",126,77,1410186
"Rush Limbaugh",190,55,1368675
"Uncut Gems",157,84,1354591
"Kansas City Chiefs",106,58,1331337
"Spanish flu",49,26,1324726
"Michael Jordan",28,15,1321895
"XXXX",1,1,1318445
"2020 Democratic Party presidential debates",574,163,1299383
"2019–20 coronavirus outbreak by country and territory",0,0,1293274
"Harvey Weinstein",93,54,1289081
"Bible",15,7,1282350
"United States",106,49,1273899
"Periodic table",9,7,1255606
"Super Bowl LIV",514,146,1239724
"Sex",0,0,1231160
"Laura Dern",70,43,1204298
"Michael Douglas",29,8,1203247
"Taika Waititi",113,52,1194428
"2019–20 Wuhan coronavirus outbreak by country and territory",3,2,1167656
"Elizabeth II",25,13,1148731
"List of Presidential Medal of Freedom recipients",80,51,1142054
"Index of Windows games (S)",1,1,1137200
"Elon Musk",80,38,1135385
"Jimmy Garoppolo",11,10,1130277
"Barack Obama",39,26,1128150
"Brooklyn",24,15,1121959
"Melania Trump",6,5,1113950
"Brad Pitt",19,13,1105884
"Super Tuesday",84,40,1102395
"Margot Robbie",49,18,1079755
"Amado Carrillo Fuentes",8,2,1067641
"Aaron Hernandez",8,6,1065423
"Apple Network Server",0,0,1054308
"Hunters (2020 TV series)",147,78,1038314
"Erling Braut Håland",0,0,1029929
"Deontay Wilder vs. Tyson Fury II",147,47,1012062
"Microsoft Office",15,10,1005631
"List of Bollywood films of 2020",0,0,1002562
"Locke & Key",43,29,996680
"Fantasy Island (film)",208,100,985978
"Amber Heard",83,32,985197
"List of Super Bowl champions",33,19,983846
"Ford v Ferrari",116,46,982486
"Pablo Acosta Villarreal",7,7,981193
"Taylor Swift",81,24,974094
"YouTube",43,18,973024
"Sex Education (TV series)",73,44,963445
"LeBron James",25,16,961804
"Coca-Cola",17,11,959973
"List of Super Bowl halftime shows",95,57,955098
"The Outsider (miniseries)",?,?,952659
"Narcos: Mexico",?,?,948698
"Star Trek: Picard",?,?,942309
"Nancy Pelosi",?,?,939476
"Cristiano Ronaldo",?,?,937922
"Eminem",?,?,917867
"Pat Mahomes",?,?,915370
"Elton John",?,?,912541
"Justin Bieber",?,?,905259
"Gerard Piqué",?,?,886536
"Sharon Tate",?,?,882760
"2020 Nevada Democratic caucuses",?,?,882643
"Jeff Bezos",?,?,881048
"India",?,?,874283
"Ted Bundy",?,?,870450
"2020 United States presidential election",?,?,870198
"Elizabeth Warren",?,?,869744
"Kobe Bryant sexual assault case",?,?,867927
"Scarlett Johansson",?,?,865687
"Severe acute respiratory syndrome",?,?,856268
"The Eyes of Darkness",?,?,852996
"Malcolm X",?,?,851970
"The Stranger (British TV series)",?,?,851104
"Finneas O'Connell",?,?,845251
"Rooney Mara",?,?,835958
"Academy Awards",?,?,835594
"Johnny Depp",?,?,835590
