Page,Edits,Editors,Views
"J. Robert Oppenheimer",382,109,14211019
"Oppenheimer (film)",1216,348,13952079
"Sinéad O'Connor",603,223,8898539
"Barbie (film)",1354,461,8411080
"Cleopatra",11,8,6126780
"YouTube",23,7,4558032
"Mission: Impossible – Dead Reckoning Part One",641,275,4397159
"Carlos Alcaraz",196,107,4239678
"Instagram",30,22,4184598
"Deaths in 2023",1849,168,4098365
"Sound of Freedom (film)",698,169,4088865
"Facebook",10,6,3902810
"Indiana Jones and the Dial of Destiny",1123,326,3687655
"Cillian Murphy",109,76,3476896
"The Idol (TV series)",214,86,3403233
"Margot Robbie",78,24,3378508
"Novak Djokovic",161,42,3186553
"Christopher Nolan",72,39,2982327
"XXX (film series)",0,0,2960496
"ChatGPT",93,51,2926034
"Mission: Impossible (film series)",159,54,2728403
"Greta Gerwig",87,57,2667193
"Sex",23,7,2648415
"2023 FIFA Women's World Cup",474,189,2584035
"Huw Edwards",312,122,2367855
"Lewis Strauss",71,43,2325259
"Taylor Swift",133,33,2270302
"Wimbledon Championships",110,58,2178805
"Katherine Oppenheimer",43,28,2152560
"Ryan Gosling",33,16,2130505
"Flipkart",11,7,2093317
"Tom Cruise",16,16,2075460
"Tony Bennett",383,162,2070162
"Twitter",409,169,2028560
"The Flash (film)",339,146,1987080
"Lionel Messi",83,40,1986903
"XXXX (beer)",23,20,1912585
"Secret Invasion (TV series)",0,0,1909240
"Coco Lee",348,159,1895225
"The Witcher (TV series)",132,53,1892377
"George Michael",28,15,1840186
"Jean Tatlock",35,21,1804463
"Guardians of the Galaxy Vol. 3",115,56,1794594
"Chandrayaan-3",353,165,1734008
"Algebraic notation (chess)",70,34,1723125
"Wikipedia",30,20,1715327
"Jane Birkin",395,134,1713109
"Barbie",78,33,1702903
"Robert F. Kennedy Jr.",149,50,1668303
"Paul Reubens",112,51,1640242
"Omegle",3,3,1628762
"The Bear (TV series)",74,34,1626823
"Elon Musk",118,33,1621930
"Manhattan Project",43,21,1570919
"Florence Pugh",38,26,1569224
"Andrew Ridgeley",24,20,1518317
"Atomic bombings of Hiroshima and Nagasaki",36,21,1500448
"XXXTentacion",17,11,1449024
"United States",335,37,1445937
"Ansel Adams",3,3,1436068
"Elemental (2023 film)",166,49,1432251
"Albert Einstein",187,20,1429519
"Ruth Handler",62,29,1417747
"Harrison Ford",30,19,1415503
"The Little Mermaid (2023 film)",143,52,1414429
"Jim Caviezel",90,62,1398703
"FIFA Women's World Cup",29,26,1395170
"Spider-Man: Across the Spider-Verse",564,239,1351182
"Brownie (folklore)",4,4,1348568
"Cristiano Ronaldo",54,21,1344878
"Napoleon",97,29,1342734
"Inter Miami CF",136,84,1326415
"Transformers: Rise of the Beasts",139,39,1302726
"India",77,28,1297783
"Barbenheimer",877,296,1275500
"Ons Jabeur",114,53,1207871
"Indiana Jones",150,69,1179392
"Markéta Vondroušová",191,86,1175920
"Alia Bhatt",10,7,1170204
"Hayley Atwell",41,13,1165311
"Google Translate",16,7,1163122
"Fast X",170,73,1151803
"Arnold Schwarzenegger",14,12,1151599
"Titanic",36,19,1150881
"XXX",0,0,1145106
"Mount Takahe",5,5,1143519
"2023 Wimbledon Championships – Men's singles",999,182,1140769
"Insidious: The Red Door",291,105,1116160
"Money in the Bank (2023)",150,37,1098360
"Andy Murray",47,39,1079377
"Emily Blunt",39,16,1078648
"No Hard Feelings (2023 film)",107,39,1075234
"Tom Ackerley",22,17,1070563
"Henry Cavill",7,6,1062250
"XXX: Return of Xander Cage",0,0,1056034
"Rebecca Ferguson",30,17,1032370
"Edward Teller",37,17,1023016
"UFC 291",148,42,1020909
"Christopher Eubanks",137,56,1018101
"Michael G. Rubin",1,1,1014049
"WhatsApp",?,?,1011872
"Kylian Mbappé",?,?,1006347
"Trinity (nuclear test)",?,?,1005453
"The Super Mario Bros. Movie",?,?,999484
"Alessia Zecchini",?,?,997272
"Wendy Starland",?,?,993886
"Roger Federer",?,?,989263
"Interstellar (film)",?,?,987415
"Transformers (film series)",?,?,986450
"SummerSlam (2023)",?,?,978477
".xxx",?,?,975657
"Jeremy Allen White",?,?,965207
"World War II",?,?,964693
"The Ashes",?,?,962273
"Brian Harman",?,?,958548
"Terence Crawford",?,?,956909
"2023 in film",?,?,949874
"Jack Ryan (TV series)",?,?,944181
"Joe Biden",?,?,941186
"Insidious (film series)",?,?,939976
"Andrew Tate",?,?,939554
"Independence Day (United States)",?,?,934986
"Google",?,?,933977
"Aadhaar",?,?,929672
"Noah Baumbach",?,?,929671
"Asteroid City",?,?,927456
"Leonardo DiCaprio",?,?,894297
"The Eras Tour",?,?,886890
"Ariana Grande",?,?,885440
"2023 Formula One World Championship",?,?,884735
"Eva Mendes",?,?,877451
"Adipurush",?,?,876764
"Titanic (1997 film)",?,?,875804
"Mission: Impossible – Fallout",?,?,874184
"Rafael Nadal",?,?,869334
"Anya Chalotra",?,?,868629
"Frank Oppenheimer",?,?,868406
"Jason Aldean",?,?,864251
"Robert Downey Jr.",?,?,853400
"The Summer I Turned Pretty (TV series)",?,?,850769
"Russian invasion of Ukraine",?,?,847299
"Manchester United F.C.",?,?,847254
"Colleen Ballinger",?,?,843558
"Utopia (Travis Scott album)",?,?,831183
"Alan Arkin",?,?,824681
"Matt Damon",?,?,820990
"Leslie Groves",?,?,807589
"Vivek Ramaswamy",?,?,806968
"Jawan (film)",?,?,806425
"Leslie Van Houten",?,?,806418
"Rasmus Højlund",?,?,805872
"Silo (TV series)",?,?,804402
"QAnon",?,?,799528
"List of current BBC newsreaders and reporters",?,?,794710
"Chelsea F.C.",?,?,793598
"List of Wimbledon gentlemen's singles champions",?,?,790245
"Adolf Hitler",?,?,789032
"United Kingdom",?,?,787506
"Nimona (film)",?,?,784486
"Gabriel Macht",?,?,778978
"Jennifer Lawrence",?,?,775585
"Satyaprem Ki Katha",?,?,773303
"Grimace Shake",?,?,768624
"Hunter Biden",?,?,768098
"Insidious (film)",?,?,761505
"Succession (TV series)",?,?,761339
"Elina Svitolina",?,?,760064
"Michael Jordan",?,?,757911
"They Cloned Tyrone",?,?,756551
"LeBron James",?,?,755229
"Raindrop cake",?,?,752379
"Bird Box Barcelona",?,?,752294
"Pom Klementieff",?,?,752153
"The Lincoln Lawyer (TV series)",?,?,747818
"2023 Cricket World Cup",?,?,746289
"John F. Kennedy",?,?,745323
"Vanessa Kirby",?,?,743711
"List of Black Mirror episodes",?,?,742564
"Yvonne McGuinness",?,?,740546
"Jackie Chan",?,?,737555
"List of Marvel Cinematic Universe films",?,?,736469
"Baby (2023 film)",?,?,735369
"The Pirate Bay",?,?,733875
"My Fault (film)",?,?,733742
"Mission: Impossible – Dead Reckoning Part Two",?,?,732947
"BBC World Service",?,?,731800
"Hari Nef",?,?,730590
"Lana Del Rey",?,?,730053
"Donald Trump",?,?,728676
"Meghan, Duchess of Sussex",?,?,728142
"Clint Eastwood",?,?,726092
"Sofía Vergara",?,?,725200
"UFC 290",?,?,724861
"Suits (American TV series)",?,?,723312
"Tenet (film)",?,?,722898
"André Onana",?,?,722320
"The Out-Laws (film)",?,?,721563
"Brad Pitt",?,?,718951
"Artificial intelligence",?,?,715551
"Marcus Mariota",?,?,706986
"Stuart Broad",?,?,706949
"main page",?,?,706063
"China",?,?,702267
"2023 Wimbledon Championships",?,?,700889
"Australia",?,?,699628
"Tom Holland",?,?,697150
"Errol Spence Jr.",?,?,694129
"List of American films of 2023",?,?,690552
"Threads (app)",?,?,689290
"Hijack (TV series)",?,?,687881
"Canada",?,?,687099
"Fran Drescher",?,?,684648
"Gmail",?,?,680114
"Werner Heisenberg",?,?,677886
"2023 ACC Emerging Teams Asia Cup",?,?,677738
"2023 Manipur violence",?,?,677353
"Mitch McConnell",?,?,677288
"Michael Jackson",?,?,676308
"Angus Cloud",?,?,675859
"Charles Manson",?,?,671524
"Daniil Medvedev",?,?,671406
"List of highest-grossing films",?,?,670633
"Elizabeth II",?,?,668242
"King the Land",?,?,666268
"Al Nassr FC",?,?,664938
"Sylvester Stallone",?,?,661449
"Timothée Chalamet",?,?,661018
"Ted Lasso",?,?,659489
"Ruby Gillman, Teenage Kraken",?,?,659216
"Peaky Blinders (TV series)",?,?,658271
"2023 Ashes series",?,?,656353
"Cat",?,?,654921
"Null",?,?,652003
"Titan submersible implosion",?,?,651167
"123Movies",?,?,648444
"America Ferrera",?,?,646899
"Japan",?,?,646045
"World War I",?,?,645792
"Haunted Mansion (2023 film)",?,?,644077
"Josh Hartnett",?,?,642353
"Extraction 2",?,?,641961
"2023 Cricket World Cup Qualifier",?,?,641054
"David Beckham",?,?,639373
"Suits index",?,?,637249
"Avatar: The Way of Water",?,?,636265
"Dunkirk (2017 film)",?,?,634249
"Maamannan",?,?,633758
"Robert De Niro",?,?,633616
"Ethan Slater",?,?,631554
"Elvis Presley",?,?,629990
"Speak Now (Taylor's Version)",?,?,628254
"Dua Lipa",?,?,627494
"Dele Alli",?,?,627388
"Nina Dobrev",?,?,627326
"Keanu Reeves",?,?,627259
"Ryan Reynolds",?,?,626434
"2023 CONCACAF Gold Cup",?,?,625952
"2023–24 UEFA Champions League",?,?,624220
"Manipur",?,?,624128
"Shohei Ohtani",?,?,623341
"Oppenheimer security hearing",?,?,622235
"Kingsley Ben-Adir",?,?,621696
"FC Barcelona",?,?,620809
"2023 Wimbledon Championships – Women's singles",?,?,620722
"Celebrity (South Korean TV series)",?,?,620097
"Rocky Aur Rani Kii Prem Kahaani",?,?,618970
"Black Mirror",?,?,615224
"2023 Spanish general election",?,?,614897
"Patrick Mahomes",?,?,612313
"John Krasinski",?,?,610853
"Mission: Impossible (film)",?,?,610406
"Tupac Shakur",?,?,609218
"Aryna Sabalenka",?,?,608453
"Freddie Mercury",?,?,608294
"List of Hindi films of 2023",?,?,607820
"Taylor Lautner",?,?,607487
"Email",?,?,607279
"The Crowded Room",?,?,606771
"Talk to Me (2022 film)",?,?,606649
"Bawaal",?,?,605369
"Robert F. Kennedy",?,?,604290
"Killing of Nahel Merzouk",?,?,602392
"Bob Marley",?,?,602148
"Singapore",?,?,601999
"Russia",?,?,601489
"List of Grand Slam men's singles champions",?,?,599859
"Larry Nassar",?,?,596598
"Long Island serial killer",?,?,593015
"2023 Tour de France",?,?,592265
"Kevin Spacey",?,?,591382
"Madonna",?,?,590494
"Netflix",?,?,589828
"Max Verstappen",?,?,589750
"New York City",?,?,587881
"Wham!",?,?,586660
"Elton John",?,?,584240
"Queen Victoria",?,?,583445
"Wikimedia Foundation",?,?,582334
"Tamannaah Bhatia",?,?,579772
"Emma Thomas",?,?,579528
"Dwayne Johnson",?,?,577903
"Angelina Jolie",?,?,577407
"Oommen Chandy",?,?,576703
"Chris Hemsworth",?,?,574790
"Lee Jun-ho (entertainer)",?,?,573481
"Rhea Perlman",?,?,572968
"Silo (series)",?,?,570537
"OnlyFans",?,?,569701
"Inception",?,?,569608
"Raiders of the Lost Ark",?,?,569471
"Lewis Capaldi",?,?,568983
"Robin Williams",?,?,568807
"Phoebe Waller-Bridge",?,?,568775
"Randy Meisner",?,?,566855
"Virat Kohli",?,?,565805
"OpenAI",?,?,564132
"Jason Momoa",?,?,562171
"France",?,?,561615
"Kepler's Supernova",?,?,560122
"SAFF Championship",?,?,559536
"Amy Winehouse",?,?,558338
"Victor Wembanyama",?,?,557837
"G",?,?,557316
"Stephen Curry",?,?,556820
"John Wick: Chapter 4",?,?,556784
"Zendaya",?,?,555881
"Meta Platforms",?,?,555321
"Mission: Impossible – Rogue Nation",?,?,554357
"Mason Mount",?,?,554349
"List of James Bond films",?,?,554201
