Page,Edits,Editors,Views
"2022 FIFA World Cup",976,304,14694919
"Lionel Messi",351,117,11561467
"Avatar: The Way of Water",1301,438,9996426
"FIFA World Cup",256,121,9162518
"Kylian Mbappé",177,83,8387843
"Jenna Ortega",89,37,7184194
"Cristiano Ronaldo",144,50,6285456
"Pelé",464,180,5900989
"Andrew Tate",369,116,5285322
"Wednesday (TV series)",339,139,5206369
"XXX: Return of Xander Cage",11,9,4926871
"Cleopatra",3,3,4784642
"List of FIFA World Cup finals",285,151,4716845
"Kirstie Alley",350,147,4567797
"Deaths in 2022",3,1,4335982
"2026 FIFA World Cup",250,117,4071694
"Avatar (2009 film)",116,57,3980946
"2018 FIFA World Cup",134,85,3635318
"Glass Onion: A Knives Out Mystery",375,162,3483477
"The White Lotus",202,86,3304476
"Argentina national football team",404,190,3234876
"Viktor Bout",254,164,2890924
"List of most-liked Instagram posts",1986,599,2889395
"Diego Maradona",56,26,2862769
"YouTube",21,11,2765326
"Neymar",35,20,2730042
"Morocco",48,31,2393411
"Alexis Mac Allister",127,66,2371387
"Argentina",74,20,2333398
"2014 FIFA World Cup",70,55,2194387
"Emiliano Martínez",174,87,2181790
"Brittney Griner",184,96,2132706
"Stephen ""tWitch"" Boss",359,189,2124097
"France national football team",337,189,2064362
"FIFA World Cup top goalscorers",207,75,1979631
"Elon Musk",370,108,1978112
"Knives Out",36,28,1958719
"The Addams Family",50,38,1904707
"ChatGPT",392,164,1882964
"Paul Whelan (security director)",133,85,1867788
"Null",0,0,1830967
"Christine McVie",236,76,1760574
"Wikipedia",49,32,1718844
"Brazil national football team",152,100,1688358
"Paris Saint-Germain F.C.",2,2,1672497
"Ronaldo (Brazilian footballer)",25,19,1660160
"2010 FIFA World Cup",28,22,1658035
"Morocco national football team",364,204,1655243
"Barbara Walters",240,78,1645737
"Ansel Adams",5,5,1591620
"James Cameron",36,25,1585246
"2022 FIFA World Cup Final",1,1,1573377
"Meghan, Duchess of Sussex",110,30,1523654
"Franco Harris",267,113,1475056
"Wednesday Addams",105,68,1475026
"Olivier Giroud",45,26,1471550
"Tammy Wynette",39,19,1462303
"2030 FIFA World Cup",52,37,1451356
"Black Adam (film)",274,89,1439373
"Tunisha Sharma",98,36,1432499
"Christina Ricci",32,21,1431942
"2002 FIFA World Cup",72,56,1431814
"2006 FIFA World Cup",44,23,1414006
"Black Panther: Wakanda Forever",235,46,1405949
"Sam Bankman-Fried",186,74,1392769
"United States",124,31,1369765
"2022 Russian invasion of Ukraine",0,0,1366346
"Elizabeth II",54,19,1359828
"Facebook",3,3,1341172
"Mike Leach (American football coach)",136,64,1326879
"Ballon d'Or",34,18,1321183
"Macaulay Culkin",10,8,1319611
"Bruce Willis",25,11,1312879
"Luka Modrić",152,70,1306462
"XXXTentacion",6,5,1300068
"Yellowstone (American TV series)",55,32,1277208
"Croatia",28,19,1275477
"Brock Purdy",229,118,1269064
"FIFA Men's World Ranking",24,15,1257043
"List of A Certain Magical Index characters",4,3,1247882
"Babylon (2022 film)",429,157,1242715
"List of highest-grossing films",86,14,1238165
"Catherine Zeta-Jones",37,22,1235226
"Jennifer Coolidge",44,33,1232903
"Yassine Bounou",168,94,1230593
"FIFA",57,34,1216350
"Ángel Di María",93,65,1211719
"Gwendoline Christie",24,16,1204022
"Achraf Hakimi",91,48,1188872
"Kanye West",540,145,1183478
"Lionel Scaloni",109,69,1181163
"XXXX",0,0,1172664
"J. Robert Oppenheimer",22,14,1168657
"Aubrey Plaza",31,27,1156841
"India",24,14,1151340
"The Banshees of Inisherin",127,70,1149314
"Val Kilmer",18,17,1131284
"Zoe Saldaña",82,38,1128182
"Kate Hudson",18,11,1118088
"Croatia national football team",754,98,1111413
"Jeffrey Dahmer",?,?,1107703
"Deion Sanders",?,?,1107266
"Internet",?,?,1097988
"2022 FIFA World Cup knockout stage",?,?,1096862
"Charles III",?,?,1092247
"Instagram",?,?,1077657
"The Whale (2022 film)",?,?,1072497
"Kantara (film)",?,?,1068428
"Streisand effect",?,?,1067089
"Pope Benedict XVI",?,?,1066343
"2023 PDC World Darts Championship",?,?,1061819
"Google",?,?,1059945
"Erling Haaland",?,?,1054263
"Avatar 3",?,?,1051126
"1899 (TV series)",?,?,1049502
"Top Gun: Maverick",?,?,1043295
"Sex",?,?,1036293
"1998 FIFA World Cup",?,?,1031926
"Ronaldinho",?,?,1031335
"Brownie (folklore)",?,?,1030106
"Bullet Train (film)",?,?,1028445
"Tom Cruise",?,?,1025206
"Charles Sobhraj",?,?,1021690
"Dolly Parton",?,?,1016443
"Alice in Borderland (TV series)",?,?,1010275
"Allison Holker",?,?,1008726
"Karim Benzema",?,?,999360
"Salt Bae",?,?,998192
"Julián Álvarez (footballer)",?,?,995964
"Antoine Griezmann",?,?,994261
"Qatar",?,?,993617
"Kate Winslet",?,?,987979
"Whitney Houston",?,?,987573
"Diana, Princess of Wales",?,?,986600
"Emma Myers",?,?,970699
"1994 FIFA World Cup",?,?,962601
"2022 in film",?,?,960596
"Sam Worthington",?,?,960261
"Vivienne Westwood",?,?,960239
"Mariah Carey",?,?,952952
"Amy Robach",?,?,947772
"Fleetwood Mac",?,?,947432
"Enzo Fernández",?,?,945853
"Christmas",?,?,943340
"Home Alone",?,?,937378
"Mount Takahe",?,?,932970
"1986 FIFA World Cup",?,?,924026
"Drishyam 2 (2022 film)",?,?,923218
"XXXX (beer)",?,?,922256
"Wilton Sampaio",?,?,920857
"Prince Harry, Duke of Sussex",?,?,916839
"Zlatan Ibrahimović",?,?,913633
"Gonçalo Ramos",?,?,907196
"YouTube Music",?,?,904704
"Daniel Craig",?,?,890722
"Willow (TV series)",?,?,889508
"1923 (TV series)",?,?,889217
"UEFA Euro 2020",?,?,885723
"Janelle Monáe",?,?,883747
"Bernard Arnault",?,?,880480
"Sofyan Amrabat",?,?,875897
"A Christmas Story",?,?,875182
"Sergio Agüero",?,?,869023
"YouTube Premium",?,?,868884
"Jude Bellingham",?,?,867674
"Oppenheimer (film)",?,?,866451
"Pinocchio (2022 animated film)",?,?,865026
"Beauty Revealed",?,?,862954
"Harry Kane",?,?,861888
"Yusra Mardini",?,?,856774
"United Kingdom",?,?,856741
"Brendan Fraser",?,?,856066
"2019 Whakaari / White Island eruption",?,?,853049
"Susan Wojcicki",?,?,852688
"Video hosting service",?,?,850889
"George Santos",?,?,849499
"George Jones",?,?,849406
"WhatsApp",?,?,849131
"Coral Castle",?,?,845707
"Madelyn Cline",?,?,841996
"Chad Hurley",?,?,838125
"Hanukkah",?,?,836699
"Zinedine Zidane",?,?,834943
"Al Nassr FC",?,?,832336
"Argentina at the FIFA World Cup",?,?,830399
"Boxing Day",?,?,828821
"Taylor Swift",?,?,827599
"Portugal national football team",?,?,825361
"Elvis Presley",?,?,824499
"XNXX",?,?,819536
"Grant Wahl",?,?,818657
"OpenAI",?,?,817455
"England national football team",?,?,798621
"Premier League",?,?,797991
"Northrop Grumman B-21 Raider",?,?,796990
"Keke Palmer",?,?,795148
"XXX (film series)",?,?,792158
"FIFA World Cup awards",?,?,788057
"Mohamed Al-Fayed",?,?,786710
"David Beckham",?,?,784746
"Lady Chatterley's Lover",?,?,784036
"Dwayne Johnson",?,?,776042
"Bigg Boss (Hindi season 16)",?,?,773040
"Cirkus (film)",?,?,772935
"Santa Claus",?,?,772002
"FIFA World Cup Trophy",?,?,771729
"Dodi Fayed",?,?,769962
"Terry Hall (singer)",?,?,769423
"France",?,?,769264
"The Addams Family (1991 film)",?,?,769150
"Henry Cavill",?,?,768178
"The Menu (2022 film)",?,?,765245
"1990 FIFA World Cup",?,?,764005
"Copa América",?,?,763235
"Parker Stevenson",?,?,759000
"Pathaan (film)",?,?,757957
"Andor (TV series)",?,?,754919
"Emory Tate",?,?,754404
"Harrison Ford",?,?,750787
"Sigourney Weaver",?,?,750325
"The Fallout (film)",?,?,750060
"Steven Spielberg",?,?,747382
"UEFA Champions League",?,?,747233
"UFC 282",?,?,745075
"Ryan Reynolds",?,?,744336
"Love Actually",?,?,744102
"The Callisto Protocol",?,?,741692
"2022 Gujarat Legislative Assembly election",?,?,739553
"Netflix",?,?,737218
"Jerry Lawson (engineer)",?,?,736681
"X (2022 film)",?,?,735192
"It's a Wonderful Life",?,?,735068
"Tina Turner",?,?,732399
"Violent Night",?,?,727917
"Krampus",?,?,726600
"Prisoners (2013 film)",?,?,725004
"Cocaine Bear",?,?,724352
"Brazil",?,?,723802
"Austin Butler",?,?,722331
"His Dark Materials (TV series)",?,?,720817
"CEO",?,?,720340
"Celine Dion",?,?,712909
"Bing Crosby",?,?,711830
"Adolf Hitler",?,?,710988
"Stevie Nicks",?,?,710665
"Margot Robbie",?,?,708718
"Sylvester Stallone",?,?,708468
"Stephen Boss",?,?,705139
"Christina Applegate",?,?,701385
"Nick Fuentes",?,?,701276
"Pope Francis",?,?,698887
"George Michael",?,?,698717
"1978 FIFA World Cup",?,?,696169
"Amsterdam (2022 film)",?,?,693542
"Caroline Ellison",?,?,693300
"Tim Burton",?,?,693123
"World War II",?,?,692221
"Transformers: Rise of the Beasts",?,?,689958
"FC Barcelona",?,?,689951
"Jack Ryan (TV series)",?,?,686147
"Kwanzaa",?,?,685209
"Tom Brady",?,?,683133
"FIFA World Cup records and statistics",?,?,682005
"Mária Telkes",?,?,680706
"Reborn Rich",?,?,679014
"Hakim Ziyech",?,?,674030
"World War I",?,?,672696
"Gmail",?,?,672230
"Hugo Lloris",?,?,671917
"Greta Thunberg",?,?,669637
"Princess Margaret, Countess of Snowdon",?,?,665172
"Japan",?,?,664327
"Mike White (filmmaker)",?,?,662626
"Microsoft Windows",?,?,661897
"Bukayo Saka",?,?,661882
"Donald Trump",?,?,656589
"Everything Everywhere All at Once",?,?,656556
"Michael Jackson",?,?,656516
"Netherlands national football team",?,?,653073
"Dave Bautista",?,?,652109
"Rodrigo De Paul",?,?,647429
"Cody Gakpo",?,?,647233
"Edward Norton",?,?,645562
"Troll (2022 film)",?,?,644192
"2022 FIFA World Cup squads",?,?,642791
"Google Translate",?,?,642759
"Russo-Ukrainian War",?,?,642631
"2018 FIFA World Cup Final",?,?,641822
"Marilyn Monroe",?,?,640386
"List of Hindi films of 2022",?,?,640112
"LeBron James",?,?,638249
"Death of Caylee Anthony",?,?,636191
"Didier Deschamps",?,?,634714
"Tory Lanez",?,?,633800
"Lily Collins",?,?,632609
"Real Madrid CF",?,?,630659
"Russia",?,?,628943
"Germany national football team",?,?,628110
"Herschel Walker",?,?,627543
"The Fabelmans",?,?,626608
"Love Today (2022 film)",?,?,623460
"List of Marvel Cinematic Universe films",?,?,623165
"New York City",?,?,622943
"Kevin Costner",?,?,616200
"Chainsaw Man",?,?,616068
"Tyler Perry",?,?,615501
"Robert Downey Jr.",?,?,615439
"UEFA European Championship",?,?,615218
"Cher",?,?,611824
"George Clooney",?,?,611067
"List of footballers with 500 or more goals",?,?,610261
"Kyrsten Sinema",?,?,608025
"UEFA Euro 2024",?,?,607454
"Cole Hauser",?,?,606102
"1930 FIFA World Cup",?,?,606067
"Canada",?,?,604890
"Brad Pitt",?,?,604140
"Dominik Livaković",?,?,603816
"Willow (film)",?,?,603253
"Netherlands",?,?,601439
"Puss in Boots: The Last Wish",?,?,601272
"Andrew Shue",?,?,597808
"Noah Centineo",?,?,595535
"Alexandra Daddario",?,?,595161
"Raindrop cake",?,?,593481
"Stiff-person syndrome",?,?,592737
"List of most-followed Instagram accounts",?,?,588552
"Portugal",?,?,587862
"Zooey Deschanel",?,?,581730
"Baker Mayfield",?,?,580825
"1966 FIFA World Cup",?,?,579815
"Pornhub",?,?,579381
"Aaron Taylor-Johnson",?,?,578872
"Paddy Pimblett",?,?,578540
"Joe Biden",?,?,578073
"Robert Lewandowski",?,?,577305
"1982 FIFA World Cup",?,?,574353
"Paulo Dybala",?,?,574041
"The Witcher: Blood Origin",?,?,573425
"Scarlett Johansson",?,?,572955
"Nick Cannon",?,?,572835
"The Pirate Bay",?,?,572340
"Emily in Paris",?,?,572238
"Germany",?,?,570596
"Siniša Mihajlović",?,?,570259
"Robin Williams",?,?,569347
"Mike McDaniel",?,?,568030
"History of the British farthing",?,?,567893
"The Peripheral (TV series)",?,?,564873
"Riki Lindhome",?,?,563799
"Srinivasa Ramanujan",?,?,563598
"George VI",?,?,562934
"Keanu Reeves",?,?,562781
"The Sex Lives of College Girls",?,?,562140
"Android (operating system)",?,?,561148
"Emily Blunt",?,?,560937
"China",?,?,560839
"Jennifer Connelly",?,?,560613
"James Stewart",?,?,556755
"Billie Eilish",?,?,556550
"Australia",?,?,556479
