Page,Edits,Editors,Views
"Prince Philip, Duke of Edinburgh",689,236,9708962
"DMX (rapper)",0,0,8800932
"Elizabeth II",188,78,7145630
"Godzilla vs. Kong",426,89,4432146
"Mortal Kombat (2021 film)",490,169,4187981
"Charles Sobhraj",105,72,4032706
"Deaths in 2021",3139,251,3976017
"The Falcon and the Winter Soldier",622,167,3687237
"Bible",10,8,3641543
"Helen McCrory",360,175,3526879
"Charles, Prince of Wales",0,0,3181033
"Google logo",13,12,3087010
"Derek Chauvin",400,168,2957363
"WrestleMania 37",563,75,2871642
"Cleopatra",25,17,2862468
"Microsoft Office",11,9,2768660
"George VI",82,36,2395929
"XXXX",0,0,2253540
"93rd Academy Awards",705,253,2206260
"Princess Margaret, Countess of Snowdon",44,20,2090442
"Anne, Princess Royal",49,33,1971041
"Nomadland (film)",2,2,1961994
"Shadow and Bone",20,19,1786875
"Prince Edward, Earl of Wessex",0,0,1781590
"Damian Lewis",41,32,1762912
"Matt Gaetz",306,96,1668335
"Invincible (TV series)",405,131,1642540
"Elon Musk",187,31,1604690
"Queen Victoria",31,19,1592944
"Vivek (actor)",477,230,1584408
"Ernest Hemingway",53,23,1583802
"Shadow and Bone (TV series)",183,77,1560225
"Edward VIII",59,29,1545726
"The Serpent (TV series)",59,38,1531484
"Princess Alice of Battenberg",34,19,1495612
"Diana, Princess of Wales",31,13,1480163
"United States",118,62,1423845
"Ben Askren",109,62,1420362
"F5 Networks",0,0,1395025
"2021 West Bengal Legislative Assembly election",529,67,1382327
"Prince Andrew, Duke of York",10,9,1371785
"George Floyd",164,87,1350904
"Promising Young Woman",163,79,1347657
"Brenda Song",43,32,1303845
"George V",54,30,1296236
"Jake Paul",86,42,1295069
"Zack Snyder's Justice League",201,91,1275312
"Dogecoin",44,28,1264150
"Skathi (moon)",26,8,1256994
"Wikipedia",52,31,1239529
"Prince William, Duke of Cambridge",0,0,1236716
"U.S. Agent",80,47,1230636
"Prince Andrew of Greece and Denmark",27,16,1225720
"Tasuku Honjo",3,3,1221142
"Bernie Madoff",154,77,1219070
"Ramadan",40,30,1186748
"Carey Mulligan",65,34,1185176
"Rohit Sardana",574,286,1177826
"Queen Elizabeth The Queen Mother",32,13,1174246
"Frances McDormand",58,41,1173705
"COVID-19 pandemic",124,69,1156772
"BF",43,24,1144560
"2021 NFL Draft",316,138,1121827
"Chloé Zhao",254,127,1117052
"Joe Biden",98,56,1104251
"List of Marvel Cinematic Universe films",56,15,1100397
"The Father (2020 film)",101,62,1070931
"Marvel Cinematic Universe: Phase Four",205,66,1052261
"Prince Harry, Duke of Sussex",25,15,1032924
"YouTube",97,19,1029252
"Paul Ritter (actor)",6,1,1016034
"Anthony Hopkins",113,69,1015478
"List of Mortal Kombat characters",0,0,1007730
"Kamaru Usman",52,22,1004250
"UFC 261",159,72,996007
"2021 World Snooker Championship",1300,142,993355
"Sebastian Stan",8,6,976756
"Macaulay Culkin",26,15,973630
"Line of Duty",99,45,972382
"Lil Nas X",54,29,965644
"Donald Trump",94,47,959414
"Caitlyn Jenner",57,33,957882
"Harshad Mehta",13,8,953658
"Edward VII",52,27,945723
"Dwayne Johnson",32,18,944553
"India",106,27,943438
"2020 Indian Premier League",29,17,941068
"Will Zalatoris",58,37,938273
"Louis Mountbatten, 1st Earl Mountbatten of Burma",30,18,927133
"Adolf Hitler",32,14,899867
"Godzilla: King of the Monsters (2019 film)",28,11,898073
"Logan Paul",29,22,887834
"Nobody (2021 film)",115,55,880698
"Shang-Chi and the Legend of the Ten Rings",140,51,879118
"Winston Churchill",42,25,875856
"Chadwick Boseman",41,23,871366
"Freddie Mercury",14,10,870933
"Jorge Masvidal",91,63,862616
"Marvel Cinematic Universe",34,18,860792
"Phillip Adams (American football)",287,107,842029
"Vincenzo (TV series)",?,?,833955
"United Kingdom",?,?,832441
"RuPaul's Drag Race (season 13)",?,?,815461
"Mare of Easttown",?,?,814983
"Wyatt Russell",?,?,809261
"Taylor Swift",?,?,804224
"BBC World Service",?,?,804221
"Rose Namajunas",?,?,803389
"Shang-Chi",?,?,798005
"B. R. Ambedkar",?,?,793832
"Zodiac",?,?,793347
"Easter",?,?,792103
"Shock G",?,?,790869
"Michael Jackson",?,?,790835
"European Super League (association football)",?,?,779835
"Ryan Mason",?,?,778106
"World War II",?,?,773155
"Cristiano Ronaldo",?,?,770572
"Sophie, Countess of Wessex",?,?,764045
"Peaky Blinders (TV series)",?,?,761414
"Death and funeral of Prince Philip, Duke of Edinburgh",?,?,760337
"Tina Turner",?,?,757125
"Stowaway (2021 film)",?,?,754836
"Invincible (comics)",?,?,754451
"Jim Crow laws",?,?,752537
"Scarlett Johansson",?,?,752195
"Non-fungible token",?,?,750557
"Attack on Titan",?,?,746913
"Aaron Rodgers",?,?,742263
"Heath Ledger",?,?,740195
"Nikki Grahame",?,?,731875
"COVID-19 pandemic by country and territory",?,?,729208
"Daniel Kaluuya",?,?,728074
"Minari (film)",?,?,725280
"UEFA Champions League",?,?,718236
"Windsor Castle",?,?,717337
"KRI Nanggala (402)",?,?,709733
"The Nevers",?,?,709332
"Audrey Hepburn",?,?,708016
"Google",?,?,704634
"MonsterVerse",?,?,703285
"Hideki Matsuyama",?,?,702468
"Keanu Reeves",?,?,700096
"2020 United States presidential election",?,?,696905
"Lady Louise Windsor",?,?,693969
"Margaret Thatcher",?,?,691487
"WandaVision",?,?,690826
"Millie Bobby Brown",?,?,689496
"Kim Kardashian",?,?,685760
"Them (2021 TV series)",?,?,685533
"Travis Barker",?,?,683187
"Demi Lovato",?,?,682612
"Tenet (film)",?,?,681398
"Judas and the Black Messiah",?,?,680043
"Michael Jordan",?,?,677546
"Killing of Daunte Wright",?,?,676391
"Grey's Anatomy",?,?,675546
"Sex",?,?,673713
"Colton Underwood",?,?,672100
"Walter Mondale",?,?,664338
"The Pirate Bay",?,?,663904
"2021 Formula One World Championship",?,?,662282
"The Crown (TV series)",?,?,657566
"The Handmaid's Tale (TV series)",?,?,656227
"Riz Ahmed",?,?,654150
"Periodic table",?,?,649145
"Lyle and Erik Menendez",?,?,648846
"April Fools' Day",?,?,645377
"Valentina Allegra de Fontaine",?,?,645182
"Dua Lipa",?,?,645146
"Camilla, Duchess of Cornwall",?,?,644946
"Meghan, Duchess of Sussex",?,?,641976
"Chernobyl disaster",?,?,636845
"Vakeel Saab",?,?,635802
"Sound of Metal",?,?,634039
"Karnan (2021 film)",?,?,633434
"Indian Premier League",?,?,632994
"Justin Bieber",?,?,632944
"COVID-19 vaccine",?,?,630964
"The Super League",?,?,629651
"Jack Black",?,?,628131
"Snoop Dogg",?,?,625322
"Erin Kellyman",?,?,621186
"LeBron James",?,?,619858
"Nambi Narayanan",?,?,619142
"Lewis Hamilton",?,?,618189
"Fritzl case",?,?,614259
"Love and Monsters (film)",?,?,612885
"Jessie Mei Li",?,?,612456
"Succession to the British throne",?,?,610672
"Chris Evans (actor)",?,?,610656
"Cat",?,?,610020
"The Big Bull",?,?,609594
"St George's Chapel, Windsor Castle",?,?,609068
"Remdesivir",?,?,606940
"The Trial of the Chicago 7",?,?,604153
"BTS",?,?,603796
"QAnon",?,?,603114
"Peter Phillips",?,?,600896
"Tom Cruise",?,?,598726
"Rekha",?,?,597151
"Scorpion (Mortal Kombat)",?,?,596646
"Mortal Kombat",?,?,595633
"Cruel Summer (TV series)",?,?,595326
"Bridgerton",?,?,592275
"Robert Downey Jr.",?,?,591522
"Catherine, Duchess of Cambridge",?,?,586266
"Prince (musician)",?,?,585784
"Billie Eilish",?,?,585418
"Elliot Page",?,?,585303
"Premier League",?,?,585190
"Line of Duty (series 6)",?,?,583015
"Bitcoin",?,?,582943
"Eternals (film)",?,?,582319
"Lionel Messi",?,?,581805
"Tahar Rahim",?,?,581763
"Run (2020 American film)",?,?,581093
"Godzilla (2014 film)",?,?,580811
"Mary of Teck",?,?,580509
"China",?,?,579973
"Saina Nehwal",?,?,579115
"Jennifer Aniston",?,?,578029
"John Wayne Gacy",?,?,576880
"The Masked Singer (American season 5)",?,?,575739
"Armenian Genocide",?,?,575370
"Mank",?,?,575346
"Katey Sagal",?,?,572519
"Ten Commandments",?,?,572486
"Zara Tindall",?,?,570486
"World War I",?,?,568042
"Ariana Grande",?,?,566410
"Leonardo DiCaprio",?,?,566208
"Barack Obama",?,?,566050
"Tupac Shakur",?,?,565625
"List of American films of 2021",?,?,565096
"Emerald Fennell",?,?,561884
"COVID-19",?,?,561789
"List of Tor onion services",?,?,561393
"Angelina Jolie",?,?,560498
"Shailene Woodley",?,?,560365
