Page,Edits,Editors,Views
"2023 Cricket World Cup",482,75,15958288
"Matthew Perry",813,311,11975239
"Cricket World Cup",114,22,10027952
"Hamas",588,162,8236474
"Gaza Strip",266,95,8191698
"Israel",173,62,7008743
"YouTube",29,19,6691030
"State of Palestine",61,36,6656663
"Leo (2023 Indian film)",948,95,6633392
"David Beckham",27,15,6487475
"Facebook",29,15,5295846
"XXX: Return of Xander Cage",2,2,5286904
"Cleopatra",17,11,5044842
"Israeli–Palestinian conflict",67,38,4818141
"2023 Israel–Hamas war",8205,832,4802742
"Killers of the Flower Moon (film)",489,239,4308816
"XXXX (beer)",44,34,4070806
"Deaths in 2023",2426,216,4057089
"The Fall of the House of Usher (miniseries)",273,107,3310074
"Taylor Swift",147,30,3153164
"Jawan (film)",79,18,2940365
"October 2023 Gaza−Israel conflict",2,2,2833688
"West Bank",23,19,2765504
"Suzanne Somers",303,155,2757376
"Travis Kelce",101,39,2746269
"Five Nights at Freddy's (film)",673,169,2520140
"India at the 2022 Asian Games",2052,210,2502526
"Sex",21,14,2419398
"2022 Asian Games",123,37,2388874
"India national cricket team",194,69,2374586
"The Equalizer 3",98,44,2371936
"The Fall of the House of Usher",20,15,2357569
"Palestinian territories",21,14,2222456
"Victoria Beckham",5,5,2195108
"XXX (film series)",0,0,2146266
"ChatGPT",20,14,2136737
"Benjamin Netanyahu",46,32,2025546
"2023 Rugby World Cup",281,115,1999714
"Mike Johnson (Louisiana politician)",0,0,1993370
"Hezbollah",46,26,1884885
"Jerusalem",22,14,1855824
"Saw X",471,148,1793594
"Cristiano Ronaldo",69,26,1777929
"Wikipedia",33,17,1741469
"The Creator (2023 film)",333,134,1701566
"Ansel Adams",11,6,1663839
"Zionism",22,14,1660490
"Yom Kippur War",75,37,1638738
"Halloween",50,22,1623183
"Virat Kohli",67,36,1602215
"Google Translate",17,14,1586842
"Gaza City",33,21,1571865
"Peter Sutcliffe",47,30,1525864
"History of Israel",6,6,1511845
"Loki (season 2)",357,98,1508023
"Lionel Messi",38,19,1503742
"Instagram",13,11,1499812
"Gen V",183,73,1482514
"Premier League",63,8,1479588
"Six-Day War",26,19,1475776
"Rachin Ravindra",136,90,1448999
"United States",172,51,1438189
"Five Nights at Freddy's",62,32,1436378
"John Bennett Perry",78,45,1380727
"List of highest-grossing Indian films",81,18,1378462
"Bobby Charlton",149,93,1344372
"History of Palestine",13,10,1343466
"Iron Dome",23,16,1337105
"The Exorcist: Believer",554,156,1296911
"Tyson Fury",59,24,1294250
"Brooklyn Beckham",9,8,1292479
"Oppenheimer (film)",113,49,1278405
"Flipkart",6,5,1272560
"Al-Aqsa Mosque",8,6,1254821
"Nowhere (2023 film)",40,17,1245583
"UEFA Champions League",29,7,1241316
"Reptile (film)",56,29,1236421
"Alia Bhatt",15,6,1224032
"Kevin McCarthy",282,111,1223607
"The Nun II",159,50,1213211
"Ismail Haniyeh",31,15,1197791
"India",22,15,1197421
"UEFA Euro 2024 qualifying",114,48,1191620
"Elon Musk",96,39,1188724
"Palestinians",28,14,1184260
"XXXTentacion",7,6,1167264
"Mandatory Palestine",97,9,1158230
"Jude Bellingham",84,35,1141778
"UFC 294",152,46,1124041
"Mary Lou Retton",44,31,1123150
"Yasser Arafat",14,10,1120025
"XNXX",5,2,1119452
"Asian Games",79,43,1113364
"Jimmy Savile",88,37,1112086
"2023 Polish parliamentary election",614,204,1096731
"Gaza–Israel conflict",60,36,1095567
"2023 Ballon d'Or",232,108,1053217
"Dick Butkus",173,83,1046959
"Palestine (region)",16,10,1041534
"Fair Play (2023 film)",77,28,1023764
"Ahsoka (TV series)",?,?,1021352
"Ottoman Empire",?,?,1020229
"Gayniggers from Outer Space",?,?,1011579
"Pakistan national cricket team",?,?,1011147
"1948 Arab–Israeli War",?,?,1003525
"Israel Defense Forces",?,?,999591
"Killers of the Flower Moon",?,?,982131
"Speaker of the United States House of Representatives",?,?,981723
"Rugby World Cup",?,?,979509
"Joe Biden",?,?,978518
"Sex Education (TV series)",?,?,975983
