Page,Edits,Editors,Views
"The Haunting of Bly Manor",352,152,5908723
"Bible",13,9,5447344
"Eddie Van Halen",450,203,4561143
"Watts family murders",160,89,4333052
"Amy Coney Barrett",837,221,4167469
"Joe Biden",454,53,4115101
"Kamala Harris",60,23,3633376
"Deaths in 2020",2089,208,3530248
"Sean Connery",247,91,3493560
"Donald Trump",602,116,3483339
"Sacha Baron Cohen",107,73,3175923
"Harshad Mehta",211,156,2916122
"QAnon",343,67,2778665
"2016 United States presidential election",37,23,2722525
"The Boys (2019 TV series)",0,0,2690738
"Proud Boys",457,102,2540448
"Khabib Nurmagomedov",270,102,2407230
"Borat Subsequent Moviefilm",982,289,2393437
"2020 United States presidential election",463,123,2308871
"The Queen's Gambit (miniseries)",229,70,2206599
"Hunter Biden",182,67,2155932
"Mirzapur (TV series)",309,141,2138961
"Lily Collins",56,37,2137079
"Microsoft Office",6,5,2082192
"Chicago Seven",45,34,2074810
"LeBron James",148,58,2060612
"Mike Pence",50,32,2041949
"Emily in Paris",298,120,2016539
"Hope Hicks",85,50,2000605
"XXXX",0,0,1878465
"2020 Nagorno-Karabakh conflict",0,0,1828842
"Van Halen",124,56,1806545
"United States Electoral College",105,61,1766444
"The Trial of the Chicago 7",277,90,1742431
"The Haunting of Hill House (TV series)",38,20,1720200
"Kristen Welker",63,40,1704836
"Schitt's Creek",30,22,1684977
"Among Us",359,153,1645858
"Borat",105,68,1628734
"Dan Levy (Canadian actor)",14,11,1602492
"Maria Bakalova",71,48,1585899
"F5 Networks",0,0,1508571
"Halloween",82,32,1497645
"Cleopatra",93,54,1490306
"Beau Biden",43,25,1485122
"Abbie Hoffman",41,31,1475675
"YouTube",28,17,1466797
"Hubie Halloween",267,120,1457691
"Melania Trump",52,24,1456708
"Mahatma Gandhi",23,14,1455229
"Genshin Impact",350,128,1390432
"Barack Obama",32,21,1335539
"Victoria Pedretti",39,22,1324228
"COVID-19 pandemic",450,114,1306467
"Lovecraft Country (TV series)",108,47,1260075
"Enola Holmes (film)",150,92,1241037
"COVID-19 pandemic by country and territory",98,32,1197960
"List of presidents of the United States",22,10,1195373
"NXIVM",66,46,1190531
"United States",125,53,1190085
"Hell in a Cell (2020)",719,230,1187583
"Ratched (TV series)",60,25,1187188
"Anya Taylor-Joy",65,41,1184125
"Hocus Pocus (1993 film)",125,49,1164951
"Elizabeth II",24,17,1158333
"Alexandria Ocasio-Cortez",77,49,1157561
"Judy Garland",65,43,1153583
"Cameron Boyce",80,50,1147334
"Rafael Nadal",101,45,1147215
"Tenet (film)",126,42,1144625
"David Attenborough",38,20,1137775
"Tom Hayden",34,22,1137032
"Valerie Bertinelli",16,9,1122073
"Wolfgang Van Halen",50,39,1115282
"UFC 254",182,57,1112314
"Scam 1992",186,97,1108719
"Rebecca (2020 film)",77,45,1090924
"Mulan (2020 film)",76,35,1071629
"Millie Bobby Brown",9,7,1064765
"Isla Fisher",13,10,1049532
"Keith Raniere",95,59,1045138
"American Murder: The Family Next Door",19,15,1043531
"The Mandalorian",99,48,1043427
"Ruth Bader Ginsburg",39,30,1040256
"Bigg Boss (Hindi season 14)",496,78,1038294
"2012 United States presidential election",34,23,1038283
"Billy Beane",6,6,1037552
"Three Red Banners",7,6,1030989
"Neha Kakkar",120,63,1026994
"Google",21,17,1015929
"Kayleigh McEnany",30,24,1014280
"Matthew McConaughey",29,12,1009049
"Carlo Acutis",218,100,992954
"Jill Biden",42,23,990609
"David Lee Roth",55,44,985150
"Ronald Reagan",21,16,975670
"Wikipedia",45,32,971318
"Michael Jordan",36,16,960120
"Conchata Ferrell",115,51,952335
"Indian Premier League",23,11,947345
"Rudy Giuliani",?,?,934598
"2008 United States presidential election",?,?,929798
"Lily James",?,?,919813
"Nancy Pelosi",?,?,917310
"Sean Conley",?,?,916180
"Periodic table",?,?,912933
"Sarah Levy",?,?,898912
"Blackpink",?,?,889189
"Oliver Jackson-Cohen",?,?,887954
"Elon Musk",?,?,882094
"Azerbaijan",?,?,873457
"Justin Gaethje",?,?,872928
"Scarlett Johansson",?,?,867923
"Voter turnout in the United States presidential elections",?,?,848746
"Armenia",?,?,846604
"The Turn of the Screw",?,?,846083
"Mookie Betts",?,?,846058
"Sarah Paulson",?,?,843771
"John Lennon",?,?,843246
"List of World Series champions",?,?,842783
"Billie Eilish",?,?,834764
"List of American films of 2020",?,?,833299
"Roe v. Wade",?,?,832341
"Los Angeles Dodgers",?,?,828555
"Google Classroom",?,?,828178
"Republican Party (United States)",?,?,824260
"Allison Mack",?,?,818699
"Bobby Seale",?,?,811778
"Catherine O'Hara",?,?,810692
"End SARS",?,?,807906
"2020 United States presidential debates",?,?,804801
"India",?,?,804075
"Cristiano Ronaldo",?,?,804033
"Charlie McDowell",?,?,803756
"Big Brother 22 (American season)",?,?,797564
