Page,Edits,Editors,Views
"Doctor Strange in the Multiverse of Madness",988,212,8012544
"Amber Heard",310,79,6993995
"Johnny Depp",91,48,6208398
"2022 Russian invasion of Ukraine",0,0,4250048
"Ray Liotta",298,153,4038544
"Deaths in 2022",0,0,3868858
"K.G.F: Chapter 2",0,0,3798705
"Cleopatra",6,5,3474037
"Elon Musk",511,102,3363261
"Top Gun: Maverick",844,336,3346006
"Stranger Things (season 4)",188,71,3343643
"Roe v. Wade",297,63,3343595
"Paresh Rawal",19,14,3087173
"YouTube",39,19,2911278
"List of highest-grossing Indian films",351,28,2848177
"Sunil Narine",3,3,2722624
"Skathi (moon)",5,5,2620926
"Robb Elementary School shooting",3381,512,2540935
"Naomi Judd",198,100,2473478
"Karan Johar",6,5,2434095
"Microsoft Office",7,6,2427378
"Sidhu Moose Wala",281,72,2399084
"Kagiso Rabada",2,2,2393185
"Eurovision Song Contest 2022",858,175,2273817
"Tom Cruise",12,8,2235823
"Michael Peterson trial",40,36,2146102
"Top Gun",102,65,2049807
"Stranger Things",71,36,2028727
"Bible",45,12,1971101
"Moon Knight (TV series)",0,0,1904287
"RRR (film)",0,0,1904156
"Val Kilmer",37,32,1833194
"Sandy Hook Elementary School shooting",44,24,1767330
"Everything Everywhere All at Once",313,125,1738092
"Obi-Wan Kenobi (TV series)",454,164,1668209
"Monkeypox",0,0,1663910
"Depp v. Heard",566,108,1653953
"Wikipedia",22,12,1653391
"XXXX (beer)",10,10,1642195
"Lily-Rose Depp",30,22,1609422
"Better Call Saul (season 6)",262,59,1601563
"Marilyn Monroe",15,13,1601475
"Ozark (TV series)",74,35,1584709
"Google",19,15,1561130
"Vanessa Paradis",22,16,1506511
"Ashley Judd",32,24,1503201
"United States",601,49,1499831
"2021 Southeast Asian Games",0,0,1493911
"Elizabeth II",102,26,1441204
"Travis Barker",76,43,1440320
"Ansel Adams",16,9,1387284
"Bhool Bhulaiyaa 2",873,254,1386526
"2022 Buffalo shooting",1310,258,1372957
"List of Marvel Cinematic Universe films",27,8,1332985
"UEFA Champions League",28,17,1329806
"Kendrick Lamar",117,73,1321343
"Morbius (film)",205,120,1277374
"Mr. Morale & the Big Steppers",624,237,1275961
"XXX: Return of Xander Cage",2,2,1263020
"Kelly McGillis",14,11,1252114
"Mika (singer)",26,17,1245035
"2022 Philippine presidential election",528,102,1240711
"Carlo Ancelotti",169,97,1226994
"Anthony Albanese",249,102,1217357
"Natasha Lyonne",25,20,1215059
"The Batman (film)",135,40,1215008
"CEO",0,0,1212382
"XXX (film series)",1,1,1209765
"The Northman",209,76,1204494
"Pirates of the Caribbean (film series)",48,41,1198472
"Kate Moss",11,9,1194610
"Gmail",3,3,1192554
"2022 Australian federal election",1049,338,1191196
"Cinco de Mayo",80,51,1181999
"Moon Knight",67,37,1168350
"Instagram",11,10,1168326
"Internet",5,4,1160814
"Tasya van Ree",27,21,1151532
"Premier League",117,57,1143412
"Mother's Day",13,10,1141495
"Harry Styles",42,20,1140315
"XXX (2002 film)",0,0,1136863
"Elizabeth Olsen",101,53,1127224
"Uvalde, Texas",198,117,1126760
"Better Call Saul",165,58,1121129
"YouTube Music",1,1,1119792
"India",41,19,1107081
"The Staircase (miniseries)",0,0,1098893
"Dmitry Bivol",185,99,1093983
"Susan Wojcicki",6,5,1088502
"Cristiano Ronaldo",20,13,1084618
"List of school shootings in the United States",0,0,1084196
"Millie Bobby Brown",168,93,1078820
"Fantastic Beasts: The Secrets of Dumbledore",281,91,1078107
"Canelo Álvarez",26,17,1069988
"Gangubai Kothewali",50,34,1064374
"YouTube Premium",0,0,1060937
"Xochitl Gomez",47,32,1041416
"Facebook",28,13,1030812
"Bongbong Marcos",223,93,1026120
"F5 Networks",?,?,1018671
"The Great Gama",?,?,1016565
"Russo-Ukrainian War",?,?,1000856
"America Chavez",?,?,1000761
"Clark Olofsson",?,?,988636
"Jennifer Connelly",?,?,979256
"Khalifa bin Zayed Al Nahyan",?,?,972860
"Chip 'n Dale: Rescue Rangers (film)",?,?,969741
"Ryan Reynolds",?,?,952063
"Wynonna Judd",?,?,950922
"Cat",?,?,947165
"List of UEFA Champions League finals",?,?,946508
"Madison Cawthorn",?,?,940514
"Ncuti Gatwa",?,?,936812
"Marvel Cinematic Universe: Phase Four",?,?,932425
"Andrew Symonds",?,?,931155
"Pet",?,?,930806
"Liverpool F.C.",?,?,923264
"Sarkaru Vaari Paata",?,?,917907
"Real Madrid CF",?,?,915576
"Winona Ryder",?,?,912320
"Jack Harlow",?,?,908259
"Pete Davidson",?,?,907902
"Thor: Love and Thunder",?,?,901851
"Ukraine",?,?,895220
"WhatsApp",?,?,894514
"Null",?,?,891334
"Fred Ward",?,?,882591
"List of NBA champions",?,?,880433
"Three Mile Island accident",?,?,879605
"Elvis Presley",?,?,879579
"Spencer Haywood",?,?,864485
"JavaScript",?,?,859281
"United Kingdom",?,?,854147
"Love, Death & Robots",?,?,844561
"Ronnie O'Sullivan",?,?,842915
"Candy Montgomery",?,?,838818
"Blake Lively",?,?,834951
"2022 in film",?,?,834086
"Vladimir Putin",?,?,833483
"Video hosting service",?,?,833061
"XXXTentacion",?,?,831076
"List of highest-grossing films",?,?,821113
"Oscar Isaac",?,?,814036
"2022–23 UEFA Champions League",?,?,811525
"John Wayne Gacy",?,?,809689
"Microsoft Windows",?,?,803422
"Adolf Hitler",?,?,802484
"Kim Kardashian",?,?,795282
"The Lincoln Lawyer (TV series)",?,?,790419
"Spider-Man: No Way Home",?,?,785448
"Senior Year (2022 film)",?,?,783100
"Steve Kerr",?,?,782618
"Karine Jean-Pierre",?,?,781893
"Marvel Cinematic Universe",?,?,781538
