Page,Edits,Editors,Views
"WandaVision",447,121,5407577
"Tom Brady",394,135,4919381
"Bible",10,9,4177312
"Deaths in 2021",2982,221,3482761
"Death of Elisa Lam",230,107,3395124
"Cecil Hotel (Los Angeles)",157,106,2932621
"The Weeknd",101,41,2788045
"Elon Musk",311,42,2619588
"Rush Limbaugh",409,159,2613404
"Cleopatra",9,7,2525106
"Agatha Harkness",226,139,2481908
"Dustin Diamond",207,90,2333209
"XXXX",2,2,2234283
"Christopher Plummer",425,181,2231883
"Rob Gronkowski",158,109,2174475
"Microsoft Office",5,5,2162464
"List of deaths and violence at the Cecil Hotel",102,60,2103519
"Shailene Woodley",123,78,2083190
"Patrick Mahomes",80,28,1975665
"Naomi Osaka",162,93,1911738
"Britney Spears",59,20,1908789
"Bridgerton",115,51,1906434
"Richard Ramirez",29,15,1873231
"Daft Punk",277,144,1848946
"Elizabeth Olsen",89,44,1826164
"Elizabeth II",58,19,1781323
"Donald Trump",584,115,1776597
"Gina Carano",395,129,1764593
"Royal Rumble (2021)",703,113,1762245
"Marilyn Manson",180,48,1640099
"Wikipedia",89,31,1607455
"YouTube",21,19,1581497
"Super Bowl LV",592,164,1539972
"Marjorie Taylor Greene",353,93,1532471
"XXX",0,0,1532022
"Valentine's Day",51,25,1512732
"The Dig (2021 film)",65,36,1493539
"Fred Hampton",124,66,1481870
"I Care a Lot",178,72,1447581
"QAnon",82,54,1444330
"Myanmar",147,63,1432442
"Joe Biden",151,71,1431167
"Elimination Chamber (2021)",502,96,1416386
"Judas and the Black Messiah",307,89,1383684
"Scarlet Witch",53,36,1356858
"F5 Networks",0,0,1341408
"Sutton Hoo",68,44,1338486
"BF",38,26,1330387
"United States",99,41,1308796
"Tasuku Honjo",0,0,1293705
"Ted Cruz",120,56,1284480
"Bobby Shmurda",52,32,1267389
"Rajiv Kapoor",145,71,1235716
"Tiger Woods",105,43,1234591
"Firefly Lane",88,17,1223751
"The Sinner (TV series)",47,11,1223626
"Prince Philip, Duke of Edinburgh",89,47,1200687
"List of Super Bowl champions",38,21,1119632
"Dogecoin",30,24,1112177
"The Little Things (2021 film)",157,56,1108666
"Evan Rachel Wood",108,44,1107085
"Captain Tom",6,3,1102076
"Gisele Bündchen",25,18,1088531
"Regé-Jean Page",95,45,1075959
