Page,Edits,Editors,Views
"Cleopatra",4,4,5286746
"Top Gun: Maverick",1024,433,4956212
"Roe v. Wade",305,86,4399634
"Stranger Things (season 4)",228,75,4320822
"Vikram (2022 film)",525,110,4135394
"Stranger Things",100,45,3829854
"Jurassic World Dominion",875,206,3620042
"Deaths in 2022",0,0,3598277
"Amber Heard",408,75,3411376
"The Boys (TV series)",498,168,3408593
"YouTube",33,17,3196149
"Johnny Depp",119,52,3147635
"Juneteenth",145,84,3109002
"Obi-Wan Kenobi (TV series)",675,248,2964187
"2022 Russian invasion of Ukraine",0,0,2834869
"Doctor Strange in the Multiverse of Madness",246,68,2803871
"Tom Cruise",79,17,2627216
"KK (singer)",268,99,2564850
"Elizabeth II",125,57,2539325
"Skathi (moon)",1,1,2531900
"Top Gun",82,47,2474593
"Nandamuri Balakrishna",19,13,2455196
"Juancho Hernangómez",59,42,2429551
"Elvis Presley",59,31,2411096
"Val Kilmer",31,26,2386099
"Warren Jeffs",67,50,2365071
"Millie Bobby Brown",109,24,2226594
"Microsoft Office",5,5,2170871
"Stephen Curry",86,39,2071831
"Mika Singh",9,6,2029139
"Hustle (2022 film)",175,106,1863715
"Miles Teller",57,40,1816914
"Elon Musk",733,83,1762203
"Ms. Marvel (TV series)",0,0,1731280
"Wikipedia",30,20,1728661
"Bible",302,15,1704969
"Kate Bush",276,98,1684120
"XXXX (beer)",6,4,1664941
"Lightyear (film)",736,292,1647758
"Ezra Miller",76,39,1621948
"The Umbrella Academy (TV series)",242,93,1601163
"Sidhu Moose Wala",453,59,1551854
"2022 FIFA World Cup",149,56,1547642
"Rafael Nadal",157,48,1542639
"Index of Windows games (S)",0,0,1494822
"Winona Ryder",53,37,1484612
"Austin Butler",71,41,1441778
"Google",29,19,1434867
"Ansel Adams",15,12,1400369
"Internet",7,6,1381182
"Kelly McGillis",17,13,1374429
"United States",448,72,1352525
"Samrat Prithviraj",395,75,1349304
"Bhool Bhulaiyaa 2",218,73,1337411
"CEO",0,0,1321311
"Draupadi Murmu",0,0,1282929
"Elliot Page",21,13,1276352
"YouTube Music",1,1,1242094
"Candidates Tournament 2022",645,156,1237227
"Jamie Campbell Bower",141,74,1236948
"Gmail",0,0,1226842
"Susan Wojcicki",5,3,1221659
"Jennifer Connelly",22,12,1198052
"List of NBA champions",84,47,1197071
"2022 in film",225,52,1190503
"YouTube Premium",14,12,1183564
"Instagram",9,9,1178024
"Elvis (2022 film)",343,156,1171133
"Morbius (film)",199,92,1155155
"Thor: Love and Thunder",104,41,1134307
"Charlie Heaton",55,37,1133719
"The Quarry (video game)",149,58,1129588
"XXX: Return of Xander Cage",2,2,1113735
"Peaky Blinders (TV series)",58,14,1099328
"Maya Hawke",67,27,1082234
"Natalia Dyer",47,29,1081305
"India",55,21,1076442
"RRR (film)",0,0,1070705
"Video hosting service",0,0,1060461
"Lokesh Kanagaraj",239,125,1060271
"Shakira",27,20,1057910
"Facebook",15,12,1052009
"The Black Phone",248,101,1049766
"Spiderhead",87,52,1046146
"Noah Schnapp",64,18,1030807
"Gaten Matarazzo",39,27,1023855
"Priscilla Presley",20,10,1023510
"K.G.F: Chapter 2",0,0,1022785
"Clarence Thomas",72,37,1015241
