Page,Edits,Editors,Views
"Jawan (film)",838,106,13620786
"2023 Asia Cup",381,65,8613897
"Asia Cup",132,91,6856295
"YouTube",40,25,5846356
"Cleopatra",4,4,5640571
"Deion Sanders",232,152,4114133
"Deaths in 2023",1973,186,3895360
"Jimmy Buffett",452,189,3682323
"XXX: Return of Xander Cage",5,3,3451374
"Travis Kelce",122,54,3222755
"Danny Masterson",144,78,3124713
"The Equalizer 3",271,97,3008468
"XXXX (beer)",16,13,2874878
"Taylor Swift",130,42,2840895
"List of highest-grossing Indian films",186,29,2534289
"Denial-of-service attack",2,2,2496899
"Sex",5,3,2402741
"One Piece (2023 TV series)",330,127,2389026
"Oppenheimer (film)",587,225,2269042
"Steve Harwell",265,145,2244366
"Jailer (2023 Tamil film)",88,24,2198693
"Coco Gauff",187,93,2142307
"ChatGPT",39,22,2120546
"OSIRIS-REx",217,76,2120005
"XXX (film series)",1,1,2116765
"Ahsoka (TV series)",279,131,2082603
"The Nun II",272,88,2062682
"September 11 attacks",131,55,2025331
"Facebook",10,9,1987819
"India national cricket team",233,76,1975367
"2023 Rugby World Cup",292,126,1944345
"Gadar 2",160,64,1940294
"Bijou Phillips",111,55,1902737
"Russell Brand",482,111,1847734
"2023 FIBA Basketball World Cup",529,134,1831953
"Instagram",10,7,1822623
"G20",177,108,1816629
"2023 Cricket World Cup",185,40,1789672
"Wikipedia",28,19,1764896
"2022 Asian Games",264,75,1754647
"One Piece",23,10,1722749
"Barbie (film)",383,174,1648754
"Elon Musk",119,42,1619402
"Atlee (director)",71,40,1603087
"Ansel Adams",6,6,1587042
"Novak Djokovic",128,53,1582495
"Premier League",23,13,1573990
"India",71,25,1571471
"Sophie Turner",124,77,1568186
"Michael Gambon",187,90,1499799
"Burning Man",122,74,1481232
"Blue Beetle (film)",301,142,1473005
"Cristiano Ronaldo",64,24,1393201
"David McCallum",164,99,1375902
"Twitter",48,39,1370376
"India at the 2022 Asian Games",1939,168,1368699
"Nayanthara",80,33,1367960
"Starfield (video game)",272,96,1356448
"Google Translate",0,0,1348683
"United States",214,41,1330857
"Mackenyu",53,29,1327212
"Ben Shelton (tennis)",0,0,1312970
"Alia Bhatt",13,6,1278248
"Sex Education (TV series)",107,53,1255124
".xxx",2,2,1218803
"Dianne Feinstein",213,118,1217556
"Olivia Rodrigo",69,41,1215116
"Lionel Messi",36,22,1197651
"Daniil Medvedev",86,50,1180786
"A Haunting in Venice",465,157,1178886
"Jason Kelce",25,21,1168424
"Indiana Jones and the Dial of Destiny",83,54,1166623
"Aryna Sabalenka",126,52,1164255
"Vivek Ramaswamy",68,28,1160708
"Shah Rukh Khan",79,23,1155981
"Timothée Chalamet",3,3,1133524
"Shedeur Sanders",87,44,1117027
"The Wheel of Time (TV series)",140,52,1112087
"J. Robert Oppenheimer",36,22,1101282
"US Open (tennis)",45,20,1098567
"Elemental (2023 film)",159,40,1098025
"Emily Rudd",21,18,1092136
"Parkour",2,2,1089540
"Lauren Boebert",78,33,1080369
"UEFA Champions League",25,10,1077114
"List of American films of 2023",231,65,1063369
"The Creator (2023 film)",227,78,1047700
"XXXTentacion",4,4,1045919
"XNXX",8,6,1044627
"Kushi (2023 film)",218,84,1000017
"Pathaan (film)",43,14,992916
"Sean Strickland",67,27,992059
"Google",16,10,990348
"Chandrayaan-3",189,76,983797
"Smash Mouth",90,67,981509
"Asian Games",53,32,981294
"Talk to Me (2022 film)",82,39,970217
"Abdul Karim Telgi",44,35,969397
"Flipkart",14,9,964082
"Aaron Rodgers",43,22,961926
"Alba Baptista",?,?,950579
"Bob Menendez",?,?,949463
"Only Murders in the Building",?,?,944626
"List of Indian films of 2023",?,?,940521
"Joe Jonas",?,?,936646
"Joe Biden",?,?,908562
"The Last Voyage of the Demeter",?,?,904247
"List of One Piece characters",?,?,900635
"Donald Trump",?,?,892843
"List of Hindi films of 2023",?,?,891282
"Raindrop cake",?,?,890375
"Virat Kohli",?,?,884959
"Manchester United F.C.",?,?,880892
"Ray Stevenson",?,?,873699
"Al Nassr FC",?,?,867900
"The Nun (2018 film)",?,?,866641
"Pakistan national cricket team",?,?,859399
"Duane Davis (gangster)",?,?,847145
"Iñaki Godoy",?,?,840723
"Big Brother 25 (American season)",?,?,839052
"WhatsApp",?,?,830569
"Canada",?,?,827269
"Morgan Davies",?,?,822554
"Killers of the Flower Moon (film)",?,?,822185
"Selena Gomez",?,?,808241
"Chris Evans (actor)",?,?,807561
"Retribution (2023 film)",?,?,805794
"Mortal Kombat 1",?,?,802099
"Tupac Shakur",?,?,799959
"Rishi Sunak",?,?,799913
"Morocco",?,?,799788
"Dwayne Johnson",?,?,798311
"Saw X",?,?,793907
"Top Boy",?,?,792710
"The Little Mermaid (2023 film)",?,?,791402
"Elizabeth II",?,?,789133
"Payback (2023)",?,?,784307
"No Hard Feelings (2023 film)",?,?,771799
"Inter Miami CF",?,?,765177
"Russian invasion of Ukraine",?,?,759707
"No One Will Save You",?,?,756536
"United Kingdom",?,?,755380
"Mount Takahe",?,?,753680
"Prichard Colón",?,?,752573
"Giorgia Meloni",?,?,749701
"Adam Sandler",?,?,747634
"UFC 293",?,?,741217
"2023 G20 New Delhi summit",?,?,740214
"Billy Miller (actor)",?,?,737981
"Yom Kippur",?,?,735281
"José M. Hernández",?,?,734496
"India–Pakistan cricket rivalry",?,?,733613
"Moving (South Korean TV series)",?,?,731186
"Strays (2023 film)",?,?,730918
"Leo (2023 Indian film)",?,?,729827
"Gran Turismo (film)",?,?,729378
"Chandramukhi 2",?,?,728255
"Margot Robbie",?,?,726785
"Kylie Jenner",?,?,726586
"Tom Brady",?,?,725059
