Page,Edits,Editors,Views
"Sushant Singh Rajput",487,183,12867160
"Juneteenth",359,152,6777055
"Bible",13,5,5047295
"Antifa (United States)",611,84,4573278
"Killing of George Floyd",0,0,4342624
"Shooting of Breonna Taylor",1,1,3792514
"Jeffrey Epstein",42,24,3612867
"COVID-19 pandemic",348,133,3496643
"Deaths in 2020",2417,222,3287512
"George Floyd",960,222,3095792
"Death of George Floyd",2,2,2796823
"Black Lives Matter",321,150,2731017
"Candace Owens",211,91,2669193
"Tulsa race massacre",132,79,2540075
"The Last of Us Part II",539,146,2492547
"Donald Trump",312,55,2434614
"Edward Colston",623,198,2260090
"Pizzagate conspiracy theory",14,12,2232659
"365 Days (2020 film)",253,101,2202807
"List of mobile phone brands by country",13,3,2197365
"Ankita Lokhande",133,92,2139733
"Elon Musk",124,58,2042663
"Rhea Chakraborty",144,85,1992462
"Chiranjeevi Sarja",162,46,1967960
"Capitol Hill Autonomous Zone",3,2,1952208
"Aunt Jemima",375,120,1908962
"Ghislaine Maxwell",12,4,1843296
"George Floyd protests",3025,600,1780765
"PlayerUnknown's Battlegrounds",0,0,1654084
"Bubba Wallace",123,72,1638338
"F5 Networks",0,0,1616641
"Dark (TV series)",256,135,1498680
"Michael Jordan",55,13,1473799
"13 Reasons Why",269,106,1444524
"XXXX",0,0,1413269
"George Soros",38,20,1409155
"United States",172,59,1363377
"Rodney King",86,62,1360456
"Flags of the Confederate States of America",81,41,1321791
"Martin Luther King Jr.",28,20,1310993
"Marsha P. Johnson",54,32,1310466
"Microsoft Office",6,6,1305267
"Malcolm X",72,28,1301506
"Bruce Lee",49,17,1282505
"Nancy Green",96,43,1282007
"Race and ethnicity in the United States",68,43,1275397
"Barack Obama",34,26,1273447
"COVID-19 pandemic in India",147,32,1258444
"Anonymous (group)",0,0,1226822
"Boogaloo movement",426,66,1203692
"Ku Klux Klan",41,24,1193983
"American Civil War",38,23,1190309
"Joe Biden",107,47,1177640
"YouTube",26,15,1156479
"Tasuku Honjo",25,20,1150632
"Meghana Raj",90,40,1142526
"Elizabeth II",23,13,1141604
"Jim Crow laws",19,11,1132972
