Page,Edits,Editors,Views
"2020 Summer Olympics",676,177,6753586
"Black Widow (2021 film)",1019,143,4990853
"Cleopatra",16,8,4929658
"Bible",19,6,4077944
"UEFA Euro 2020",336,98,3957809
"Deaths in 2021",2318,224,3679525
"Loki (TV series)",526,122,3636756
"Simone Biles",134,78,3198099
"Dilip Kumar",486,173,2981530
"Giannis Antetokounmpo",168,64,2865528
"The Tomorrow War",301,170,2740241
"YouTube",30,20,2664242
"Microsoft Office",4,4,2605400
"XXXX",0,0,2413934
"UEFA European Championship",275,116,2335118
"Space Jam: A New Legacy",828,198,2295186
"Copa América",169,93,2249961
"Old (film)",319,140,2172244
"Novak Djokovic",204,63,2129971
"Index.html",0,0,2119365
"Kang the Conqueror",160,85,2106935
"Lionel Messi",289,81,2092142
"Skathi (moon)",7,1,2059990
"Jeff Bezos",95,54,1956035
"Naomi Osaka",70,43,1891828
"F9 (film)",296,138,1804441
"Michael Phelps",17,10,1777333
"Florence Pugh",47,28,1768235
"India at the 2020 Summer Olympics",1085,247,1695009
"Sarah Shahi",22,17,1689674
"Emma Raducanu",225,105,1666752
"Scarlett Johansson",42,29,1651938
"Ashleigh Barty",277,129,1640991
"Cristiano Ronaldo",144,36,1624598
"Richard Branson",211,111,1615869
"Google",17,9,1604813
"Conor McGregor",98,39,1598884
"Critical race theory",86,35,1594808
"Katie Ledecky",103,69,1583877
"Wikipedia",53,25,1512529
"Christopher Duntsch",185,50,1490930
"Gareth Southgate",87,36,1479984
"List of Olympic Games host cities",87,52,1432175
"Sunisa Lee",209,119,1429966
"England national football team",174,63,1420499
"Tom Daley",126,72,1390945
"United States",74,32,1390121
"2021 Copa América",326,123,1389782
"Fear Street Part One: 1994",200,89,1387551
"Money in the Bank (2021)",573,168,1380398
"Italy national football team",264,70,1376024
"List of Marvel Cinematic Universe films",60,30,1342782
"Football at the 2020 Summer Olympics",77,43,1342645
"Manifest (TV series)",46,31,1336233
"Marvel Cinematic Universe: Phase Four",197,53,1332592
"Amazon (company)",24,18,1330207
"Roger Federer",76,23,1315030
"FIFA World Cup",58,16,1306130
"Elon Musk",34,23,1296231
"Adam Demos",41,21,1290695
"Harry Kane",65,28,1255978
"Gianluigi Donnarumma",123,60,1252492
"Joey Jordison",132,77,1244281
"Gmail",1,1,1232058
"The Suicide Squad (film)",293,113,1225815
"Olympic Games",33,18,1216139
"Biz Markie",231,126,1211398
"Giorgio Chiellini",136,62,1205869
"A Quiet Place Part II",109,54,1189896
"Jadon Sancho",99,38,1179899
"2022 FIFA World Cup",31,15,1176448
"Rick and Morty (season 5)",186,101,1172567
"Olivia Rodrigo",140,52,1167402
"Britney Spears",78,35,1161406
"India",55,21,1133424
"LeBron James",57,30,1126803
"Murder of James Bulger",30,18,1121624
