Page,Edits,Editors,Views
"Index (statistics)",13,11,20502745
"Lisa Marie Presley",486,207,8401735
"Pathaan (film)",801,136,6950455
"Avatar: The Way of Water",845,297,6522721
"The Last of Us (TV series)",599,166,5856521
"XXX: Return of Xander Cage",2,2,5474996
"ChatGPT",150,66,5349371
"Cleopatra",13,8,5204577
"Deaths in 2023",2468,203,4317756
"Priscilla Presley",112,71,4173141
"Elvis Presley",81,37,3794867
"The Menu (2022 film)",359,160,3791447
"Andrew Tate",318,90,3572917
"Damar Hamlin",721,216,3551218
"The Last of Us",71,39,3523963
"Riley Keough",73,37,3422178
"Index, Washington",6,6,3390588
"Royal Rumble (2023)",1085,206,3180443
"List of highest-grossing films",157,26,3020371
"Index (economics)",5,5,2823893
"Edgar Allan Poe",17,9,2739459
"Varisu",596,103,2648035
"M3GAN",930,333,2637958
"YouTube",24,17,2603870
"Jenna Ortega",188,45,2587896
"Jeff Beck",189,83,2447745
"Cristiano Ronaldo",62,29,2383440
"Ken Block",210,111,2252703
"Jeremy Renner",95,41,2199853
"The White Lotus",72,38,2193009
"Kai the Hatchet-Wielding Hitchhiker",3,1,1977312
"Brock Purdy",252,102,1934708
"Everything Everywhere All at Once",267,119,1921021
"Glass Onion: A Knives Out Mystery",237,94,1920097
"George Santos",1184,196,1906258
"Wednesday (TV series)",112,52,1905140
"The Banshees of Inisherin",238,121,1901473
"Kevin McCarthy",304,137,1884451
"2023 Speaker of the United States House of Representatives election",0,0,1837032
"Bernie Madoff",17,12,1831105
"Avatar (2009 film)",50,22,1822328
"Wikipedia",62,29,1815488
"Bella Ramsey",184,94,1797752
"Puss in Boots: The Last Wish",431,99,1763308
"XXXTentacion",22,13,1752937
"The Pale Blue Eye",113,63,1741889
"Thunivu",441,99,1716524
"Miley Cyrus",38,22,1716067
"Instagram",7,6,1687753
"Republic Day (India)",58,46,1667127
"Navarone Garibaldi",31,28,1635277
"2022 Russian invasion of Ukraine",0,0,1627282
"Premier League",111,70,1613109
"Al Nassr FC",222,127,1582605
"Lionel Messi",79,24,1554122
"Ginny & Georgia",195,70,1553762
"David Crosby",390,118,1516699
"Jennifer Coolidge",59,38,1502701
"United States",133,47,1500771
"Annie Wersching",113,59,1499823
"Joe Burrow",121,20,1483662
"Pedro Pascal",59,35,1481656
"Ansel Adams",7,5,1433840
"Patrick Mahomes",74,28,1426243
"Index",8,4,1405437
"Brendan Fraser",94,45,1392460
"Austin Butler",127,55,1387497
"Martin Luther King Jr.",39,22,1347228
"Novak Djokovic",139,41,1340086
"Knives Out",34,24,1318147
"Yellowstone (American TV series)",60,26,1305597
"Justin Roiland",180,113,1302181
"That '90s Show",245,104,1291435
"India",38,16,1288893
"RRR (film)",0,0,1277230
"Kaleidoscope (American TV series)",199,83,1272518
"XXXX",0,0,1264718
"OpenAI",153,78,1260986
"Death of Tyre Nichols",1,1,1243787
"Ke Huy Quan",137,78,1242006
"Aubrey Plaza",26,18,1240174
"Liam Hemsworth",7,5,1229707
"Elon Musk",41,21,1227220
"Stetson Bennett",121,78,1226326
"Australian Open",71,37,1222678
"Anya Taylor-Joy",43,27,1214808
"Pope Benedict XVI",307,98,1207407
"The Whale (2022 film)",188,84,1202779
"XXX (2002 film)",1,1,1195160
"Leopard 2",262,84,1185858
"Babylon (2022 film)",359,130,1185411
"Michael Jackson",70,21,1181864
"Velma (TV series)",439,173,1174146
"Elizabeth II",82,26,1156681
"XXX (film series)",1,1,1155242
"Shakira",34,24,1154676
"2023 Men's FIH Hockey World Cup",442,98,1150636
"M1 Abrams",96,53,1147185
"John Stonehouse",78,38,1133226
"Pelé",191,58,1129936
"Facebook",?,?,1128268
"Tár",?,?,1117754
"Miss Universe 2022",?,?,1114385
"Tom Cruise",?,?,1113056
"Steven Spielberg",?,?,1106415
"List of Super Bowl champions",?,?,1104991
"Michelle Yeoh",?,?,1101718
"80th Golden Globe Awards",?,?,1099689
"Waltair Veerayya",?,?,1099623
"Google",?,?,1094032
"Barbara Walters",?,?,1091807
"List of highest-grossing Indian films",?,?,1087064
"Lunar New Year",?,?,1077970
"95th Academy Awards",?,?,1077768
"Tom Brady",?,?,1073577
"Chinese New Year",?,?,1072477
"Jalen Hurts",?,?,1032655
"Prince Harry, Duke of Sussex",?,?,1028849
"Wout Weghorst",?,?,1014376
"Top Gun: Maverick",?,?,993531
"Jeffrey Dahmer",?,?,992507
"Internet",?,?,991474
"Brianne Howey",?,?,989981
"Alice in Borderland (TV series)",?,?,988457
"WhatsApp",?,?,988392
"Super Bowl LVII",?,?,980927
"Michael Lockwood (guitarist)",?,?,978410
"The Fabelmans",?,?,959579
"Commotio cordis",?,?,955587
"2023 Australian Open – Men's singles",?,?,954858
"Aaron Taylor-Johnson",?,?,952694
"Joaquín ""El Chapo"" Guzmán",?,?,952343
"1923 (TV series)",?,?,951709
"Charles III",?,?,949543
"James Cameron",?,?,946582
"Val Kilmer",?,?,937581
"The Glory (TV series)",?,?,929946
"Nicolas Cage",?,?,929489
"Manchester United F.C.",?,?,925806
"Julian Sands",?,?,924968
"Veera Simha Reddy",?,?,924846
"R'Bonney Gabriel",?,?,920770
"Marie Antoinette",?,?,912698
"Bigg Boss (Tamil season 6)",?,?,911209
"Sex",?,?,910948
"Gianluca Vialli",?,?,906289
"Margot Robbie",?,?,900362
"Colin Farrell",?,?,893974
"Happy Valley (TV series)",?,?,892547
"Travis Kelce",?,?,891203
"2023 World Men's Handball Championship",?,?,890698
"Speaker of the United States House of Representatives",?,?,890465
"Trevor Lawrence",?,?,890409
"Mykhailo Mudryk",?,?,885293
"Hakeem Jeffries",?,?,880233
"Shah Rukh Khan",?,?,879104
"Sylvester Stallone",?,?,878704
"Marianne Bachmeier",?,?,874501
"2023 Australian Open",?,?,873555
"United Kingdom",?,?,872333
"List of American films of 2023",?,?,871995
"Whitney Houston",?,?,855197
"Ryan Reynolds",?,?,848574
"Dolly Parton",?,?,847696
"Bigg Boss (Hindi season 16)",?,?,845949
"Dave Bautista",?,?,843848
"Ruth Madoff",?,?,838384
"Chelsea F.C.",?,?,834124
"Aryna Sabalenka",?,?,833630
"Harrison Ford",?,?,832734
"Arsenal F.C.",?,?,821420
"Mission Majnu",?,?,821375
"Adolf Hitler",?,?,819654
"Eddie Murphy",?,?,818615
"Gerard Piqué",?,?,814140
"Elena Rybakina",?,?,812306
"2022 FIFA World Cup",?,?,809771
"White Noise (2022 film)",?,?,807719
"Greta Thunberg",?,?,804571
"World War I",?,?,802352
"Adam Rich",?,?,798368
"LeBron James",?,?,796638
"Ved (film)",?,?,795420
"Maryland",?,?,792287
"A Man Called Otto",?,?,790011
"Jacinda Ardern",?,?,788352
"Murray Bartlett",?,?,786816
"Google Translate",?,?,785102
"World War II",?,?,780385
"Tammy Wynette",?,?,778584
"Taylor Swift",?,?,777771
"Diana, Princess of Wales",?,?,772005
"Alexandra Daddario",?,?,770588
"2022 in film",?,?,769378
"2023 Cricket World Cup",?,?,768351
"Tom Hanks",?,?,763828
"Black Panther: Wakanda Forever",?,?,762077
"Dwayne Johnson",?,?,760359
"Meghan, Duchess of Sussex",?,?,760147
"Zoe Saldaña",?,?,756780
"YouTube Music",?,?,754890
"Cindy Williams",?,?,754328
"Vlad the Impaler",?,?,751236
"Omegle",?,?,747862
"Rafael Nadal",?,?,743052
"Christian Bale",?,?,742639
"Vijay (actor)",?,?,740928
"Pope Francis",?,?,739224
"Netflix",?,?,738561
"YouTube Premium",?,?,738349
"Gareth Bale",?,?,737667
"Josh Johnson (quarterback)",?,?,736219
"Marilyn Monroe",?,?,731649
"Paris Saint-Germain F.C.",?,?,731029
"Pamela Anderson",?,?,727072
"Susan Wojcicki",?,?,725674
"Danny Masterson",?,?,725597
"Lauren London",?,?,723931
"Kanye West",?,?,722692
"Natasha Lyonne",?,?,719884
"Anna Kendrick",?,?,719377
"YouTube Kids",?,?,717107
"Jonah Hill",?,?,714743
"Ana de Armas",?,?,713406
"Stefanos Tsitsipas",?,?,712131
"Knock at the Cabin",?,?,710164
"Kylian Mbappé",?,?,708163
"Gmail",?,?,707826
"That '70s Show",?,?,706276
"Erling Haaland",?,?,706056
"Harry Anderson",?,?,706004
"Gina Lollobrigida",?,?,705749
"Joe Biden",?,?,705299
"JavaScript",?,?,703926
"Virat Kohli",?,?,702264
"Video hosting service",?,?,700253
"Wagner Group",?,?,700110
"Chris Hemsworth",?,?,696144
"UFC 283",?,?,690728
"Daniel Craig",?,?,690220
"Jennifer Lopez",?,?,689963
"Lisa Loring",?,?,688729
"Anna Torv",?,?,685161
"Jay Briscoe",?,?,683377
"Mindy Kaling",?,?,683377
"The Last of Us Part II",?,?,679101
"Alec Baldwin",?,?,678597
"All Quiet on the Western Front (2022 film)",?,?,678285
"New York City",?,?,677519
"Brad Pitt",?,?,677264
"Jason Kelce",?,?,674841
"Uphaar Cinema fire",?,?,674011
"Microsoft Windows",?,?,671971
"You People",?,?,671931
"David Bowie",?,?,671776
"Matt Gaetz",?,?,669011
"Plane (film)",?,?,664634
"Buzz Aldrin",?,?,664270
"Null",?,?,658965
"XXXX (beer)",?,?,657636
"Chuck Hughes",?,?,656456
"Allison Williams (actress)",?,?,654999
"Russia",?,?,654018
"Drishyam 2 (2022 film)",?,?,653534
"James Norton (actor)",?,?,653399
"Barry Keoghan",?,?,650033
"Athiya Shetty",?,?,649700
"List of Marvel Cinematic Universe films",?,?,649175
"Vikings: Valhalla",?,?,648489
"Cole Hauser",?,?,647599
"Wrexham A.F.C.",?,?,647042
"Japan",?,?,646865
"Lily Collins",?,?,646493
"The Pirate Bay",?,?,644947
"Russo-Ukrainian War",?,?,643284
"Mila Kunis",?,?,642852
"Kate Hudson",?,?,640903
"Michael Jordan",?,?,640058
"Kevin Costner",?,?,638290
"Edward Norton",?,?,636081
"Antonia Gentry",?,?,635746
"Harry Melling (actor)",?,?,633335
"Ralph Fiennes",?,?,631506
"Super Bowl",?,?,630892
"Puss in Boots (2011 film)",?,?,630370
"Tulsa King",?,?,628980
"X (2022 film)",?,?,628943
"Keanu Reeves",?,?,628018
"Freddie Mercury",?,?,627747
"Triangle of Sadness",?,?,626129
"Madonna",?,?,624449
"Diamond and Silk",?,?,621503
"KL Rahul",?,?,619920
"Android (operating system)",?,?,617662
"Mahatma Gandhi",?,?,617499
"Meta Platforms",?,?,614285
"Australia",?,?,612800
"Yeti Airlines Flight 691",?,?,611676
"Janelle Monáe",?,?,609944
"Timothée Chalamet",?,?,608900
"Ant-Man and the Wasp: Quantumania",?,?,608287
"Leonardo DiCaprio",?,?,607857
"China",?,?,607673
"Cordyceps",?,?,607328
"Avatar 3",?,?,607126
"Gangsta Boo",?,?,606719
"Manchester City F.C.",?,?,602974
"Nick Sirianni",?,?,602930
"Challenger 2",?,?,602695
"Canada",?,?,601746
"List of A Certain Magical Index characters",?,?,601238
"Nancy Pelosi",?,?,600239
"FC Barcelona",?,?,599140
"Donald Trump",?,?,598031
"The Addams Family",?,?,597380
"Microsoft 365",?,?,592484
"2023",?,?,591781
"Sam Smith",?,?,591746
"Generation Z",?,?,590958
"Mark Madoff",?,?,590460
"Selena Gomez",?,?,588797
"2022 University of Idaho killings",?,?,587395
"Shubman Gill",?,?,586597
"Ashton Kutcher",?,?,585683
"Bernard Arnault",?,?,583842
"Mike White (filmmaker)",?,?,583712
"Byron Donalds",?,?,583580
"Jamie Lee Curtis",?,?,583403
"RuPaul's Drag Race (season 15)",?,?,583002
"Cate Blanchett",?,?,582796
"Scarlett Johansson",?,?,582716
"Queen Victoria",?,?,580261
"Neymar",?,?,580188
"Andy Murray",?,?,578640
"Email",?,?,577823
"Giancarlo Esposito",?,?,577741
"2023 Australian Open – Women's singles",?,?,576959
"Leandro Trossard",?,?,576126
"Florence Pugh",?,?,576057
"Constantine II of Greece",?,?,575444
"FA Cup",?,?,572062
"Julia Roberts",?,?,571490
"Pornhub",?,?,571426
"Real Madrid CF",?,?,571394
"Lauren Boebert",?,?,570998
"Super Bowl LVI",?,?,570364
"Jennifer Connelly",?,?,569589
"1883 (TV series)",?,?,569468
"Kobe Bryant",?,?,565182
"Catherine Zeta-Jones",?,?,564712
"Turkey",?,?,562560
"Madelyn Cline",?,?,562415
"XVideos",?,?,561740
"Wiki",?,?,561187
"XNXX",?,?,559812
"Night Court",?,?,557411
"Colonel Tom Parker",?,?,556433
"Singapore",?,?,555917
"Christian McCaffrey",?,?,555535
"Somen Banerjee",?,?,555293
"Nico Parker",?,?,554231
"Ryan Clark (American football)",?,?,553322
"Alia Bhatt",?,?,552032
"Ottoman Empire",?,?,551634
"The Walking Dead (TV series)",?,?,549424
"Zlatan Ibrahimović",?,?,548658
"Eminem",?,?,548617
"Hunters (2020 TV series)",?,?,548331
"Kate Winslet",?,?,547224
"UEFA Champions League",?,?,546977
"Nick Kyrgios",?,?,546753
"Jack Ryan (TV series)",?,?,546676
"Amazon (company)",?,?,544784
"Aftersun",?,?,544209
"Albert Einstein",?,?,542891
"Germany",?,?,542718
"2022–23 NFL playoffs",?,?,542696
"Josh Allen (quarterback)",?,?,542550
"Black Adam (film)",?,?,541565
"Ukraine",?,?,540936
"Martin Luther King Jr. Day",?,?,540021
"Taylor Sheridan",?,?,538053
"Bullet Train (film)",?,?,537255
"Muhammad Ali",?,?,536794
"Michelle Williams (actress)",?,?,535937
"Jennifer Aniston",?,?,534906
"Pakistan",?,?,531263
"Arnold Schwarzenegger",?,?,531043
"Sam Worthington",?,?,528613
"Laura Prepon",?,?,528143
"Emory Tate",?,?,527449
"Mia Goth",?,?,526277
"Blake Lively",?,?,525209
"Harry Styles",?,?,523985
"Christina Ricci",?,?,523338
"Kelly Reilly",?,?,521978
"Sam Taylor-Johnson",?,?,521647
"Jordan Peterson",?,?,521611
"Infinity Pool (film)",?,?,520948
"William, Prince of Wales",?,?,519526
"FIFA World Cup",?,?,519288
"Jesse L. Brown",?,?,518871
"All Quiet on the Western Front",?,?,518589
"Siddharth Anand",?,?,517955
"Salma Hayek",?,?,517913
"Jennifer Lawrence",?,?,513055
"Women Talking (film)",?,?,512615
"Emily Blunt",?,?,511989
"Princess Margaret, Countess of Snowdon",?,?,511245
"Skinamarink",?,?,510968
"Elvis (2022 film)",?,?,510474
"Tatjana Patitz",?,?,509630
"Periodic table",?,?,508955
"George VI",?,?,507991
"Clint Eastwood",?,?,507283
"Hogwarts Legacy",?,?,507158
"The Rig (TV series)",?,?,506801
"John Krasinski",?,?,506588
"Drew Barrymore",?,?,505531
"Bangladesh Premier League",?,?,505321
"Night Court (2023 TV series)",?,?,505160
"House of the Dragon",?,?,505140
"Sarah Lancashire",?,?,504479
"Windows Server 2016",?,?,502766
"Aaron Rodgers",?,?,502655
"Windows Server 2019",?,?,502535
"MacOS",?,?,502480
"Andrew Madoff",?,?,501903
"Andy Reid",?,?,501341
"List of Hindi films of 2023",?,?,501272
"Rishi Sunak",?,?,500981
"Willow (TV series)",?,?,500841
".xxx",?,?,500360
"Vanessa Hudgens",?,?,499584
"Mukesh Ambani",?,?,499334
"Julia Louis-Dreyfus",?,?,499114
"Microsoft Exchange Server",?,?,498271
"Helena Bonham Carter",?,?,497441
"Matteo Messina Denaro",?,?,497392
"Robbie Knievel",?,?,497364
"Heath Ledger",?,?,497148
"Zendaya",?,?,497132
"Internet Explorer 11",?,?,496461
"Dhamaka (2022 film)",?,?,496284
"Email client",?,?,495837
"United States House of Representatives",?,?,495639
"Barack Obama",?,?,495616
"List of Yellowstone (American TV series) episodes",?,?,494298
"Rashmika Mandanna",?,?,493951
"Paul Mescal",?,?,493589
"List of Grand Slam men's singles champions",?,?,493199
"Melissa Rauch",?,?,492031
"Client access license",?,?,491209
"Microsoft Office Mix",?,?,489658
"Victoria Lee",?,?,488634
"Nicholas Hoult",?,?,488078
"Sally Field",?,?,487502
"Naomi Osaka",?,?,486723
"Gautam Adani",?,?,486530
"Alchemy of Souls",?,?,485894
"London",?,?,485607
"List of Microsoft 365 Applications",?,?,484914
"Vladimir Putin",?,?,484679
"Felix Mallard",?,?,484474
"BBC World Service",?,?,482958
"Marcus Rashford",?,?,482943
"Angelina Jolie",?,?,482939
"English language",?,?,482750
"Kantara (film)",?,?,482677
"Cat",?,?,482652
"William Shakespeare",?,?,482494
"MrBeast",?,?,481674
"Tina Turner",?,?,481665
"2022 NFL season",?,?,481326
"New Zealand",?,?,481209
"Ben Affleck",?,?,480592
"Channing Tatum",?,?,479837
"Deion Sanders",?,?,477742
"Achelousaurus",?,?,477252
"1899 (TV series)",?,?,476348
"Deepika Padukone",?,?,476216
"Jane Fonda",?,?,475549
"Philippines",?,?,474679
"Andor (TV series)",?,?,473696
"Robin Williams",?,?,473576
"Soviet Union",?,?,473570
"Owen Wilson",?,?,473078
"Henry Cavill",?,?,472586
"Elizabeth Holmes",?,?,472367
