Page,Edits,Editors,Views
"Jeffrey Dahmer",252,66,24128196
"Rishi Sunak",879,318,8720692
"Cleopatra",5,5,5896334
"House of the Dragon",682,167,5367653
"Christopher Scarver",243,145,5179193
"Ponniyin Selvan: I",464,82,5028753
"Black Adam (film)",1069,316,4283583
"Kantara (film)",853,276,4029244
"YouTube",30,21,4021192
"Deaths in 2022",0,0,3922846
"Marilyn Monroe",37,22,3807177
"Liz Truss",721,265,3425662
"ICC Men's T20 World Cup",85,46,3321705
"John Wayne Gacy",39,12,3007718
"Robbie Coltrane",317,182,2981920
"The Lord of the Rings: The Rings of Power",516,197,2856377
"XXX: Return of Xander Cage",4,3,2716289
"2022 Russian invasion of Ukraine",0,0,2709091
"2022 ICC Men's T20 World Cup",492,70,2667039
"Halloween",46,24,2527674
"Leslie Jordan",371,210,2481804
"Halloween Ends",705,252,2473056
"The Watcher (2022 TV series)",139,67,2350049
"Elon Musk",348,102,2306602
"Smile (2022 film)",337,156,2297343
"Akshata Murty",161,84,2236723
"Angela Lansbury",585,250,2227263
"Kanye West",371,140,2125116
"Empress Elisabeth of Austria",65,28,2115677
"Erling Haaland",102,39,2099636
"Evan Peters",20,12,2092867
"2022 FIFA World Cup",105,47,2055425
"XNXX",41,25,2028898
"Diwali",48,24,2007209
"2022 Brazilian general election",929,201,1955217
"Charles Cullen",57,43,1918555
"XXX (film series)",1,1,1914118
"Bible",36,11,1887884
"Jerry Lee Lewis",405,182,1832854
"Elizabeth II",401,75,1816657
"Premier League",69,38,1788290
"Black Adam",72,49,1766993
"Wikipedia",71,46,1764210
"Loretta Lynn",347,107,1716073
"Emma D'Arcy",25,15,1715746
"Andor (TV series)",223,104,1650173
"Ansel Adams",5,4,1615663
"Facebook",8,6,1597529
"Michael J. Fox",35,28,1560889
"Dahmer – Monster: The Jeffrey Dahmer Story",362,101,1512489
"Google",21,16,1489804
"Prime Minister of the United Kingdom",114,66,1481896
"Franz Joseph I of Austria",26,15,1480206
"Cristiano Ronaldo",50,13,1476317
"Vikram Vedha (2022 film)",469,161,1466201
"United States",99,45,1429772
"Rishab Shetty",96,53,1388278
"Luckiest Girl Alive (film)",92,51,1376344
"Jesse Anderson",29,23,1364741
"Charles III",260,111,1361588
"Andrew Tate",88,32,1358938
"Ted Bundy",35,14,1358865
"She-Hulk: Attorney at Law",316,138,1349023
"N. R. Narayana Murthy",73,45,1345976
"Suella Braverman",279,105,1344314
"Midnights",1455,311,1340764
"Don't Worry Darling",98,24,1335496
"XXX (2002 film)",0,0,1321352
"Terrifier 2",287,126,1319670
"Taylor Swift",166,41,1288489
"Lionel Messi",42,17,1286456
"Godfather (2022 film)",629,264,1285104
"India",26,14,1274121
"Werewolf by Night (TV special)",255,104,1272428
"XXXX (beer)",12,11,1257976
"Jamie Lee Curtis",28,19,1245359
"Web server directory index",2,2,1226151
"Barbarian (2022 film)",168,67,1219227
"Elvis Presley",33,11,1211791
"Internet",1,1,1208404
"Ponniyin Selvan",50,36,1207440
"Herschel Walker",291,78,1195838
"United Kingdom",110,54,1181593
"Hocus Pocus (1993 film)",108,63,1172571
"Hocus Pocus 2",271,131,1158023
"Tom Brady",99,45,1148707
"Google Translate",7,5,1143431
"Brahmāstra: Part One – Shiva",197,58,1124278
"UFC 280",124,52,1116472
"Skathi (moon)",1,1,1113935
"The Midnight Club",109,53,1102546
"Luckiest Girl Alive",12,8,1092919
"Ed Gein",34,23,1091568
"Penny Mordaunt",193,99,1079970
"Instagram",9,7,1079585
"Dwayne Johnson",21,18,1073866
"John Fetterman",124,48,1070115
"Hellraiser (2022 film)",235,118,1069322
"Aaron Judge",145,78,1067341
"List of A Certain Magical Index characters",4,4,1059877
"Black Panther: Wakanda Forever",?,?,1051619
"Ram Setu (film)",?,?,1049092
"List of serial killers by number of victims",?,?,1045981
"Halloween (franchise)",?,?,1043140
"Kwasi Kwarteng",?,?,1039688
"Gmail",?,?,1037889
"Bigg Boss (Hindi season 16)",?,?,1028919
"Russia",?,?,1021306
"XXXTentacion",?,?,1011792
"Terrifier",?,?,1010099
"CEO",?,?,1002804
"Boris Johnson",?,?,997838
"Extreme Rules (2022)",?,?,994420
"Blonde (2022 film)",?,?,989200
"Tulsi Gabbard",?,?,972154
"Guillermo del Toro's Cabinet of Curiosities",?,?,963696
"Islam Makhachev",?,?,960831
"Russo-Ukrainian War",?,?,946090
"Mila Kunis",?,?,944349
"YouTube Music",?,?,937662
"Susan Wojcicki",?,?,934385
"Bobby Cannavale",?,?,928357
"Necrophilia",?,?,927367
"Xi Jinping",?,?,914230
"American Horror Story",?,?,911514
"YouTube Premium",?,?,906554
"Chainsaw Man",?,?,904954
"Jeremy Hunt",?,?,897739
"Gisele Bündchen",?,?,891703
"Adipurush",?,?,885171
"Olivia Cooke",?,?,879296
"The School for Good and Evil (film)",?,?,873698
"World War II",?,?,873027
"Ukraine",?,?,870355
"Video hosting service",?,?,869521
"XXXX",?,?,862681
"Luiz Inácio Lula da Silva",?,?,862627
"Coolio",?,?,861953
"The Good Nurse",?,?,858431
"Laal Singh Chaddha",?,?,857627
"UEFA Champions League",?,?,850258
"Game of Thrones",?,?,847598
"Vladimir Putin",?,?,845830
"Matt Smith",?,?,843751
"2022 Formula One World Championship",?,?,842081
"Amsterdam (2022 film)",?,?,841288
"World War I",?,?,825807
"Olivia Wilde",?,?,824301
"Blink-182",?,?,822841
"Cat",?,?,814088
"Top Gun: Maverick",?,?,813190
"Ballon d'Or",?,?,804787
"The Empress (TV series)",?,?,802411
"Call of Duty: Modern Warfare II (2022 video game)",?,?,793834
"Stoneman Douglas High School shooting",?,?,793594
"Hu Jintao",?,?,790408
"List of prime ministers of the United Kingdom",?,?,789597
"Dancing with the Stars (American season 31)",?,?,787868
"Princess Margaret, Countess of Snowdon",?,?,787176
"Naomi Watts",?,?,787155
"Julia Roberts",?,?,780481
"Emmett Till",?,?,778285
"John Balcerzak",?,?,775639
"Raindrop cake",?,?,772010
"Google Classroom",?,?,768120
"Twitter",?,?,767633
"Joe Biden",?,?,767542
"WhatsApp",?,?,766400
"Opinion polling for the next United Kingdom general election",?,?,754322
"The Walking Dead (season 11)",?,?,744873
"Microsoft Office",?,?,741665
"List of highest-grossing Indian films",?,?,738793
"The Pirate Bay",?,?,738751
"Netflix",?,?,736059
"Maryland",?,?,734679
"George VI",?,?,733370
"X (2022 film)",?,?,733163
"Sex",?,?,731642
"The Peripheral (TV series)",?,?,728254
"Australia",?,?,727293
"Harry Styles",?,?,726374
"Karim Benzema",?,?,725864
"Bigg Boss (Tamil season 6)",?,?,725419
"List of Marvel Cinematic Universe films",?,?,723303
"Matthew Perry",?,?,716032
"Michael Myers (Halloween)",?,?,712428
"JSON-LD",?,?,710675
"Microdata (HTML)",?,?,709885
"Canadian Premier League",?,?,709174
"RDFa",?,?,708033
"Sarah Jessica Parker",?,?,700116
"Null",?,?,696873
"Autofellatio",?,?,695535
"All Quiet on the Western Front",?,?,692226
"The Blair Witch Project",?,?,692057
"Queen Victoria",?,?,691690
"Ana de Armas",?,?,690808
"List of World Series champions",?,?,690718
"Microsoft Windows",?,?,688930
"Victor Wembanyama",?,?,688735
"Parag Agrawal",?,?,688557
"Tom Cruise",?,?,688185
"Brownie (folklore)",?,?,686151
"Adolf Hitler",?,?,682701
"Jennifer Coolidge",?,?,682341
"Michael Jackson",?,?,681252
"Donald Trump",?,?,677915
"Manchester United F.C.",?,?,673985
"Kari Lake",?,?,672458
"Kim Kardashian",?,?,672296
"Crimean Bridge",?,?,671687
"Kathy Najimy",?,?,670071
"Wrexham A.F.C.",?,?,669794
"Bros (film)",?,?,667834
"China",?,?,667325
"Alex Jones",?,?,665670
"A Song of Ice and Fire",?,?,664161
"Bullet Train (film)",?,?,663071
"Edward VIII",?,?,662862
"Hurricane Ian",?,?,659950
"Japan",?,?,659858
"2022 FIVB Volleyball Women's World Championship",?,?,657384
"Mahatma Gandhi",?,?,653432
"Keanu Reeves",?,?,653257
"The Legend of Maula Jatt",?,?,652936
"New York City",?,?,651039
"Blunt trauma",?,?,650118
"Winston Churchill",?,?,644081
"Bette Midler",?,?,643446
"Diana, Princess of Wales",?,?,643416
"Hilary Swank",?,?,642406
"Ryan Reynolds",?,?,636377
"Halloween Kills",?,?,631667
"List of Hindi films of 2022",?,?,630905
"Charles Oliveira",?,?,629993
"Periodic table",?,?,628643
"Real Madrid CF",?,?,626924
"Sita Ramam",?,?,626561
"Singapore",?,?,626423
"Canada",?,?,620836
"Chloë Grace Moretz",?,?,616742
"LeBron James",?,?,616630
"Jake Paul vs. Anderson Silva",?,?,615767
"Halloween (1978 film)",?,?,614507
"Margaret Thatcher",?,?,614481
"Mr. Harrigan's Phone (film)",?,?,614257
"Bailey Zappe",?,?,612483
"Thank God (film)",?,?,610422
"Pearl (2022 film)",?,?,609261
"Richard Ramirez",?,?,608754
"Candace Owens",?,?,607477
"Sauron",?,?,605372
"Sardar (2022 film)",?,?,604195
"All Quiet on the Western Front (2022 film)",?,?,602339
"Miles Teller",?,?,601753
"Android (operating system)",?,?,600997
"The Handmaid's Tale (TV series)",?,?,600459
"Gotham Knights (video game)",?,?,597778
"Doctor Who",?,?,594576
"MacOS",?,?,594336
"Brad Pitt",?,?,594308
"Death of Mahsa Amini",?,?,594180
"Sara Lee (wrestler)",?,?,592484
"Henry Cavill",?,?,592182
"Hellraiser",?,?,591309
"Spotify",?,?,588636
"2022–23 UEFA Champions League",?,?,587620
"Kobe Bryant",?,?,587403
"Day of the Dead",?,?,587156
"Prince Philip, Duke of Edinburgh",?,?,586915
"Crown Jewel (2022)",?,?,586704
"Kaley Cuoco",?,?,586111
"Iran",?,?,583030
"Amazon (company)",?,?,582888
"BBC World Service",?,?,581789
"RRR (film)",?,?,581267
"Nancy Pelosi",?,?,580690
"Fire & Blood (novel)",?,?,580373
"Milly Alcock",?,?,577543
"Muhammad Ali",?,?,576505
"List of James Bond films",?,?,576351
"Scorn (video game)",?,?,575922
"List of prime ministers of the United Kingdom by length of tenure",?,?,575379
"Arthur Miller",?,?,575011
"Infosys",?,?,568352
"Eminem",?,?,563101
"JavaScript",?,?,563026
"George V",?,?,560972
"Mike Tyson",?,?,560523
"George Clooney",?,?,560366
"List of states and territories of the United States",?,?,558568
"The Walking Dead (TV series)",?,?,554167
"Naane Varuvean",?,?,553403
"Khabib Nurmagomedov",?,?,551774
"George R. R. Martin",?,?,550964
"Twitter, Inc.",?,?,549641
"Paddy Considine",?,?,549407
"Germany",?,?,549072
"Halloween (2018 film)",?,?,548745
"English language",?,?,548665
"Christian Bale",?,?,547519
"Thor: Love and Thunder",?,?,545068
"Chief executive officer",?,?,542313
"Mulayam Singh Yadav",?,?,541389
"The Woman King",?,?,541383
"Bridget Moynahan",?,?,541116
