Page,Edits,Editors,Views
"Elizabeth II",1152,348,26812067
"Jeffrey Dahmer",101,35,24249611
"Charles III",1424,519,12274014
"George VI",118,79,7593233
"Cleopatra",12,7,7328258
"Brahmāstra: Part One – Shiva",1351,175,6194255
"Prince Philip, Duke of Edinburgh",133,58,5785670
"Diana, Princess of Wales",185,71,5747522
"Christopher Scarver",131,101,5209222
"House of the Dragon",734,200,5147230
"The Lord of the Rings: The Rings of Power",420,120,5086542
"Princess Margaret, Countess of Snowdon",75,53,4805147
"Edward VIII",118,72,4802605
"Anne, Princess Royal",132,78,4698342
"Liz Truss",756,303,4461483
"George V",60,37,3975230
"Prince Harry, Duke of Sussex",136,69,3764849
"William, Prince of Wales",475,184,3752243
"Deaths in 2022",0,0,3746571
"Queen Victoria",58,32,3674804
"Queen Elizabeth The Queen Mother",68,41,3551595
"Don't Worry Darling",497,186,3491315
"YouTube",16,12,3417311
"Prince Andrew, Duke of York",113,51,3345746
"Operation London Bridge",408,179,3284319
"Prince Edward, Earl of Wessex",0,0,3282644
"2022 Russian invasion of Ukraine",0,0,3206740
"Elvis Presley",22,13,2983096
"Edward VII",68,39,2761886
"Brendan Fraser",73,54,2519623
"Balmoral Castle",287,153,2505981
"Skathi (moon)",2,1,2468475
"Charles, Prince of Wales",19,15,2446041
"Asia Cup",195,94,2389152
"Sita Ramam",172,83,2340159
"Marilyn Monroe",13,11,2226848
"Coolio",304,133,2191343
"2022 Asia Cup",364,91,2113015
"Ponniyin Selvan: I",298,66,2094452
"Meghan, Duchess of Sussex",108,38,2035111
"The Whale (2022 film)",167,89,2015400
"Thor: Love and Thunder",260,136,1975743
"United Kingdom",213,107,1914318
"Nanjing Massacre",49,14,1897028
"Serena Williams",89,32,1852706
"Evan Peters",5,4,1843739
"Bible",7,6,1807288
"Taylor Hawkins",62,40,1795714
"Succession to the British throne",107,66,1754242
"Wikipedia",35,24,1724069
"Charles II of England",38,26,1722404
"She-Hulk: Attorney at Law",425,161,1697982
"Catherine, Princess of Wales",252,84,1671189
"List of longest-reigning monarchs",376,137,1661986
"XNXX",20,14,1645403
"Camilla, Queen consort of the United Kingdom",1,1,1645044
"Milly Alcock",55,29,1621656
"Ansel Adams",11,10,1598901
"Monarchy of the United Kingdom",260,134,1583930
"Charles I of England",29,19,1573909
"XXX (2002 film)",5,3,1535931
"Winston Churchill",24,11,1524141
"Olivia Wilde",20,14,1520114
"Jesse Anderson",19,14,1517697
"Dahmer – Monster: The Jeffrey Dahmer Story",203,86,1499985
"Mary of Teck",31,20,1493035
"EuroBasket 2022",262,93,1492309
"Top Gun: Maverick",246,91,1491917
"Wallis Simpson",46,23,1491750
"Google",31,12,1487760
"Emma D'Arcy",13,8,1484496
"John Wayne Gacy",13,8,1472095
"Roger Federer",110,37,1452191
"House of Windsor",134,74,1450098
"Armie Hammer",20,19,1431321
"Elizabeth I",12,9,1431187
"United States",442,102,1415861
"XXX (film series)",3,1,1403927
"Zara Tindall",35,26,1398947
"William IV",43,20,1376737
"2022 FIFA World Cup",45,24,1344526
"Andor (TV series)",222,77,1338800
"Colonel Tom Parker",59,29,1324028
"India",112,24,1309273
"UEFA Youth League",4,4,1304671
"Andrew Tate",145,24,1288467
"List of British monarchs",191,95,1276992
"Erling Haaland",90,37,1271907
"Aaron Judge",145,89,1266919
"Death of Diana, Princess of Wales",95,65,1263882
"XXXX (beer)",6,6,1262999
"Frances Tiafoe",158,52,1262260
"PnB Rock",210,113,1261687
"Giorgia Meloni",603,160,1255239
"The Crown (TV series)",99,48,1254407
"Peter Phillips",38,32,1245678
"Commonwealth realm",188,99,1210283
"Kwasi Kwarteng",207,117,1208986
"Matt Smith",32,24,1197842
"Premier League",62,35,1179856
"LGBT",?,?,1178874
"Priscilla Presley",?,?,1175914
"Prince George of Wales",?,?,1168509
"Instagram",?,?,1153688
"Death and state funeral of Elizabeth II",?,?,1153326
"Lisa Marie Presley",?,?,1148041
"Devil in Ohio",?,?,1138413
"George III",?,?,1138337
"Harry Styles",?,?,1122245
"Barbarian (2022 film)",?,?,1120089
"Archie Mountbatten-Windsor",?,?,1117899
"Women's Super League",?,?,1114088
"UFC 279",?,?,1112077
"Nope (film)",?,?,1109236
"CJK Unified Ideographs (Unicode block)",?,?,1106260
"Prince William, Duke of Cambridge",?,?,1100357
"Hanyu Shuiping Kaoshi",?,?,1093019
"Windsor Castle",?,?,1090682
"Facebook",?,?,1083286
"Commonwealth of Nations",?,?,1078070
"Cristiano Ronaldo",?,?,1075762
"Charles, King of the United Kingdom",?,?,1071277
"September 11 attacks",?,?,1066649
"Do Revenge",?,?,1060120
"Elizabeth Bowes-Lyon",?,?,1054959
"Timothy Laurence",?,?,1054414
"Sophie, Countess of Wessex",?,?,1053467
"Camilla, Queen Consort",?,?,1050906
"Necrophilia",?,?,1044477
"Death of Elizabeth II",?,?,1042210
"Carlos Alcaraz",?,?,1041728
"Internet",?,?,1040732
"X (2022 film)",?,?,1038590
"Gmail",?,?,1032412
"Cyrus Mistry",?,?,1030343
"Google Classroom",?,?,1024778
"Graham Potter",?,?,1005492
"Mattel",?,?,997547
"Prince William, Duke of Cornwall and Cambridge",?,?,990040
"St George's Chapel, Windsor Castle",?,?,990019
"Florence Pugh",?,?,983674
"Rafael Nadal",?,?,983210
"The Woman King",?,?,981626
"Blonde (2022 film)",?,?,979444
"Mike Tyson",?,?,977520
"Pinocchio (2022 live-action film)",?,?,974054
"Princess Beatrice",?,?,963102
"Camilla Parker Bowles",?,?,960725
"Elon Musk",?,?,959422
"Google Translate",?,?,957654
"David Armstrong-Jones, 2nd Earl of Snowdon",?,?,955611
"2022 Italian general election",?,?,954500
"Antony Armstrong-Jones, 1st Earl of Snowdon",?,?,954165
"Anne, Queen of Great Britain",?,?,946331
"Lionel Messi",?,?,945915
"Manti Te'o",?,?,936211
"Tom Cruise",?,?,932439
"Russo-Ukrainian War",?,?,929786
"WhatsApp",?,?,929752
"Mrunal Thakur",?,?,929270
"George IV",?,?,926235
"Death of Mahsa Amini",?,?,918172
"Boris Johnson",?,?,914811
"List of A Certain Magical Index characters",?,?,913061
"Cobra Kai",?,?,911200
"Leonardo DiCaprio",?,?,910504
"XXXTentacion",?,?,909285
"British royal family",?,?,908412
"Killings of Tylee Ryan and J. J. Vallow",?,?,899955
"Russia",?,?,899262
"Lady Sarah Chatto",?,?,899173
"WWE Clash at the Castle",?,?,892090
"Pearl (2022 film)",?,?,888415
"CEO",?,?,884467
"Cobra (2022 film)",?,?,884178
"Dodi Fayed",?,?,878389
"Canada",?,?,876953
"Louis XIV",?,?,871245
"Adam Levine",?,?,870444
"The Sandman (TV series)",?,?,866169
"Lilibet Mountbatten-Windsor",?,?,865360
"Andrew Parker Bowles",?,?,862863
"George I of Great Britain",?,?,857361
"Game of Thrones",?,?,853453
"Louis Mountbatten, 1st Earl Mountbatten of Burma",?,?,853196
"Liger (film)",?,?,851172
"Mark Phillips",?,?,849088
"Prime Minister of the United Kingdom",?,?,848886
"Smile (2022 film)",?,?,848667
"Henry VIII",?,?,847328
"Elvis (2022 film)",?,?,846418
"Manchester United F.C.",?,?,845620
"Fall (2022 film)",?,?,844155
"Margaret Thatcher",?,?,843663
"Catherine Middleton",?,?,840600
"Tom Brady",?,?,839242
"Raju Srivastav",?,?,831698
"Queen consort",?,?,830742
"Prince of Wales",?,?,827613
"2022 Swedish general election",?,?,823770
"Nate Diaz",?,?,822039
"List of English monarchs",?,?,820092
"YouTube Music",?,?,819530
"Koh-i-Noor",?,?,817694
"Ted Bundy",?,?,815980
"Joe Biden",?,?,815348
"Susan Wojcicki",?,?,812050
"Val Kilmer",?,?,810993
"Microsoft Office",?,?,810897
"Canelo Álvarez",?,?,810472
"Wrexham A.F.C.",?,?,809410
"Prince George, Duke of Kent",?,?,809287
"Ukraine",?,?,808626
"Brownie (folklore)",?,?,808322
"Venus Williams",?,?,808002
"Chris Pine",?,?,807390
"Tham Luang cave rescue",?,?,803568
"Mikhail Gorbachev",?,?,800634
"Lady Louise Windsor",?,?,799612
"George II of Great Britain",?,?,798640
"John Balcerzak",?,?,798044
"Mia Goth",?,?,796296
"Ryan Reynolds",?,?,795132
"James VI and I",?,?,794184
"YouTube Premium",?,?,790109
"Nia Long",?,?,789230
"Raindrop cake",?,?,789071
"US Open (tennis)",?,?,788120
"Princess Eugenie",?,?,784038
"2022 US Open (tennis)",?,?,783813
"Morfydd Clark",?,?,781133
"Michael Jackson",?,?,776969
"Blake Lively",?,?,772937
"Austin Butler",?,?,771895
"List of Marvel Cinematic Universe films",?,?,771119
"Shia LaBeouf",?,?,770980
"J. R. R. Tolkien",?,?,768083
"Maya Hawke",?,?,767150
"Canadian Premier League",?,?,765999
"Galadriel",?,?,761399
"Gautam Adani",?,?,760224
"Australia",?,?,760168
"Video hosting service",?,?,749921
"List of Hindi films of 2022",?,?,749857
"Vladimir Putin",?,?,749097
"Sex",?,?,747294
"Ana de Armas",?,?,747206
"Sarah, Duchess of York",?,?,743979
"Olivia Cooke",?,?,741044
"UEFA Champions League",?,?,740598
"Microsoft Windows",?,?,731642
"Prince Edward, Duke of Kent",?,?,730794
"James, Viscount Severn",?,?,730113
"Cat",?,?,729159
"Camilla, Duchess of Cornwall",?,?,724711
"Ed Gein",?,?,724626
"Vendhu Thanindhathu Kaadu",?,?,721687
"Princess Alice of Battenberg",?,?,718088
"Behati Prinsloo",?,?,717183
"Buckingham Palace",?,?,714035
"Khamzat Chimaev",?,?,713475
"Avatar: The Way of Water",?,?,712825
"Amazon (company)",?,?,710428
"Netflix",?,?,710234
"Null",?,?,709591
"God Save the King",?,?,704920
"Westminster Abbey",?,?,701606
"Ponniyin Selvan",?,?,701346
"Big Brother 24 (American season)",?,?,697859
"Fate: The Winx Saga",?,?,696715
"World War II",?,?,694379
"The Handmaid's Tale (TV series)",?,?,693125
"Ime Udoka",?,?,692714
"Princess Charlotte of Wales (born 2015)",?,?,691753
"Donald Trump",?,?,691365
"Thiruchitrambalam",?,?,691114
"The Lord of the Rings",?,?,690542
"Ron DeSantis",?,?,682466
"UEFA Nations League",?,?,680692
"Bullet Train (film)",?,?,678348
"Camila Cabello",?,?,677010
"XXX: State of the Union",?,?,673653
"Lady Diana Spencer",?,?,672457
"2022 Atlantic hurricane season",?,?,671788
"The Lord of the Rings (film series)",?,?,671400
"Zendaya",?,?,671349
"Cara Delevingne",?,?,670909
"Krishnam Raju",?,?,670394
"Cuttputlli",?,?,666513
"List of serial killers by number of victims",?,?,666272
"Meghan Markle",?,?,665428
"Jean-Luc Godard",?,?,665110
"Iga Świątek",?,?,664658
"List of prime ministers of the United Kingdom",?,?,663571
"Isildur",?,?,662232
"Japan",?,?,659477
"Alia Bhatt",?,?,657707
"Prince Andrew of Greece and Denmark",?,?,657178
"Steve Jobs",?,?,654608
"Dulquer Salmaan",?,?,653058
"Adolf Hitler",?,?,652861
"XXX: Return of Xander Cage",?,?,651359
"Gennady Golovkin",?,?,647270
"Better Call Saul",?,?,646728
"Chelsea F.C.",?,?,641733
"Stranger Things",?,?,638205
"2022–23 UEFA Nations League",?,?,636966
"74th Primetime Emmy Awards",?,?,632859
"China",?,?,629818
"New York City",?,?,628823
"Prince Richard, Duke of Gloucester",?,?,623812
"The Little Mermaid (2023 film)",?,?,623797
"2022 ICC Men's T20 World Cup",?,?,623257
"Periodic table",?,?,622408
"The Pirate Bay",?,?,620351
"Little Women (2022 TV series)",?,?,619197
"Arshdeep Singh (cricketer)",?,?,618978
"List of Major League Baseball career home run leaders",?,?,617093
"Avatar (2009 film)",?,?,616852
"Android (operating system)",?,?,616429
"Kiwi Farms",?,?,616196
"RRR (film)",?,?,614909
"Extreme Rules (2022)",?,?,614547
"2022 in film",?,?,613957
"Freddie Mercury",?,?,612128
"Halle Bailey",?,?,610911
"Mike McDaniel",?,?,610614
"Diana Spencer",?,?,606712
"Mary I of England",?,?,601366
"2022 Formula One World Championship",?,?,600100
"Jennette McCurdy",?,?,599987
"Jordan Peterson",?,?,599561
"Breaking Bad",?,?,599114
"Chup: Revenge of the Artist",?,?,597192
"Jurassic World Dominion",?,?,597188
"Laver Cup",?,?,596221
"Vikram Vedha (2022 film)",?,?,595932
"2022 US Open – Men's singles",?,?,595148
"Fascism",?,?,594792
"Apple Inc.",?,?,593714
"MacOS",?,?,593019
"Nerissa and Katherine Bowes-Lyon",?,?,592260
"Jason Sudeikis",?,?,589540
"Barack Obama",?,?,588123
"Peter Townsend (RAF officer)",?,?,583065
"Sauron",?,?,582618
"Vikrant Rona",?,?,581472
"Chief executive officer",?,?,578460
"Prince Henry, Duke of Gloucester",?,?,578438
"Jeff Bezos",?,?,578367
"William the Conqueror",?,?,578199
"Pakistan",?,?,577952
"Keanu Reeves",?,?,577902
"JavaScript",?,?,577192
"Virat Kohli",?,?,575036
"List of states and territories of the United States",?,?,573388
"Cobra Kai (season 5)",?,?,572957
"Queen Elizabeth II",?,?,572495
"Top Gun",?,?,572161
"England",?,?,572096
"Maryland",?,?,571795
"Gigi Hadid",?,?,569691
"IOS",?,?,569681
"World War I",?,?,568690
"Prince Louis of Wales",?,?,567510
"Ted Lasso",?,?,567204
"Albert Pujols",?,?,566682
"Dwayne Johnson",?,?,566485
"Mahatma Gandhi",?,?,566393
"Ek Villain Returns",?,?,563678
"A Song of Ice and Fire",?,?,562356
"Blunt trauma",?,?,560720
"Singapore",?,?,556727
"Taylor Swift",?,?,555705
"Meta Platforms",?,?,555147
"Timothée Chalamet",?,?,553686
"Thérèse Coffey",?,?,553048
"Casper Ruud",?,?,551289
"Laura Lopes",?,?,550659
"Novak Djokovic",?,?,550537
"Artificial intelligence",?,?,550500
"Rosh Hashanah",?,?,550443
"Jennifer Connelly",?,?,550106
"Sylvester Stallone",?,?,549124
"London",?,?,549034
"BBC World Service",?,?,548659
"Iran",?,?,548542
"FC Barcelona",?,?,546840
"All Out (2022)",?,?,546004
"Catherine de' Medici",?,?,544580
"Nick Kyrgios",?,?,544195
"List of highest-grossing films",?,?,543306
"Dua Lipa",?,?,542806
"Labor Day",?,?,541441
"Sheryl Lee Ralph",?,?,541292
"Popular Front of India",?,?,540095
"Mark Field",?,?,538697
"Brothers of Italy",?,?,534994
"Greek Football Cup",?,?,533930
"Paddy Considine",?,?,532734
"Germany",?,?,531346
"Muhammad Ali",?,?,529299
"Hans Niemann",?,?,526530
"Ryan Grantham",?,?,526321
"Everything Everywhere All at Once",?,?,525983
"Spider-Man: No Way Home",?,?,525054
"List of countries by GDP (nominal)",?,?,523741
"Aaron Rodgers",?,?,523738
"Bhupen Hazarika",?,?,523554
"Brad Pitt",?,?,522671
"Gisele Bündchen",?,?,522480
"Hugh O'Leary",?,?,522397
"Númenor",?,?,520978
"British Empire",?,?,520426
"Tom Parker Bowles",?,?,518882
"John Spencer, 8th Earl Spencer",?,?,518615
"Ozzy Osbourne",?,?,517635
"Real Madrid CF",?,?,517533
"Jennifer Lawrence",?,?,517517
"List of monarchs in Britain by length of reign",?,?,516816
"Laal Singh Chaddha",?,?,516478
"Mary, Queen of Scots",?,?,515464
"King Charles III (film)",?,?,512351
"Ayan Mukerji",?,?,512322
"Crown Jewels of the United Kingdom",?,?,511105
"Three Thousand Years of Longing",?,?,510547
"Alexis Ohanian",?,?,509081
"John F. Kennedy",?,?,507812
"The White Lotus",?,?,507320
"Turkey",?,?,507045
"Succession (TV series)",?,?,506351
"Richard Williams (tennis coach)",?,?,506331
"Ajla Tomljanović",?,?,505264
"The Invitation (2022 film)",?,?,503638
"English language",?,?,503547
"The Boys (TV series)",?,?,503538
"Google Maps",?,?,501717
".xxx",?,?,501300
"Morgoth",?,?,500666
"Emily Carey",?,?,497192
"Tom Hardy",?,?,495177
"David Bowie",?,?,495091
"Arthur Melo",?,?,493915
"Black Adam (film)",?,?,493887
"Big Mouth (South Korean TV series)",?,?,493746
"Fire & Blood (novel)",?,?,492282
"Family tree of the British royal family",?,?,490243
"Geno Smith",?,?,485662
"James II & VII",?,?,485032
"Scotland",?,?,485022
"Anthony Eden",?,?,484993
"Margrethe II of Denmark",?,?,484966
"Emma Roberts",?,?,484838
"Tatiana Maslany",?,?,483857
"Tua Tagovailoa",?,?,483711
"Aileen Cannon",?,?,482233
"Arnold Schwarzenegger",?,?,482040
"Riley Keough",?,?,481830
"Abdication of Edward VIII",?,?,480850
"Hocus Pocus 2",?,?,480572
"TikTok",?,?,479696
"K.G.F: Chapter 2",?,?,478668
"Russell Wilson",?,?,478346
"John Fetterman",?,?,478226
"Murder of Junko Furuta",?,?,478104
