Page,Edits,Editors,Views
"Oppenheimer (film)",767,199,6903561
"Gadar 2",573,153,6594980
"Cleopatra",28,10,6165986
"YouTube",20,15,6058037
"J. Robert Oppenheimer",314,55,5356031
"Barbie (film)",768,296,4992382
"Jailer (film)",5,3,4611616
"Vivek Ramaswamy",545,165,4442733
"XXX: Return of Xander Cage",1,1,4138433
"Deaths in 2023",1996,182,4135422
"Chandrayaan-3",684,220,3385289
"2023 FIFA Women's World Cup",461,224,3369820
"Bray Wyatt",300,138,3233567
"Instagram",7,6,2925683
"OMG 2",364,124,2625980
"Paul Reubens",187,87,2530854
"Facebook",22,13,2452552
"Inter Miami CF",158,89,2440573
"Blue Beetle (film)",494,217,2419679
"XXXX (beer)",24,22,2367200
"Sex",4,4,2316315
"Yevgeny Prigozhin",390,161,2273016
"Lionel Messi",109,40,2164557
"FIFA Women's World Cup",177,95,2083004
"Taylor Swift",138,35,2064649
"Angus Cloud",96,66,2055570
"XXX (film series)",0,0,2031414
"Independence Day (India)",37,26,1948521
"ChatGPT",54,28,1906589
"Premier League",41,17,1852742
"Bob Barker",162,75,1851192
"Twitter",160,100,1802531
"Lucy Letby",1095,212,1799347
"Meg 2: The Trench",370,184,1795238
"2023 Asia Cup",335,109,1777619
"Cristiano Ronaldo",93,36,1743413
"Wikipedia",77,38,1739841
"Margot Robbie",22,14,1698583
"Alia Bhatt",43,9,1662799
"Ryan Gosling",20,9,1658766
"LK-99",1004,237,1640299
"Al Nassr FC",156,81,1633417
"Cillian Murphy",55,37,1579489
"Sinéad O'Connor",169,56,1575652
"Tyson Fury",26,14,1571257
"Heart of Stone (2023 film)",146,72,1563223
"Guardians of the Galaxy Vol. 3",81,45,1556548
"SummerSlam (2023)",330,89,1550123
"Johnny Manziel",30,12,1530101
"Mission: Impossible – Dead Reckoning Part One",288,137,1491958
"Donald Trump",335,84,1483976
"XXX (2002 film)",6,5,1477054
"Sam Kerr",71,52,1455045
"Sound of Freedom (film)",120,40,1433488
"Ahsoka (TV series)",218,102,1431194
"2023 FIBA Basketball World Cup",346,87,1428622
"No Hard Feelings (2023 film)",32,15,1408266
"Ansel Adams",4,4,1404197
"Google Translate",2,2,1381841
"Lewis Strauss",69,29,1380586
"United States",258,38,1379479
"Altina Schinasi",108,78,1371009
"Richard Sackler",40,26,1355804
"2023 in film",445,148,1341850
"India",42,15,1331936
"Rocky Aur Rani Kii Prem Kahaani",222,34,1307232
"Elon Musk",111,36,1282964
"2023 World Athletics Championships",280,86,1261887
".xxx",0,0,1251391
"Neymar",103,42,1250902
"ISRO",119,39,1247598
"Indiana Jones and the Dial of Destiny",132,52,1223362
"Sandra Bullock",22,18,1218200
"Sridevi",38,30,1208830
"XXXTentacion",6,6,1192044
"BRICS",179,63,1189889
"2023–24 UEFA Champions League",129,65,1180868
"Greta Gerwig",84,41,1170637
"List of Hindi films of 2023",243,52,1169281
"Chelsea F.C.",84,37,1159512
"Talk to Me (2022 film)",153,79,1146149
"Harry Kane",209,62,1134916
"Gal Gadot",69,56,1133426
"The Last Voyage of the Demeter",191,86,1132650
"Elemental (2023 film)",169,40,1126861
"Jake Paul",47,28,1112217
"Michael Oher",40,26,1106707
"Gran Turismo (film)",326,118,1090718
"Only Murders in the Building",285,56,1090262
"Spider-Man: Across the Spider-Verse",267,138,1084235
"All In (2023)",821,220,1058246
"Atomic bombings of Hiroshima and Nagasaki",35,21,1050507
"R Praggnanandhaa",86,44,1041150
"The Bear (TV series)",36,21,1037054
"Wagner Group",139,54,1022911
"The Flash (film)",93,47,1019723
"Utkarsh Sharma",22,15,1019487
"Chess World Cup 2023",685,125,1017269
"List of highest-grossing Indian films",170,20,1010826
"Christopher Nolan",21,14,1009918
"Nicholas Galitzine",?,?,1006123
"Albert Einstein",?,?,1005862
"Red, White & Royal Blue (film)",?,?,999038
"Sean O'Malley (fighter)",?,?,995879
"List of highest-grossing films",?,?,992024
"Baldur's Gate 3",?,?,988491
"Gadar: Ek Prem Katha",?,?,966327
"Katherine Oppenheimer",?,?,962132
"Manchester United F.C.",?,?,938986
"Jailer (2023 Tamil film)",?,?,928321
"Jawan (film)",?,?,920190
"Teenage Mutant Ninja Turtles: Mutant Mayhem",?,?,908436
"XXX",?,?,907824
"Google",?,?,901722
"The Meg",?,?,900030
"Gadsden flag",?,?,898099
"Taylor Zakhar Perez",?,?,896421
"Al Hilal SFC",?,?,894855
"The Summer I Turned Pretty (TV series)",?,?,891135
"Sunny Deol",?,?,881456
"Algebraic notation (chess)",?,?,880946
"The Eras Tour",?,?,878233
"Johnny Depp",?,?,877220
"Joe Biden",?,?,876309
"Tom Cruise",?,?,874008
"Robbie Robertson",?,?,871499
"Jean Tatlock",?,?,867978
"S. Somanath",?,?,864325
"Eva Mendes",?,?,863705
"WhatsApp",?,?,863217
"Rajinikanth",?,?,858404
"UFC 292",?,?,853454
"Selena Gomez",?,?,851145
"Niger",?,?,850352
"Adam Sandler",?,?,846840
"George Foreman",?,?,840358
"Rachel Zegler",?,?,839956
"Flipkart",?,?,824568
"Moisés Caicedo",?,?,824360
"Purdue Pharma",?,?,824199
"FC Barcelona",?,?,823395
"Russian invasion of Ukraine",?,?,819802
"The Super Mario Bros. Movie",?,?,817618
"The Little Mermaid (2023 film)",?,?,805514
"Mount Takahe",?,?,805478
"Jann Mardenborough",?,?,804648
"Manchester City F.C.",?,?,803865
"Mike Tyson",?,?,800724
"Amber Heard",?,?,797199
"2023 Hawaii wildfires",?,?,792739
"Florence Pugh",?,?,791773
"World War II",?,?,791253
"Jennifer Hermoso",?,?,785064
"Ray Stevenson",?,?,784222
"United Kingdom",?,?,783065
"Moving (South Korean TV series)",?,?,781448
"Barbie",?,?,776834
"The Witcher (TV series)",?,?,776644
"Elvis Presley",?,?,775277
"Twisted Metal (TV series)",?,?,769352
"Tommy Fury",?,?,768781
"Mark Margolis",?,?,768573
"Sackler family",?,?,763164
"Sarina Wiegman",?,?,761854
"List of Indian films of 2023",?,?,761499
"Nikki Haley",?,?,760474
"Painkiller (TV series)",?,?,759643
"Jennifer Lawrence",?,?,754126
"Jeremy Allen White",?,?,753214
"Arnold Schwarzenegger",?,?,753058
"Haunted Mansion (2023 film)",?,?,752961
"Michael Jackson",?,?,752468
"Omegle",?,?,747761
"Lil Tay",?,?,741497
"Ruth Handler",?,?,740388
"Tim Tebow",?,?,739971
"2023 Leagues Cup",?,?,739186
"Mission: Impossible (film series)",?,?,735507
"Leagues Cup",?,?,735395
"Andrew Tate",?,?,732517
"UEFA Champions League",?,?,731676
"The Lincoln Lawyer (TV series)",?,?,729483
"Megan Rapinoe",?,?,729464
