Page,Edits,Editors,Views,Date
Charles III,355,92,3042684,May 2023
Ke Huy Quan,252,134,3032282,March 2023
95th Academy Awards,460,160,3031940,March 2023
List of highest-grossing films,157,26,3020371,January 2023
Hamish Harding,406,192,3013121,June 2023
The Equalizer 3,271,97,3008468,September 2023
Patrick Mahomes,162,60,2985373,February 2023
Christopher Nolan,72,39,2982327,July 2023
XXX (film series),0,0,2960496,July 2023
Jawan (film),79,18,2940365,October 2023
ChatGPT,93,51,2926034,July 2023
Instagram,7,6,2925683,August 2023
XXX: Return of Xander Cage,2,1,2901193,March 2023
WrestleMania 39,475,75,2889962,April 2023
XXXX (beer),16,13,2874878,September 2023
Jerry Springer,322,137,2845204,April 2023
Taylor Swift,130,42,2840895,September 2023
October 2023 Gaza−Israel conflict,2,2,2833688,October 2023
Index (economics),5,5,2823893,January 2023
YouTube,34,24,2804507,February 2023
West Bank,23,19,2765504,October 2023
Suzanne Somers,303,155,2757376,October 2023
The Little Mermaid (2023 film),468,110,2756142,May 2023
XXX (film series),0,0,2755097,June 2023
Travis Kelce,101,39,2746269,October 2023
Edgar Allan Poe,17,9,2739459,January 2023
Mission: Impossible (film series),159,54,2728403,July 2023
Greta Gerwig,87,57,2667193,July 2023
2023 Turkey–Syria earthquake,2,1,2652883,February 2023
XNXX,2,2,2652607,May 2023
Sex,23,7,2648415,July 2023
Varisu,596,103,2648035,January 2023
Beef (TV series),210,114,2645245,April 2023
List of American films of 2023,327,69,2639405,April 2023
M3GAN,930,333,2637958,January 2023
OMG 2,364,124,2625980,August 2023
Sex,1,1,2615876,May 2023
YouTube,24,17,2603870,January 2023
Jenna Ortega,188,45,2587896,January 2023
2023 FIFA Women's World Cup,474,189,2584035,July 2023
XXX: Return of Xander Cage,2,2,2582026,June 2023
Premier League,95,45,2568659,May 2023
The Whale (2022 film),198,99,2553836,March 2023
Lionel Messi,170,52,2539760,June 2023
List of highest-grossing Indian films,186,29,2534289,September 2023
Creed III,396,193,2531094,March 2023
Paul Reubens,187,87,2530854,August 2023
Five Nights at Freddy's (film),673,169,2520140,October 2023
Jamie Lee Curtis,72,36,2507053,March 2023
Pamela Anderson,67,31,2503053,February 2023
India at the 2022 Asian Games,2052,210,2502526,October 2023
Denial-of-service attack,2,2,2496899,September 2023
Succession (TV series),212,73,2464240,May 2023
Nikola Jokić,196,56,2459279,June 2023
Facebook,22,13,2452552,August 2023
Jeff Beck,189,83,2447745,January 2023
Inter Miami CF,158,89,2440573,August 2023
Murdaugh family,407,130,2437702,March 2023
Blue Beetle (film),494,217,2419679,August 2023
Sex,21,14,2419398,October 2023
List of highest-grossing Indian films,233,31,2416942,February 2023
Ted Kaczynski,298,115,2406145,June 2023
Sex,5,3,2402741,September 2023
Elizabeth II,19,10,2396240,May 2023
One Piece (2023 TV series),330,127,2389026,September 2023
2022 Asian Games,123,37,2388874,October 2023
Kiara Advani,62,23,2383820,February 2023
Cristiano Ronaldo,62,29,2383440,January 2023
India national cricket team,194,69,2374586,October 2023
The Equalizer 3,98,44,2371936,October 2023
Huw Edwards,312,122,2367855,July 2023
XXXX (beer),24,22,2367200,August 2023
Bella Ramsey,43,25,2358913,February 2023
The Fall of the House of Usher,20,15,2357569,October 2023
Transformers: Rise of the Beasts,277,84,2355020,June 2023
The Last of Us,19,10,2338016,February 2023
Lewis Strauss,71,43,2325259,July 2023
Sex,4,4,2316315,August 2023
Pakistan Super League,147,83,2313056,March 2023
Robert F. Kennedy Jr.,168,72,2310559,June 2023
Yevgeny Prigozhin,390,161,2273016,August 2023
Taylor Swift,133,33,2270302,July 2023
Oppenheimer (film),587,225,2269042,September 2023
John Wick: Chapter 4,364,153,2256720,April 2023
Ken Block,210,111,2252703,January 2023
Queen Victoria,16,12,2247162,May 2023
Steve Harwell,265,145,2244366,September 2023
Palestinian territories,21,14,2222456,October 2023
Evil Dead Rise,240,69,2216008,April 2023
Jeremy Renner,95,41,2199853,January 2023
Jailer (2023 Tamil film),88,24,2198693,September 2023
Victoria Beckham,5,5,2195108,October 2023
The White Lotus,72,38,2193009,January 2023
