Page,Edits,Editors,Views
"Elliot Page",462,173,5021722
"Elizabeth II",28,16,3949632
"Deaths in 2020",2685,231,3744117
"Wonder Woman 1984",1030,370,3721016
"Bible",12,5,3592865
"Princess Margaret, Countess of Snowdon",46,26,3494611
"The Queen's Gambit (miniseries)",328,107,3493900
"The Mandalorian",218,83,3447836
"Cyberpunk 2077",547,180,3336628
"Donald Trump",325,72,3046898
"Cleopatra",12,7,2861855
"Selena",32,18,2581252
"Tenet (film)",236,92,2449205
"Prince Philip, Duke of Edinburgh",21,16,2403228
"XXXX",2,2,2384593
"Diana, Princess of Wales",81,20,2363021
"Margaret Thatcher",53,15,2314540
"Charles, Prince of Wales",0,0,2293857
"2020 United States presidential election",610,167,2195321
"Anya Taylor-Joy",47,32,2181258
"Soul (2020 film)",516,206,2156960
"Bridgerton",200,87,2104981
"Peter Sutcliffe",131,84,2053197
"Microsoft Office",4,4,2044511
"The Midnight Sky",247,94,1895990
"Gal Gadot",107,24,1756128
"Richard Jewell",41,33,1748745
"Mirza Masroor Ahmad",88,41,1748256
"YouTube",34,24,1681205
"George VI",34,25,1679098
"The Mandalorian (season 2)",260,97,1660809
"Eric Rudolph",66,36,1648353
"Elon Musk",70,25,1600803
"Anne, Princess Royal",27,16,1517423
"Pedro Pascal",102,61,1499630
"Edward VIII",49,29,1478172
"Google",36,20,1442674
"Joe Biden",117,55,1423615
"Macaulay Culkin",104,63,1416891
"Winston Churchill",26,15,1370623
"Ma Rainey",56,44,1363779
"The Crown (TV series)",77,37,1345388
"Emma Portner",107,58,1324227
"Harshad Mehta",38,24,1314918
"Tom Lister Jr.",1,1,1312183
"Dolly Parton",45,31,1290050
"Dua Lipa",55,30,1284288
"Timothée Chalamet",22,13,1269478
"The Undoing (miniseries)",1,1,1257458
"Brodie Lee",321,133,1245439
"F5 Networks",0,0,1244639
"COVID-19 pandemic",222,90,1234737
"Zodiac Killer",83,28,1221899
"Regé-Jean Page",35,22,1211915
"Sikkim",81,57,1195030
"Louis Mountbatten, 1st Earl Mountbatten of Burma",40,21,1193284
"Zooey Deschanel",14,11,1183575
"Camilla, Duchess of Cornwall",0,0,1178434
"Ellen Page",2,2,1176332
"Ariana Grande",102,27,1170489
"Home Alone",179,80,1167121
"European Union",46,29,1164667
"Kelly Loeffler",89,37,1157346
"Narendra Modi",78,33,1131621
"United States",120,46,1112288
"Alice in Borderland",48,18,1103821
"Wikipedia",47,32,1081237
"The Twelve Days of Christmas (song)",68,39,1073646
"Queen Victoria",25,15,1071002
"Hanukkah",74,21,1067271
"True Beauty (South Korean TV series)",272,67,1065433
"Cristiano Ronaldo",110,31,1060875
"Ted Kaczynski",87,44,1054903
"Taylor Swift",127,48,1052256
"Keanu Reeves",30,18,1049114
"COVID-19 pandemic by country and territory",54,32,1041270
"Boxing Day",114,75,1037444
"Sweet Home (TV series)",159,44,1033910
"Mariah Carey",42,29,1014630
"Christmas",90,36,1013096
"Robert F. Kennedy Jr",0,0,1005518
"Virgin River (TV series)",31,12,1001301
"Antony Armstrong-Jones, 1st Earl of Snowdon",13,9,998832
"Jon Favreau",51,37,995560
"Gina Carano",25,14,990143
"Barbara Windsor",385,145,989485
"Prince Andrew, Duke of York",22,10,988423
"Prince Edward, Earl of Wessex",0,0,979163
"It's a Wonderful Life",62,48,978883
"Kristen Wiig",34,23,972273
"Dan Levy (Canadian actor)",11,9,968667
"TLC: Tables, Ladders & Chairs (2020)",515,128,964344
"The Pirate Bay",8,6,959679
"Billie Eilish",108,33,949514
"Jeff Bezos",21,19,947856
"Kurt Russell",9,8,935560
"George Clooney",27,12,931120
"Santa Claus",66,22,928723
"Diego Maradona",296,119,924564
"Microsoft Windows",3,3,922565
"Wonder Woman (2017 film)",?,?,921943
"Jake Paul",?,?,915678
"XXX (2002 film)",?,?,913091
"Kwanzaa",?,?,912464
"Android (operating system)",?,?,899210
"Mitch McConnell",?,?,895029
"Evermore (Taylor Swift album)",?,?,887054
"Attack on Titan (season 4)",?,?,882066
"Love Actually",?,?,880725
"Canelo Álvarez",?,?,876261
"List of presidents of the United States",?,?,874842
"CEO",?,?,871800
"YouTube Music",?,?,871665
"MacOS",?,?,870805
"Logan Paul",?,?,869417
"Kamala Harris",?,?,868480
"Pfizer",?,?,868451
"Bee Gees",?,?,867857
"Yolanda Saldívar",?,?,864118
"His Dark Materials (TV series)",?,?,860524
"Schitt's Creek",?,?,858982
"The Flight Attendant (miniseries)",?,?,858631
"JavaScript",?,?,856929
"Nicole Kidman",?,?,855528
"Kevin Greene (American football)",?,?,847651
"Ahmadiyya Caliphate",?,?,844495
"John Lennon",?,?,841030
"Chuck Yeager",?,?,838360
"Chadwick Boseman",?,?,836270
"YouTube Premium",?,?,836129
"Attack on Titan",?,?,833422
"Judy Garland",?,?,831207
"Bing Crosby",?,?,830434
"United Kingdom",?,?,829106
"Mulan (2020 film)",?,?,819207
"List of James Bond films",?,?,813480
"James Stewart",?,?,804760
"Goldie Hawn",?,?,804259
"Thomas Brodie-Sangster",?,?,802055
"Barack Obama",?,?,798494
"George Michael",?,?,796712
"India",?,?,796365
"A.B. Quintanilla",?,?,794060
"Are You the One?",?,?,794024
"UFC 256",?,?,792502
"Jill Biden",?,?,791976
"Tom Cruise",?,?,786825
"George V",?,?,784657
"List of Marvel Cinematic Universe films",?,?,780855
"Christopher Nolan",?,?,779833
"Charley Pride",?,?,778432
"Susan Wojcicki",?,?,778338
"Scarlett Johansson",?,?,770120
"IOS",?,?,763874
"Netflix",?,?,761384
"National Lampoon's Christmas Vacation",?,?,759562
"Michael Jackson",?,?,759487
"Dawn Wells",?,?,757979
"Paava Kadhaigal",?,?,754096
"Grogu",?,?,751290
"Mank",?,?,751273
"Chris Pérez",?,?,750215
"Anthony Joshua",?,?,749339
"Bobby Fischer",?,?,748441
"The Prom (film)",?,?,748126
"2016 United States presidential election",?,?,745348
"A Christmas Story",?,?,743511
"Bigg Boss (Tamil season 4)",?,?,742053
"Bigg Boss (Hindi season 14)",?,?,741895
"Monster Hunter (film)",?,?,739565
"Shia LaBeouf",?,?,735591
"Catherine O'Hara",?,?,730689
"Barry Gibb",?,?,730445
"Google Translate",?,?,730088
"Time Person of the Year",?,?,729861
"2021 PDC World Darts Championship",?,?,726389
"Paul McCartney",?,?,722350
"Elf (film)",?,?,722230
"The Masked Singer (American season 4)",?,?,721065
"Among Us",?,?,721028
"Queen's Gambit",?,?,720867
"Amazon (company)",?,?,719730
"Coronavirus disease 2019",?,?,717011
"Facebook",?,?,715121
"Vera-Ellen",?,?,714684
"Big Mouth (TV series)",?,?,714507
"Harry Potter (film series)",?,?,712601
"Queen Elizabeth The Queen Mother",?,?,711925
"Boba Fett",?,?,711855
"Coca-Cola",?,?,707186
"Floyd Mayweather Jr.",?,?,706488
"Johnny Depp",?,?,703583
"Mary, Queen of Scots",?,?,701996
"Ava (2020 film)",?,?,699798
"Hugh Grant",?,?,699346
"Peaky Blinders (TV series)",?,?,697645
"Kelly Preston",?,?,694893
"Alec Baldwin",?,?,692764
"Star Wars",?,?,691818
"Ma Rainey's Black Bottom (film)",?,?,691130
"Freddie Mercury",?,?,691112
"Promising Young Woman",?,?,689557
"MF Doom",?,?,689218
"Alan Rickman",?,?,687750
"LeBron James",?,?,686109
"Kaley Cuoco",?,?,684411
"W. Arthur Lewis",?,?,683987
"The Penthouse: War in Life",?,?,681459
"Anthony Eden",?,?,680638
"Lionel Messi",?,?,680235
"Prince William, Duke of Cambridge",?,?,680209
"World War II",?,?,674849
"BTS",?,?,673660
"Princess Alice of Battenberg",?,?,670846
"Phoebe Dynevor",?,?,669053
"Adolf Hitler",?,?,667891
"Stella Tennant",?,?,663464
"Spanish flu",?,?,661864
"Maxwell Lord",?,?,660714
"Michael Fagan (intruder)",?,?,658040
"Juice Wrld",?,?,656470
"Hilaria Baldwin",?,?,650422
"Start-Up (South Korean TV series)",?,?,649359
"2020 Formula One World Championship",?,?,648198
"CD Projekt",?,?,647545
"John F. Kennedy",?,?,647320
"Tiny Pretty Things",?,?,646467
"Lloyd Austin",?,?,646457
"XXX: Return of Xander Cage",?,?,642023
"Video hosting service",?,?,641896
"Eminem",?,?,641475
"COVID-19 vaccine",?,?,638609
"Elvis Presley",?,?,635413
"Die Hard",?,?,631788
"Krampus",?,?,631671
"John Candy",?,?,630807
"Google Classroom",?,?,630168
"Martin Henderson",?,?,626272
"Instagram",?,?,624881
"Leonardo DiCaprio",?,?,624729
"The Christmas Chronicles",?,?,624124
"SB19",?,?,621632
"Periodic table",?,?,621123
"Helena Bonham Carter",?,?,620319
"Happiest Season",?,?,618525
"Rosemary Clooney",?,?,617735
"The Queen's Gambit (novel)",?,?,615401
"Mike Tyson",?,?,615361
"Patrick Mahomes",?,?,615240
"XXX",?,?,615069
"Great conjunction",?,?,613802
"Clint Eastwood",?,?,613554
"Untitled Spider-Man: Far From Home sequel",?,?,611869
"List of footballers with 500 or more goals",?,?,610897
"New York City",?,?,609930
"Tyson Fury",?,?,609444
"Fatman (film)",?,?,608760
"QAnon",?,?,608537
"Emma Chambers",?,?,606050
"Boris Johnson",?,?,605843
"Catherine of Aragon",?,?,604863
"Miley Cyrus",?,?,604215
"Cheetah (character)",?,?,602779
"Kristen Stewart",?,?,602194
"Maurice Gibb",?,?,600264
"The Expanse (TV series)",?,?,600235
"BBC World Service",?,?,598634
"Edward Snowden",?,?,597072
"Dominique Strauss-Kahn",?,?,596215
"V. J. Chitra",?,?,594083
"Santa Claus's reindeer",?,?,592410
"Kobe Bryant",?,?,591711
"The Undoing",?,?,590614
"Lewis Hamilton",?,?,590550
"Kubrat Pulev",?,?,588692
"Centennial Olympic Park bombing",?,?,587518
"Wallis Simpson",?,?,582957
"Arnold Schwarzenegger",?,?,582099
"Freaky (film)",?,?,581933
