Page,Edits,Editors,Views
"Michael Jordan",61,25,7365855
"Elon Musk",341,90,6793869
"Bible",9,8,5535083
"COVID-19 pandemic",1211,260,4708916
"Death of George Floyd",0,0,4678746
"Tasuku Honjo",16,11,4248498
"Deaths in 2020",2626,246,3971021
"Grimes (musician)",0,0,3390281
"Antifa (United States)",107,37,2991960
"Judy Mikovits",454,112,2845479
"Little Richard",484,180,2717095
"Scottie Pippen",39,16,2598558
"Catherine the Great",41,27,2563438
"Dennis Rodman",29,18,2504573
"Jeffrey Epstein",24,16,2134329
"Third-degree murder",21,18,2131176
"Rock Hudson",34,28,2122463
"Waco siege",64,49,2056650
"List of NBA champions",13,11,2013982
"2019–20 coronavirus pandemic",3,3,2006587
"Fred Willard",267,120,1979242
"Spanish flu",78,41,1885406
"6ix9ine",154,41,1858079
"Jerry Stiller",338,168,1814348
"Kayleigh McEnany",378,128,1791742
"Money Heist",65,36,1785525
"Diriliş: Ertuğrul",243,88,1739599
"Phil Jackson",42,26,1713394
"COVID-19 pandemic in India",367,62,1665971
"Hollywood (miniseries)",171,57,1656880
"UFC 249",175,78,1650776
"Dominic Cummings",377,132,1632905
"Extraction (2020 film)",185,99,1629476
"Donald Trump",261,53,1627956
"List of Marvel Cinematic Universe films",30,9,1623155
"COVID-19 pandemic by country and territory",202,80,1606400
"F5 Networks",0,0,1577543
"Ozark (TV series)",31,19,1538657
"Steve Kerr",13,11,1522958
"Coronavirus disease 2019",0,0,1499497
"United States",170,66,1495214
"Anthony Fauci",42,30,1474057
"Dead to Me (TV series)",143,51,1453900
"Anderson Cooper",24,21,1452914
"COVID-19 pandemic in the United States",620,172,1442057
"Normal People (TV series)",0,0,1408026
"Doja Cat",199,61,1397023
"YouTube",28,18,1395573
"Ertuğrul",106,41,1353848
"Asian giant hornet",218,106,1348622
"XXXX",0,0,1317557
"Chicago Bulls",28,21,1278531
"Coronavirus",49,18,1267554
"Mike Tyson",31,17,1263468
"David Koresh",24,14,1262236
"Never Have I Ever (TV series)",225,77,1258297
"Elizabeth II",37,17,1237101
"Rishi Kapoor",87,32,1233716
"Talulah Riley",10,8,1215698
"LeBron James",14,9,1198074
"Facebook",31,16,1194609
"The Last Kingdom (TV series)",50,29,1179607
"Shad Gaspard",244,103,1174246
"Kobe Bryant",27,16,1173945
"Microsoft Office",6,2,1149616
"Barack Obama",59,33,1149212
"Justice League Dark: Apokolips War",352,128,1139724
"Victory in Europe Day",87,40,1136581
"The World of the Married",173,46,1129184
"Jerry Krause",116,50,1126913
"Justine Musk",23,15,1096723
"Ben Stiller",11,11,1093268
"RuPaul's Drag Race (season 12)",223,56,1086875
"Irrfan Khan",122,78,1086735
"Paatal Lok",169,73,1079652
"Israel Kamakawiwoʻole",129,84,1073737
"The King: Eternal Monarch",368,138,1068935
"India",22,14,1068335
"Siegfried & Roy",414,122,1067733
"Jeff Bezos",24,20,1064458
"Kim Jong-un",0,0,1060395
"Money in the Bank (2020)",517,129,1058944
"Candy Ken",60,41,1054357
"COVID-19 pandemic in Punjab, India",888,115,1041580
"Mother's Day",31,18,1036957
"SpaceX",126,78,1021101
"TikTok",99,33,1018250
"The Last Dance (TV series)",0,0,1013727
"Christina Applegate",23,13,1013702
"World War II",35,25,1007135
"QAnon",78,32,994289
"Remdesivir",269,91,989182
"Magic Johnson",12,9,983447
"Upload (TV series)",136,64,978404
"Dwayne Johnson",19,14,976914
"Normal People",10,7,974419
"Snowpiercer",23,17,968906
"Linda Cardellini",22,15,967249
"BBC World Service",1,1,963076
"Shaquille O'Neal",23,17,961808
"International Space Station",?,?,960277
"Sex",?,?,959227
"Karl Malone",?,?,958436
"Al Capone",?,?,956973
"Avatar: The Last Airbender",?,?,954960
"Justin Gaethje",?,?,940713
"Joe Exotic",?,?,937426
"Winston Churchill",?,?,928099
"The World's Billionaires",?,?,919865
"Jacob Frey",?,?,917830
"Boris Johnson",?,?,915993
"List of Money Heist episodes",?,?,910784
"Outer Banks (TV series)",?,?,909414
"Lauren Lapkus",?,?,906453
"The Half of It",?,?,895481
"Mahabharat (2013 TV series)",?,?,892149
"Daisy Edgar-Jones",?,?,883621
"Ghislaine Maxwell",?,?,881131
"Yvette Prieto",?,?,877240
"Peter III of Russia",?,?,871861
"Joe Biden",?,?,869721
"Space Force (TV series)",?,?,861512
"Andrew Cuomo",?,?,860943
"Once Upon a Time in Hollywood",?,?,860909
"United Kingdom",?,?,860497
"Bill Gates",?,?,855670
"Parasite (2019 film)",?,?,853642
"Adolf Hitler",?,?,850752
"Uncut Gems",?,?,844773
"Chris Hemsworth",?,?,843812
"List of presidents of the United States",?,?,842123
"Anne Meara",?,?,834784
"The Pirate Bay",?,?,834490
"Community (TV series)",?,?,830231
"Killing Eve",?,?,829327
"Ravi Zacharias",?,?,816644
"Scoob!",?,?,816592
"Alfred the Great",?,?,814748
"James R. Jordan Sr.",?,?,808599
"Cyntoia Brown",?,?,805981
"Elton John",?,?,803209
"Joker (2019 film)",?,?,802363
"Periodic table",?,?,796556
"2020 coronavirus pandemic in India",?,?,795818
"Larry Bird",?,?,792831
"Timothée Chalamet",?,?,789975
"Defending Jacob (miniseries)",?,?,789008
"Hana Kimura",?,?,786800
"Brittany Murphy",?,?,784001
"Toni Kukoč",?,?,783006
"Pirates of the Caribbean (film series)",?,?,780535
"The Great (miniseries)",?,?,780088
"The Masked Singer (American season 3)",?,?,778290
"Leonardo DiCaprio",?,?,777350
"The Mandalorian",?,?,775793
"Too Hot to Handle (TV series)",?,?,775274
"Clint Eastwood",?,?,774161
"Kapoor family",?,?,773087
"Star Wars: The Rise of Skywalker",?,?,769057
"World War I",?,?,768052
"1992 Los Angeles riots",?,?,766994
"Cinco de Mayo",?,?,754792
"Scarlett Johansson",?,?,750740
"Into the Night (TV series)",?,?,749476
"Ajey Nagar",?,?,748741
"List of most-viewed YouTube videos",?,?,747135
"Natalie Wood",?,?,746555
"Tenet (film)",?,?,746098
"Westworld (TV series)",?,?,745524
"Anonymous (group)",?,?,745218
"George Floyd",?,?,744455
"DC Animated Movie Universe",?,?,743758
"Murder (United States law)",?,?,743391
"Cristiano Ronaldo",?,?,740784
"Lorenzo de' Medici",?,?,737615
"Ulysses S. Grant",?,?,735055
"Freddie Mercury",?,?,733181
"Darren Barnet",?,?,733144
"Lynn Shelton",?,?,731016
"List of Star Wars films",?,?,728016
"China",?,?,727734
"Maitreyi Ramakrishnan",?,?,727530
"Tom Cruise",?,?,727119
"Survivor: Winners at War",?,?,726250
"List of states and territories of the United States",?,?,724418
"Billie Eilish",?,?,723633
"Carmen Electra",?,?,723267
"Chromatica",?,?,723208
"Star Wars",?,?,720030
"Jesse McCartney",?,?,719119
"Paul Mescal",?,?,717692
"Peaky Blinders (TV series)",?,?,717515
"World Health Organization",?,?,716741
"Little Fires Everywhere (miniseries)",?,?,715136
"Jennifer Aniston",?,?,713222
"COVID-19 pandemic in the United Kingdom",?,?,711300
"White Lines (TV series)",?,?,710948
"Death of Eric Garner",?,?,707126
"Hong Kong",?,?,701599
"Mahabharat (1988 TV series)",?,?,698966
"Jeffrey Dahmer",?,?,697160
"Pablo Escobar",?,?,696567
"Avengers: Endgame",?,?,693902
"Chris Evans (actor)",?,?,693620
"Carole Baskin",?,?,692592
"Taiwan",?,?,687288
"Keanu Reeves",?,?,685939
"George VI",?,?,685928
"Franklin D. Roosevelt",?,?,685099
"List of United States cities by population",?,?,684361
"Shooting of Ahmaud Arbery",?,?,683900
"Brad Pitt",?,?,682030
"Sweet Magnolias",?,?,669340
"List of James Bond films",?,?,667290
"Queen Victoria",?,?,665546
"Michael Jackson",?,?,664579
"Ariana Grande",?,?,664158
"Henry Willson",?,?,662262
"123Movies",?,?,661427
"Lady Gaga",?,?,661402
"Snowpiercer (TV series)",?,?,659989
"Mary-Kate Olsen",?,?,659942
"Gigi Hadid",?,?,657266
"Rodney King",?,?,655056
"Rick and Morty",?,?,654681
"Johnny Depp",?,?,653115
"Sharon Tate",?,?,653003
"Sam Lloyd",?,?,651860
"Schitt's Creek",?,?,650556
"Keir Starmer",?,?,649588
"Joaquin Phoenix",?,?,648783
"Kylie Jenner",?,?,648705
"2020 coronavirus pandemic in the United States",?,?,645381
"The Wrong Missy",?,?,645291
"Hafþór Júlíus Björnsson",?,?,644376
"John Dillinger",?,?,643660
"Muhammad Ali",?,?,643129
"Megan Fox",?,?,641804
"1992 United States men's Olympic basketball team",?,?,641534
"United States Space Force",?,?,640765
"Charles Barkley",?,?,640580
