Page,Edits,Editors,Views
"Kobe Bryant",637,289,22493838
"Media",3,3,8441817
"Coronavirus",371,196,8434753
"Aaron Hernandez",116,31,7341342
"Qasem Soleimani",1108,339,4614559
"Kobe Bryant sexual assault case",41,26,3809986
"1917 (2019 film)",532,229,3801519
"The Witcher (TV series)",222,85,3268284
"2019–20 Wuhan coronavirus outbreak",0,0,3223096
"Billie Eilish",163,71,3202987
"Under arms",0,0,3195082
"Deaths in 2020",2185,209,3140627
"Royal Rumble (2020)",844,184,3116706
"Parasite (2019 film)",293,151,2657439
"Elizabeth II",36,16,2472232
"Luka Magnotta",0,0,2435134
"Tanhaji",383,99,2347655
"Star Wars: The Rise of Skywalker",387,124,2337780
"Crisis on Infinite Earths (Arrowverse)",417,115,2217863
"Joker (2019 film)",144,74,2171613
"Muhammad",9,5,2143151
"Meghan, Duchess of Sussex",167,43,2119973
"Wikipedia",33,16,2115907
"You (TV series)",111,61,2109708
"Joaquin Phoenix",49,28,1935956
"Dracula (2020 TV series)",218,86,1881288
"Once Upon a Time in Hollywood",132,51,1878337
"Iran",73,30,1819727
"Sex Education (TV series)",276,102,1812738
"Adam Driver",49,31,1806062
"BBC World Service",4,2,1800722
"Patrick Mahomes",44,21,1791815
"Brooklyn",17,14,1748817
"You (season 2)",53,33,1706392
"List of Super Bowl champions",66,17,1681902
"Bad Boys for Life",364,172,1676205
"Conor McGregor",115,30,1661214
"The Mandalorian",153,73,1645762
"Donald Trump",239,54,1638210
"Princess Margaret, Countess of Snowdon",17,13,1633000
"World War III",65,33,1590946
"Kepler's Supernova",0,0,1583645
"Messiah (American TV series)",121,63,1542758
"Murder of Odin Lloyd",48,42,1539912
"Jimmy Hoffa",74,33,1522915
"The Irishman",160,57,1509760
"Sikorsky S-76",81,52,1486428
"Neil Peart",341,175,1481835
"Charles, Prince of Wales",0,0,1470026
"Martin Luther King Jr.",44,20,1463412
"Ken Miles",43,31,1450091
"The Witcher",54,37,1448820
"92nd Academy Awards",623,238,1435179
"Prince Harry, Duke of Sussex",256,94,1423266
"Joe Bryant",72,48,1412997
"Prince Philip, Duke of Edinburgh",37,25,1411100
"XXXX",0,0,1407315
"Little Women (2019 film)",248,80,1405835
"Donald Cerrone",116,71,1387249
"White House Farm murders",75,26,1386289
"Chhapaak",362,119,1384909
"United States",131,51,1384820
"Laxmi Agarwal",215,106,1376372
"Taal Volcano",271,125,1374478
"Death of Kobe Bryant",7,6,1358262
"Novel coronavirus (2019-nCoV)",2,2,1357859
"Henry Cavill",47,30,1353786
"Severe acute respiratory syndrome",0,0,1299623
"Knives Out (film)",0,0,1284042
"Apple Network Server",1,1,1276460
"Anya Chalotra",40,29,1272795
"Elon Musk",67,33,1247070
"Tom Hanks",20,14,1236968
"Bushfires in Australia",692,230,1231506
"2019–20 Australian bushfire season",1890,489,1215629
"Jojo Rabbit",192,93,1213966
"LeBron James",71,29,1206576
"Brad Pitt",49,20,1205851
"Awkwafina",99,59,1199577
"YouTube",39,18,1197476
"Periodic table",3,3,1193516
"Michael Jordan",21,10,1184074
"Christine Keeler",41,26,1181514
"Penn Badgley",62,45,1176712
"UFC 246",119,53,1165549
"Jeffrey Epstein",24,15,1159020
"Judy Garland",60,31,1154462
"World War I",38,18,1139878
"Sharon Tate",12,10,1130907
"Morbius, the Living Vampire",44,30,1114227
"Doordarshan",16,14,1108124
"Edward VIII",39,23,1103722
"Ala Vaikunthapurramuloo",750,298,1089975
"Dolittle (film)",385,170,1086074
"Tanaji Malusare",38,18,1071607
"Derrick Henry",151,88,1071273
