Page,Edits,Editors,Views
"YouTube",24,19,7716744
"ChatGPT",284,95,6916888
"Cleopatra",21,15,5063272
"Everything Everywhere All at Once",482,211,5061529
"The Last of Us (TV series)",267,86,4811343
"Deaths in 2023",1975,187,4124371
"Lance Reddick",255,156,3937033
"John Wick: Chapter 4",430,186,3885623
"Brendan Fraser",215,137,3513117
"XXX (film series)",7,4,3408197
"Michelle Yeoh",371,176,3263208
"Pedro Pascal",57,24,3163767
"Malaysia Airlines Flight 370",161,102,3142015
"Ke Huy Quan",252,134,3032282
"95th Academy Awards",460,160,3031940
"XXX: Return of Xander Cage",2,1,2901193
"The Whale (2022 film)",198,99,2553836
"Creed III",396,193,2531094
"Jamie Lee Curtis",72,36,2507053
"Murdaugh family",407,130,2437702
"Pakistan Super League",147,83,2313056
"Bella Ramsey",73,48,2136412
"Pathaan (film)",210,66,2081237
"Shazam! Fury of the Gods",545,236,2069524
"Daisy Jones & The Six",0,0,2041791
"Saint Patrick's Day",174,112,1991218
"Instagram",9,9,1936893
"Scream VI",693,163,1894324
"Keanu Reeves",20,15,1864646
"Tu Jhoothi Main Makkaar",823,254,1852670
"Riley Keough",22,17,1851289
"Cristiano Ronaldo",80,24,1845784
"Cocaine Bear",166,52,1829177
"WrestleMania 39",686,146,1803371
"Website",1,1,1799628
"Jenna Ortega",88,46,1793937
"Kitty O'Neil",92,60,1719583
"Jon Jones",66,38,1719395
"Tom Sizemore",181,79,1714480
"World Baseball Classic",579,113,1703608
"The Last of Us",12,8,1686831
"XXXTentacion",12,7,1640043
"United States",231,40,1621072
"Silicon Valley Bank",620,217,1571557
"Premier League",105,76,1565294
"The Mandalorian",86,50,1552496
"2023 World Baseball Classic",360,142,1524547
"Bruce Willis",23,13,1521875
"Satish Kaushik",124,65,1519336
"Regional Snowfall Index",0,0,1466792
"Elvis Presley",28,12,1462289
"Google",28,15,1460359
"Lionel Messi",129,37,1409457
"Women's Premier League (cricket)",177,53,1408215
"RRR (film)",0,0,1407986
"Chris Rock",27,19,1396588
"Jonathan Majors",130,83,1387719
"Ansel Adams",7,6,1378116
"Andrew Tate",39,22,1356486
"Avatar: The Way of Water",139,37,1346854
"Nowruz",59,31,1346273
"India",34,15,1338348
"Ant-Man and the Wasp: Quantumania",216,71,1319993
"Paul O'Grady",137,66,1314612
"Gwyneth Paltrow",71,45,1310076
"John Wick (film)",194,59,1299888
"Facebook",17,10,1293526
"Internet",3,3,1271148
"Boston Strangler",38,23,1270858
"The Mandalorian (season 3)",225,84,1261589
"Selena Gomez",51,16,1237691
"Sylvester Stallone",10,7,1220064
"Mario Molina",38,32,1211241
"Indian Premier League",110,38,1210399
"International Women's Day",385,81,1209906
"XXXX",0,0,1198985
"The Glory (TV series)",135,37,1188107
"Elon Musk",31,21,1174002
"Ramadan",16,10,1163595
"Swarm (TV series)",122,73,1159273
"Justin Bieber",34,17,1145323
"Taylor Swift",75,34,1137153
"Wikipedia",31,22,1136940
"Sarah Shahi",9,7,1133739
"Omegle",3,3,1130351
"Ja Morant",47,21,1126560
"2023 Covenant School shooting",0,0,1125430
"Waco siege",85,45,1115523
"All Quiet on the Western Front (2022 film)",115,68,1102773
"Erling Haaland",59,30,1089220
"Donald Trump",159,67,1084548
"Hailey Bieber",2,2,1071023
"2023 Indian Premier League",484,108,1070370
"List of American films of 2023",308,61,1070327
"Shadow and Bone (TV series)",59,29,1064002
"Sex",10,5,1049247
"Tom Cruise",17,9,1047280
"YouTube Music",3,3,1030906
"Microsoft 365",11,10,1030835
"Ted Lasso",183,60,1027513
"The Banshees of Inisherin",?,?,1022543
"Michael B. Jordan",?,?,1021543
"Email",?,?,1018913
"Scream (franchise)",?,?,1017341
"Neal Mohan",?,?,1016773
"Lisa Marie Presley",?,?,1014902
"You (TV series)",?,?,1005628
"YouTube Premium",?,?,1000765
"YouTube Kids",?,?,995375
"The Night Agent",?,?,979890
"OpenAI",?,?,976440
"Video hosting service",?,?,972880
"WhatsApp",?,?,965632
"You (season 4)",?,?,964992
"Jimmy Carter",?,?,949599
"Windows Server 2016",?,?,942531
"Google Translate",?,?,938725
"UEFA Champions League",?,?,937150
"John Wick: Chapter 3 – Parabellum",?,?,935416
"Academy Awards",?,?,933611
"Windows Server 2019",?,?,933091
"Luther: The Fallen Sun",?,?,928385
"65 (film)",?,?,928026
"Microsoft Exchange Server",?,?,926269
"Email client",?,?,924338
"Internet Explorer 11",?,?,922687
"Client access license",?,?,920423
"Succession (TV series)",?,?,919867
"Microsoft Office Mix",?,?,919361
"List of Microsoft 365 Applications",?,?,917486
"Holi",?,?,905083
"Tár",?,?,903036
"Ashley Johnson (actress)",?,?,892387
"Robert Blake (actor)",?,?,890907
"Elizabeth II",?,?,882824
"UFC 286",?,?,882561
"Daniels (directors)",?,?,881559
"Charles Bronson (prisoner)",?,?,878549
"Trial of Alex Murdaugh",?,?,876749
"Jean Todt",?,?,876530
"Niall Horan",?,?,875937
"United Kingdom",?,?,873610
"XXX: State of the Union",?,?,870702
"Miley Cyrus",?,?,869284
"Humza Yousaf",?,?,868762
"Alia Bhatt",?,?,858818
"UFC 285",?,?,853683
"Fall (2022 film)",?,?,849337
"Harrison Ford",?,?,838065
"World War I",?,?,832702
"Steven Spielberg",?,?,829410
"Suits index",?,?,823328
"Tony Curtis",?,?,817395
"World War II",?,?,807211
"Amanda Bynes",?,?,806406
"Sam Claflin",?,?,805071
"Shou Zi Chew",?,?,802318
"2023 Women's Premier League (cricket)",?,?,796698
"NCAA Division I men's basketball tournament",?,?,796007
"Austin Butler",?,?,794346
"Scream (2022 film)",?,?,793687
"Eurovision Song Contest 2023",?,?,792983
"Triangle of Sadness",?,?,791991
"Jennifer Lawrence",?,?,791922
"Michael Jordan",?,?,791693
"UEFA Euro 2024 qualifying",?,?,789519
"Michael Jackson",?,?,787862
"Ryan Reynolds",?,?,787621
"Yellowjackets (TV series)",?,?,782722
"Jared Fogle",?,?,782627
"Dwayne Johnson",?,?,779830
"List of highest-grossing Indian films",?,?,778360
"Neatsville, Kentucky",?,?,774283
"Ron DeSantis",?,?,773790
"Kabzaa (2023 film)",?,?,770198
"Adolf Hitler",?,?,769004
"Janet Leigh",?,?,761703
"Joe Biden",?,?,759764
"Brownie (folklore)",?,?,752594
"Lux Pascal",?,?,745256
"Charles III",?,?,743313
"Gigi Hadid",?,?,740868
"The Last of Us Part II",?,?,739517
"Adam Sandler",?,?,737441
"TikTok",?,?,736723
"Android (operating system)",?,?,733452
"Priscilla Presley",?,?,733061
"2023 NCAA Division I men's basketball tournament",?,?,733028
"Japan",?,?,732840
"Manchester United F.C.",?,?,725836
"Luther (TV series)",?,?,723157
"David Koresh",?,?,721810
"Reese Witherspoon",?,?,721054
"XXX (2002 film)",?,?,716647
"Harry Styles",?,?,714847
"Gary Lineker",?,?,714604
"Vladimir Putin",?,?,713357
"Gmail",?,?,713276
"Credit Suisse",?,?,712279
"Leonardo DiCaprio",?,?,709605
"Al Nassr FC",?,?,707241
"Stephanie Hsu",?,?,706576
"Russia",?,?,706409
"The Eras Tour",?,?,704361
"Saint Patrick",?,?,702836
"Demi Moore",?,?,698054
"Fairleigh Dickinson University",?,?,697852
"Ray Liotta",?,?,697491
"Maryland",?,?,695672
"List of highest-grossing films",?,?,691953
"Nicolas Cage",?,?,691777
"Raindrop cake",?,?,690672
"Emma Heming Willis",?,?,684381
"Idris Elba",?,?,683699
"List of Marvel Cinematic Universe films",?,?,680892
"Dungeons & Dragons: Honor Among Thieves",?,?,679630
"Vaathi",?,?,678400
"Adam Demos",?,?,676427
"Null",?,?,676198
"Rihanna",?,?,674893
"Microsoft Windows",?,?,674882
"China",?,?,673308
"The White Lotus",?,?,672198
"John Wick",?,?,671512
"New York City",?,?,670917
"Sex/Life",?,?,670874
"Meta Platforms",?,?,668420
"Ana de Armas",?,?,668282
"The Pirate Bay",?,?,666630
"Canada",?,?,663206
"LeBron James",?,?,662891
"XXXX (beer)",?,?,662424
"Lady Gaga",?,?,659470
"Hong Chau",?,?,658546
"Jake Gyllenhaal",?,?,658495
"2022 Russian invasion of Ukraine",?,?,654811
"Aubrey Plaza",?,?,654327
"RuPaul's Drag Race (season 15)",?,?,654325
"Pablo Escobar",?,?,652487
"Stevie Nicks",?,?,651690
"Australia",?,?,651363
"Fleetwood Mac",?,?,651129
"Florence Pugh",?,?,650918
"Rana Naidu",?,?,649757
"Shohei Ohtani",?,?,648567
"Daylight saving time",?,?,647216
"Angela Bassett",?,?,645240
"Hunter Schafer",?,?,644377
"Melanie Lynskey",?,?,644286
"Jeffrey Dahmer",?,?,644284
"Women Talking (film)",?,?,643246
"XXX",?,?,641720
"2023 Cricket World Cup",?,?,640950
"Wednesday (TV series)",?,?,637297
"Arnold Schwarzenegger",?,?,637156
"OnlyFans",?,?,636494
"Ice Spice",?,?,635633
"Top Gun: Maverick",?,?,635109
"Kylian Mbappé",?,?,631052
"John Wick: Chapter 2",?,?,630869
"Alexandra Grant",?,?,628643
"JavaScript",?,?,626765
"Attack on Titan (season 4)",?,?,624583
"Creed (film)",?,?,621493
"The Menu (2022 film)",?,?,621029
"Amritpal Singh (activist)",?,?,620796
"Academy Award for Best Picture",?,?,619137
"Marie Antoinette",?,?,615618
"XNXX",?,?,615292
"Lynyrd Skynyrd",?,?,615241
"The Elephant Whisperers",?,?,613480
"2023 Formula One World Championship",?,?,610595
"Cate Blanchett",?,?,609958
"Christopher Guest",?,?,606578
"Virat Kohli",?,?,606206
"Scarlett Johansson",?,?,605047
"Tom Hanks",?,?,604453
".xxx",?,?,603896
"Singapore",?,?,602957
"Katee Sackhoff",?,?,601203
"Jennifer Aniston",?,?,599828
