Page,Edits,Editors,Views
"Anne Heche",1084,288,10264296
"Olivia Newton-John",879,268,5692177
"Cleopatra",3,3,4930705
"Laal Singh Chaddha",458,157,4678875
"Manti Te'o",55,45,4652518
"Salman Rushdie",384,167,4229443
"The Sandman (TV series)",507,180,4175455
"Deaths in 2022",0,0,4129478
"India at the 2022 Commonwealth Games",1750,249,4106873
"Andrew Tate",285,75,3999710
"House of the Dragon",535,183,3876074
"2022 Commonwealth Games",174,102,3628356
"YouTube",17,8,3345811
"Woodstock '99",160,96,3011826
"Prey (2022 film)",464,252,2850974
"Skathi (moon)",5,3,2753765
"Elvis Presley",55,12,2648643
"The Satanic Verses",127,81,2399122
"Top Gun: Maverick",426,172,2209820
"Microsoft Office",5,5,2048254
"Liger (film)",317,128,2034705
"Nope (film)",274,105,2018937
"2022 Russian invasion of Ukraine",0,0,1929415
"Taiwan",92,47,1906387
"Premier League",87,53,1831865
"Wikipedia",29,25,1790391
"Better Call Saul",191,54,1711347
"Tham Luang cave rescue",68,39,1671794
"Karthikeya 2",443,136,1653019
"XXX (film series)",2,1,1627483
"India",27,12,1593534
"Bible",8,7,1553813
"Bullet Train (film)",482,185,1553339
"The Sandman (comic book)",33,18,1520639
"Brittney Griner",55,36,1513307
"Sita Ramam",518,185,1498143
"She-Hulk: Attorney at Law",449,160,1485606
"Google",22,15,1482849
"Better Call Saul (season 6)",181,55,1463423
"United States",190,62,1456396
"Ansel Adams",7,6,1445401
"XXX (2002 film)",1,1,1441830
"Hunter Moore",10,6,1426911
"XXXX (beer)",8,8,1417044
"Tom Sturridge",20,18,1377189
"Raksha Bandhan (film)",431,219,1368372
"Flag of India",31,14,1364859
"Sanna Marin",101,67,1307673
"Ezra Miller",77,46,1261149
"Rakesh Jhunjhunwala",205,85,1248031
"Sofia Carson",35,26,1246074
"Thor: Love and Thunder",272,127,1242475
"Manchester United F.C.",111,42,1216008
"Mikhail Gorbachev",298,128,1202620
"Tom Cruise",12,10,1199156
"WhatsApp",9,6,1198478
"Instagram",13,8,1197593
"Casemiro",192,85,1185794
"Nambi Narayanan",65,42,1178429
"Amber Midthunder",80,40,1164920
"Stranger Things",98,20,1161255
"Alex Jones",94,51,1160655
"Independence Day (India)",71,49,1160028
"2022 Asia Cup",489,145,1157871
"2022 monkeypox outbreak",0,0,1152672
"List of A Certain Magical Index characters",7,4,1129941
"Jennette McCurdy",185,62,1128695
"Extraordinary Attorney Woo",173,54,1124430
"Liz Cheney",67,38,1109565
"John McAfee",10,8,1100520
"XNXX",41,22,1099823
"2022–23 UEFA Champions League",135,61,1098438
"John Travolta",10,8,1085018
"Nancy Pelosi",71,43,1076919
"Omegle",14,12,1073365
"Cristiano Ronaldo",29,10,1071294
"Elon Musk",96,41,1071202
"Emma D'Arcy",61,45,1063098
"Internet",2,2,1050060
"Lisa Marie Presley",6,6,1042447
"Gmail",1,1,1028772
"Only Murders in the Building",244,64,1022106
"Asia Cup",73,47,1011942
"Milly Alcock",59,23,1007461
"Priscilla Presley",10,9,1006441
"Never Have I Ever (TV series)",122,71,1001641
"Serena Williams",38,24,998581
"Donald Trump",215,65,981960
"Cat",9,6,977381
"Commonwealth Games",110,63,974293
"Elizabeth II",66,22,973195
"Bill Russell",203,66,969974
"Mike Tyson",10,10,967588
"Facebook",8,4,965762
"Orphan: First Kill",267,122,956291
"CEO",0,0,942147
"Chloe Lattanzi",28,21,935080
"Biagio da Cesena",9,8,933621
"Microsoft Windows",3,2,932748
"Harry Styles",13,12,928199
"The Gray Man (2022 film)",?,?,927658
"James Tupper",?,?,924660
"XXXTentacion",?,?,921199
"Val Kilmer",?,?,921009
"Ayman al-Zawahiri",?,?,920662
"Thirteen Lives",?,?,919587
