Page,Edits,Editors,Views
"Squid Game",438,174,5929582
"Emma Raducanu",1005,318,5601373
"Shang-Chi and the Legend of the Ten Rings",686,163,4778203
"Cleopatra",5,4,4582766
"Bible",4,4,4091305
"September 11 attacks",201,82,4075580
"Deaths in 2021",2232,205,3740170
"Norm Macdonald",478,138,3659082
"Sidharth Shukla",370,197,3618852
"Michael K. Williams",258,149,3091451
"Cristiano Ronaldo",121,46,2550767
"YouTube",32,13,2386656
"Leylah Fernandez",269,130,2231558
"What If...? (TV series)",474,78,2168737
"XXX (2002 film)",12,12,2145700
"Sex Education (TV series)",261,100,2089280
"Money Heist",164,89,1983762
"Ted Lasso",180,87,1942993
"Michael Schumacher",58,39,1890068
"2021 Canadian federal election",851,163,1825197
"United Airlines Flight 93",94,61,1797323
"Steve Burns",106,70,1707071
"Dune (2021 film)",363,128,1640722
"Index.html",0,0,1635864
"No Time to Die",351,173,1612230
"Google",18,15,1568331
"Lil Nas X",90,51,1531895
"XXXX",0,0,1496682
"Willie Garson",151,91,1492891
"Elon Musk",89,38,1465991
"United States",134,51,1456795
"Microsoft Office",2,2,1426598
"Malignant (2021 film)",301,145,1416063
"Christopher Reeve",69,50,1409316
"Simu Liu",80,57,1397602
"Only Murders in the Building",172,67,1370508
"Skathi (moon)",0,0,1345159
"The Matrix Resurrections",238,117,1344026
"Afghanistan",203,77,1338702
"Clint Eastwood",18,8,1269817
"2021 German federal election",567,153,1243461
"Gmail",1,1,1221530
"India",25,16,1214742
"Cinderella (2021 film)",1,1,1195060
"Wikipedia",29,19,1182716
"Extreme Rules (2021)",339,93,1172868
"Sarah Harding",295,139,1154126
"Lionel Messi",53,21,1153472
"Shehnaaz Gill",101,62,1153439
"Shang-Chi",121,59,1145088
"Clickbait (miniseries)",71,34,1140541
"ABBA",212,91,1132500
"Casualties of the September 11 attacks",120,85,1122396
"Nine Perfect Strangers (miniseries)",0,0,1118704
"Free Guy",213,108,1111910
"Osama bin Laden",27,15,1083794
"Venom: Let There Be Carnage",212,64,1082458
"Internet",3,3,1076426
"F5 Networks",0,0,1073573
"List of James Bond films",27,20,1066484
"List of Marvel Cinematic Universe films",40,17,1058265
"Awkwafina",49,34,1047934
"World Trade Center (1973–2001)",35,15,1044927
"Oleksandr Usyk",168,84,1041675
"Megan Fox",24,10,1030107
"Disappearance of Gabby Petito",1,1,1019837
"Elizabeth II",92,32,1014313
"Donda (album)",0,0,1000558
"HoYeon Jung",59,41,991651
"Avicii",116,79,986100
"Ariana Grande",8,7,982615
"UFC 266",159,61,979806
"Manchester United F.C.",40,27,957691
"Machine Gun Kelly (musician)",9,9,957548
"Ivermectin",79,30,950005
"American Horror Story: Double Feature",168,33,945633
"Death of Gabby Petito",3,2,942712
"Google Classroom",16,14,932943
"Certified Lover Boy",378,109,928957
"2019 Canadian federal election",60,29,925722
"Daniel Craig",38,25,922523
"Elizabeth Holmes",115,46,919089
"2021 Formula One World Championship",157,42,917877
"Facebook",9,7,916280
"Google Translate",48,27,911899
"Candyman (2021 film)",160,75,901261
"Freddie Mercury",7,5,893749
