Page,Edits,Editors,Views
"United States Senate",4,3,54351880
"2019–20 coronavirus pandemic",0,0,14542390
"Tasuku Honjo",121,76,8405943
"Kim Jong-un",1,1,6380687
"Joe Exotic",215,91,6292426
"2019–20 coronavirus pandemic by country and territory",0,0,6054291
"Irrfan Khan",527,270,6009942
"2020 coronavirus pandemic in India",0,0,5165638
"2020 coronavirus pandemic in the United States",0,0,5109317
"Carole Baskin",123,49,4855009
"Deaths in 2020",3536,298,4710220
"Money Heist",342,127,4622054
"Spanish flu",113,58,4593145
"Bible",6,5,3824545
"Michael Jordan",50,23,3706921
"Coronavirus",146,40,3578864
"Coronavirus disease 2019",0,0,3475040
"Waco siege",106,70,3350307
"Ozark (TV series)",121,48,3290508
"Boris Johnson",271,126,3194397
"Art",6,4,2955260
"WrestleMania 36",849,126,2870744
"Rishi Kapoor",414,197,2784000
"Tiger King: Murder, Mayhem and Madness",1,1,2766059
"Andrew Cuomo",20,17,2556504
"2020 coronavirus pandemic in Italy",0,0,2542608
"Extraction (2020 film)",377,183,2514845
"Too Hot to Handle (TV series)",196,61,2424413
"List of Money Heist episodes",120,43,2362811
"Scottie Pippen",50,31,2339778
"Dennis Rodman",20,11,2211882
"David Koresh",45,25,2048750
"Elizabeth II",33,20,2003835
"Donald Trump",222,55,1988252
"Anthony Fauci",165,98,1976272
"2020 NFL Draft",554,91,1936984
"List of Marvel Cinematic Universe films",66,20,1907258
"Unorthodox (miniseries)",84,40,1882459
"2020 coronavirus pandemic in the United Kingdom",0,0,1858054
"John Prine",333,153,1844095
"United States",119,54,1839940
"Kepler's Supernova",1,1,1809758
"Remdesivir",263,69,1689624
"Charles Ingram",122,89,1647141
"Black Death",213,46,1640623
"F5 Networks",0,0,1635624
"Parasite (2019 film)",139,87,1586086
"2020 coronavirus pandemic in Spain",0,0,1545304
"Chris Cuomo",39,17,1524982
"Deborah Feldman",114,22,1503406
"Kim Yo-jong",0,0,1493202
"Disappearance of Don Lewis",158,47,1480668
"Jerry Krause",68,40,1471260
"Deborah Birx",62,33,1414843
"Kim Jong-il",0,0,1388354
"Bill Withers",238,84,1380224
"Keir Starmer",276,112,1376127
"YouTube",23,13,1352992
"Julia Garner",21,13,1330600
"Hydroxychloroquine",146,48,1318953
"Tedros Adhanom",0,0,1281900
"Ramayan (1987 TV series)",196,63,1279369
"The World of the Married",68,35,1279285
"World Health Organization",157,70,1279264
"Brian Dennehy",256,114,1268631
"Shira Haas",59,23,1261922
"Bill Gates",24,19,1257058
"Cleopatra",6,4,1254487
"QAnon",20,9,1251264
"Facebook",19,18,1237402
"India",14,10,1219330
"2020 coronavirus pandemic in Germany",0,0,1213541
"Final Fantasy VII Remake",322,83,1208555
"2020 coronavirus pandemic in Karnataka",0,0,1205837
"Rashida Jones",15,12,1204836
"Community (TV series)",32,20,1198992
"2020 coronavirus pandemic in Australia",0,0,1193266
"COVID-19 testing",316,83,1191287
"Jason Bateman",12,11,1176577
"Chris Hemsworth",18,13,1173172
"Zoom Video Communications",413,178,1167813
"Sex",4,4,1167691
"Contagion (2011 film)",78,36,1151439
"Phil Jackson",29,18,1141895
"5G",108,47,1131284
"Apple Network Server",0,0,1111627
"Tiger King",274,157,1093494
"Mahabharat (1988 TV series)",192,80,1089253
"Coca-Cola",9,9,1088575
"Mark Anthony Stroman",3,3,1084266
"Once Upon a Time in Hollywood",24,17,1081487
"The Platform (film)",89,41,1075363
"Joe Biden",228,82,1075058
"Carrie Symonds",0,0,1074113
"List of James Bond films",36,20,1061837
"Timothée Chalamet",16,5,1060189
"Microsoft Office",79,11,1056436
"Dominic Raab",113,47,1046593
"Ramadan",54,19,1041979
"XXXX",0,0,1041148
"Ri Sol-ju",?,?,1040370
"Shiva Ayyadurai",?,?,1039131
"The Clark Sisters",?,?,1035385
"2020 coronavirus pandemic in Canada",?,?,1034117
"Andrea Bocelli",?,?,1030748
"Westworld (TV series)",?,?,1028148
"Periodic table",?,?,1026974
"North Korea",?,?,1026393
"Adam Schlesinger",?,?,1022742
"Elton John",?,?,1020538
"Brooklyn",?,?,1019312
"Elon Musk",?,?,1014322
"Onward (film)",?,?,1007792
"2020 coronavirus pandemic in France",?,?,1006918
"World War II",?,?,1006797
"Adolf Hitler",?,?,1006723
"2020 coronavirus pandemic in Punjab, India",?,?,1006422
"Barack Obama",?,?,1006084
"TikTok",?,?,1001124
"United Kingdom",?,?,988966
"2020 coronavirus pandemic in New York (state)",?,?,985616
"List of NBA champions",?,?,977271
"Dua Lipa",?,?,972940
"Billie Eilish",?,?,970145
"Easter",?,?,968845
"Dwayne Johnson",?,?,967512
"Kenya Barris",?,?,966877
"2020 coronavirus pandemic in Sweden",?,?,963283
"New York City",?,?,960976
"Little Fires Everywhere (miniseries)",?,?,953867
"The Invisible Man (2020 film)",?,?,944723
"Thomas Modly",?,?,936092
"Severe acute respiratory syndrome coronavirus 2",?,?,924609
"2020 coronavirus pandemic in Maharashtra",?,?,923791
"Better Call Saul",?,?,917429
"Peaky Blinders (TV series)",?,?,915133
"Freddie Mercury",?,?,915067
"Mario Cuomo",?,?,911817
"China",?,?,911059
"World War I",?,?,907789
"Trolls World Tour",?,?,907275
"Chernobyl disaster",?,?,900464
"Kobe Bryant",?,?,892737
"Madam C. J. Walker",?,?,892603
"Prince Philip, Duke of Edinburgh",?,?,892224
"Kapoor family",?,?,891192
"Bharatiya Janata Party",?,?,890398
"Killing Eve",?,?,888039
"RuPaul's Drag Race (season 12)",?,?,887925
"Pablo Escobar",?,?,883938
"Jerome Adams",?,?,883515
"Cristiano Ronaldo",?,?,879573
"The King: Eternal Monarch",?,?,879270
"Starlink",?,?,870726
"Sunderland A.F.C.",?,?,863918
"Schitt's Creek",?,?,861330
"The Masked Singer (American season 3)",?,?,859594
"Underwater (film)",?,?,857957
"2020 coronavirus pandemic in Pakistan",?,?,856983
"Crash Landing on You",?,?,853073
"Pandemic",?,?,852562
"Princess Margaret, Countess of Snowdon",?,?,849566
"Kim Il-sung",?,?,848720
"Sharon Tate",?,?,843891
"Bhagavan Antle",?,?,834007
"Pirates of the Caribbean (film series)",?,?,831367
"Scarlett Johansson",?,?,830498
"The World's Billionaires",?,?,827217
"Gretchen Whitmer",?,?,826435
"2020 coronavirus lockdown in India",?,?,826050
"Rob Gronkowski",?,?,821979
"Ruby Ridge",?,?,820527
"Itaewon Class",?,?,820260
"Virus",?,?,819417
"List of states and territories of the United States",?,?,809027
"Molly Bloom (author)",?,?,801599
"BBC World Service",?,?,798866
"Irrfan Khan filmography",?,?,798746
"Brad Pitt",?,?,798270
"Carmen Electra",?,?,793921
"List of Bollywood films of 2020",?,?,793423
"Ken Miles",?,?,793109
"Amateur radio frequency allocations",?,?,791117
"Charles, Prince of Wales",?,?,789103
"The Pirate Bay",?,?,788382
"Leslie Jordan",?,?,786558
"George VI",?,?,783684
"Winston Churchill",?,?,778359
"1917 (2019 film)",?,?,775880
"Joker (2019 film)",?,?,775840
"Tablighi Jamaat",?,?,773682
"Jeff Bezos",?,?,772552
"2009 swine flu pandemic",?,?,772360
"The Mandalorian",?,?,770631
"Kim Jong-nam",?,?,769088
"Adrenochrome",?,?,767360
"Leonardo DiCaprio",?,?,767203
"Homeland (season 8)",?,?,764787
"Joel McHale",?,?,764704
"List of United States cities by population",?,?,763881
"Mahabharat (2013 TV series)",?,?,760824
"Tom Cruise",?,?,755504
"Donald Glover",?,?,751882
"Queen Victoria",?,?,750262
"Dalgona coffee",?,?,749071
"John Krasinski",?,?,744923
"Shaquille O'Neal",?,?,739824
"Jennifer Aniston",?,?,739693
"Breaking Bad",?,?,737985
"Alison Brie",?,?,736213
"Netflix",?,?,735911
"Greater Wynnewood Exotic Animal Park",?,?,734559
"The Epoch Times",?,?,733995
"John F. Kennedy",?,?,733869
"Hart Island (Bronx)",?,?,733409
"WhatsApp",?,?,733068
"2020 coronavirus pandemic in South Africa",?,?,732350
"Keanu Reeves",?,?,732300
"Kerry Kennedy",?,?,728510
"Phyllis Schlafly",?,?,725508
"OnlyFans",?,?,724880
"List of Star Wars films",?,?,724054
"The Phantom of the Opera (1986 musical)",?,?,723239
"All American (TV series)",?,?,719735
"List of presidents of the United States",?,?,719729
"Franklin D. Roosevelt",?,?,718839
"Harry Potter (film series)",?,?,717854
"Dolly Parton",?,?,710465
"Ted Bundy",?,?,710190
"Rashid Buttar",?,?,709808
"Johnny Depp",?,?,708974
"The Last Dance (2020 TV series)",?,?,708841
"Gavin Newsom",?,?,708708
"Laura Linney",?,?,708612
"The Last Kingdom (TV series)",?,?,708452
"Prince (musician)",?,?,706480
"Survivor: Winners at War",?,?,704114
"List of epidemics",?,?,704029
"Ranbir Kapoor",?,?,703821
"2020 United States presidential election",?,?,702910
"Canada",?,?,702449
"Dan Levy (Canadian actor)",?,?,702278
"Avengers: Endgame",?,?,697656
"Branch Davidians",?,?,697438
"States and union territories of India",?,?,697119
"Marvel Cinematic Universe",?,?,694174
"Waco (miniseries)",?,?,693964
"Doja Cat",?,?,692925
"Brooklyn Nine-Nine",?,?,692917
"U.S. state",?,?,690292
"Outer Banks (TV series)",?,?,689716
"Mark Zuckerberg",?,?,689500
"Vietnam War",?,?,684162
"Michael Jackson",?,?,681565
"Charles Manson",?,?,680121
"Star Wars: The Rise of Skywalker",?,?,677488
"Google",?,?,676994
"Bad Boys for Life",?,?,673183
"Stephen Hawking",?,?,672189
"Úrsula Corberó",?,?,671472
"List of highest-grossing films",?,?,669810
"Animal Crossing",?,?,669650
"Mia Khalifa",?,?,669404
"Kylie Jenner",?,?,668231
"Kenny Rogers",?,?,667367
"Taiwan",?,?,663464
"Emma Watson",?,?,661559
"LeBron James",?,?,661535
"Gordon Ramsay",?,?,661287
"Bruce Lee",?,?,659469
"Tom Hanks",?,?,653426
"Wiki",?,?,652430
"Bella ciao",?,?,650652
"Big Show",?,?,650113
"Strawberry",?,?,648061
"Australia",?,?,646234
"Ryan Reynolds",?,?,645813
"Arnold Schwarzenegger",?,?,645231
"Passover",?,?,643946
"Star Wars",?,?,643736
"Outlander (TV series)",?,?,642804
"Pizzagate conspiracy theory",?,?,642525
"Chicago Bulls",?,?,641621
"Yanny or Laurel",?,?,641213
"Joseph Stalin",?,?,640703
"Knives Out",?,?,640661
"Heath Ledger",?,?,640157
"Kim Kardashian",?,?,639667
"Russia",?,?,639599
"Josh Maja",?,?,639379
"Spencer Paysinger",?,?,639256
"Edward VIII",?,?,638834
"Narendra Modi",?,?,638195
"Álvaro Morte",?,?,637775
"BCG vaccine",?,?,635890
"Hasidic Judaism",?,?,632974
"2020 coronavirus pandemic in Poland",?,?,631952
"Fiona Apple",?,?,631477
"Black hole",?,?,629742
"2020 coronavirus pandemic in Russia",?,?,629162
"Judy Garland",?,?,628332
"Olivia Munn",?,?,624861
"Sylvester Stallone",?,?,623018
"Diana, Princess of Wales",?,?,622104
"Great Depression",?,?,621554
"Devs (miniseries)",?,?,621382
"Midsommar (film)",?,?,621204
"Muhammad Ali",?,?,621155
"Murders of Abigail Williams and Liberty German",?,?,617778
"Sandra Lee (chef)",?,?,617636
"Clint Eastwood",?,?,617433
"Westworld (season 3)",?,?,616802
"Angrezi Medium",?,?,616376
"Google Classroom",?,?,615312
"Gigi Hadid",?,?,615168
"Ana de Armas",?,?,614276
"Arnab Goswami",?,?,613266
"Birds of Prey (2020 film)",?,?,613185
"Lady Gaga",?,?,612216
"Doordarshan",?,?,611230
"Zayn Malik",?,?,611019
"B. R. Ambedkar",?,?,608561
"RMS Titanic",?,?,608318
"Wikipedia",?,?,608180
"Null",?,?,607854
"Ted Kaczynski",?,?,607717
"Good Friday",?,?,606582
"Homeland (TV series)",?,?,606224
"Bloodshot (film)",?,?,603415
"Money in the Bank (2020)",?,?,601531
"Sérgio Vieira de Mello",?,?,601260
"Emily Blunt",?,?,600884
"2019–20 coronavirus outbreak",?,?,600573
"Singapore",?,?,599103
"Alba Flores",?,?,598989
"Steve Jobs",?,?,597608
"Angelina Jolie",?,?,596313
"Robert Downey Jr.",?,?,596301
"Fast & Furious",?,?,595518
"Mike Tyson",?,?,594950
"Golshifteh Farahani",?,?,594486
"Fantasy Island (film)",?,?,591163
"Dune (2020 film)",?,?,590776
"Honor Blackman",?,?,588488
"2020 coronavirus pandemic in Turkey",?,?,588478
"Better Call Saul (season 5)",?,?,585796
"2019–20 coronavirus pandemic in mainland China",?,?,583986
"Bubonic plague",?,?,583153
"2009 flu pandemic",?,?,582977
"Jennifer Lopez",?,?,581979
"Al Capone",?,?,580012
"Severe acute respiratory syndrome",?,?,578934
"Tom Moore (fundraiser)",?,?,578660
"Miguel Ángel Félix Gallardo",?,?,577651
"Riverdale (2017 TV series)",?,?,576544
"2020 coronavirus pandemic in the Philippines",?,?,576059
"Joaquín ""El Chapo"" Guzmán",?,?,575521
"Chris Evans (actor)",?,?,574956
"David Icke",?,?,574676
"Dolittle (film)",?,?,574441
"The Walking Dead (TV series)",?,?,573808
"Ratan Tata",?,?,573436
"2016 United States presidential election",?,?,572855
"List of most-viewed YouTube videos",?,?,572693
"List of states and territories of the United States by population",?,?,572111
"Italy",?,?,571716
"Sigmund Freud",?,?,570780
"Sean Connery",?,?,570340
