Page,Edits,Editors,Views
"UEFA Euro 2020",498,159,10466748
"Microsoft Office",6,6,4203270
"Juneteenth",617,207,3719345
"Deaths in 2021",2289,227,3568679
"Cleopatra",10,5,3439027
"Bible",19,9,3401232
"Critical race theory",264,68,3369544
"Loki (TV series)",840,194,3207033
"Cristiano Ronaldo",176,57,2855098
"Google logo",7,5,2706653
"The Conjuring: The Devil Made Me Do It",338,128,2592721
"Christian Eriksen",234,91,2581206
"John McAfee",524,215,2555135
"Skathi (moon)",6,4,2311956
"Ed and Lorraine Warren",136,81,2242139
"XXXX",0,0,2226463
"The Family Man (Indian TV series)",301,153,2225672
"F9 (film)",207,69,2165093
"UEFA European Championship",143,76,2148335
"Mare of Easttown",117,60,2081462
"Trial of Arne Cheyenne Johnson",77,51,1996262
"Bo Burnham",92,71,1902999
"Uttar Pradesh",25,11,1840261
"Sweet Tooth (TV series)",282,77,1803212
"Rajasthan",10,8,1783223
"A Quiet Place Part II",293,133,1752222
"Novak Djokovic",167,49,1672793
"Manifest (TV series)",124,50,1606833
"Madhya Pradesh",48,30,1586054
"Luca (2021 film)",589,262,1532410
"Milkha Singh",319,178,1446664
"In the Heights (film)",473,165,1446052
"Floyd Mayweather Jr.",31,16,1443055
"UEFA Euro 2016",46,29,1429327
"Logan Paul",47,25,1419831
"2021 Copa América",430,123,1407567
"Group of Seven",0,0,1381900
"Cruella (film)",123,37,1380838
"Britney Spears",85,35,1337716
"In the Heights",48,31,1306014
"Elizabeth II",56,25,1303872
"FIFA World Rankings",0,0,1273557
"Elon Musk",123,44,1251234
"Olivia Rodrigo",161,58,1245323
"United States",74,40,1227649
"Maharashtra",60,22,1216385
"Rafael Nadal",65,25,1194822
"F5 Networks",0,0,1194665
"Lionel Messi",155,45,1175374
"Devin Booker",14,5,1161053
"Matt Hancock",204,82,1155693
"Betty Broderick",8,3,1151771
"2018 FIFA World Cup",52,32,1146497
"Tamil Nadu",68,42,1144491
"BF",30,19,1141063
"Believe Me: The Abduction of Lisa McVey",34,23,1116706
"FIFA World Cup",19,8,1104897
"UEFA Euro 2020 squads",400,95,1091431
"Hell in a Cell (2021)",499,152,1061210
"2022 FIFA World Cup",30,15,1046369
"The Conjuring Universe",163,46,1045215
"Roger Federer",74,23,1036353
"Tulsa race massacre",136,64,1033816
"The Handmaid's Tale (TV series)",35,15,1020065
"BTS",85,27,1010083
"Naftali Bennett",242,80,1000522
"Raya and the Last Dragon",221,68,987088
"2022 FIFA World Cup qualification (AFC)",214,61,981192
"Simone Biles",100,58,977613
"England national football team",214,99,976695
"North Macedonia",14,12,958819
"Father's Day",120,79,958109
"Lucifer (TV series)",35,19,954995
"ICarly (2021 TV series)",388,148,953663
"UEFA Euro 2020 knockout phase",0,0,947122
"Jennifer Aniston",7,4,937863
"Fast & Furious",193,67,928107
"India",71,22,925142
"Copa América",58,36,920868
"2020 Summer Olympics",281,52,918817
"Matthew Perry",24,21,909621
"Karnataka",21,10,906009
"List of Marvel Cinematic Universe films",39,12,892001
"The Conjuring",27,20,884784
"Andhra Pradesh",45,31,878022
"COVID-19 pandemic",97,41,877831
"Lorene Scafaria",20,18,876603
"Wikipedia",47,19,872456
"Trae Young",12,5,846739
"2022 FIFA World Cup qualification",251,39,844354
"Shirley Temple",55,44,839593
"Joe Biden",124,39,834861
"Italy national football team",169,54,817393
"List of top international men's football goal scorers by country",372,123,814860
"2021 Formula One World Championship",271,88,808698
"D. B. Cooper",75,51,807399
"UFC 263",118,49,806537
"Bobby Joe Long",56,32,804292
"List of Tor onion services",0,0,800380
"Samantha Akkineni",0,0,794827
"Raheem Sterling",?,?,787783
"Carl Nassib",?,?,784587
"United Kingdom",?,?,783324
"Sex",?,?,782991
"Tom Hiddleston",?,?,781376
"Naomi Osaka",?,?,775981
"Jeff Bezos",?,?,767092
"Kate Winslet",?,?,765127
"Clint Eastwood",?,?,760990
"Friends",?,?,760363
"Germany national football team",?,?,753018
"Romelu Lukaku",?,?,752818
"Mayim Bialik",?,?,748633
"Cicada",?,?,747626
"Anthony Ramos (actor)",?,?,745394
"Donald Trump",?,?,743217
"LeBron James",?,?,740895
"Kylian Mbappé",?,?,739447
"T. B. Joshua",?,?,735595
"XXX",?,?,733835
"Sha'Carri Richardson",?,?,732294
"Jack Grealish",?,?,731472
"Michael Jackson",?,?,728880
"Stefanos Tsitsipas",?,?,726932
"Andy Murray",?,?,726725
"Jake Paul",?,?,726527
"Frank Kameny",?,?,725247
"Yami Gautam",?,?,724864
"XXXX (album)",?,?,723131
"Rick and Morty (season 5)",?,?,716451
"Aditya Dhar",?,?,714599
"Black Widow (2021 film)",?,?,712508
